round,accuracy,elapsed_time,comm_time,round_time
1,0.1,13.000000476837158,0,13
2,0.1,25.000000476837158,0,20
3,0.1,37.00000047683716,0,30
4,0.1086,49.00000047683716,0,20
5,0.1001,60.00000047683716,0,55
6,0.1007,70.00000047683716,0,70
7,0.1314,81.00000047683716,0,13
8,0.1409,92.00000047683716,0,19
9,0.2426,103.00000047683716,0,14
10,0.2292,114.00000047683716,0,13
11,0.2826,125.00000047683716,0,20
12,0.245,136.00000047683716,0,70
13,0.2551,147.00000047683716,0,70
14,0.3244,158.00000047683716,0,15
15,0.2727,169.00000047683716,0,70
16,0.3491,180.00000047683716,0,51
17,0.3715,191.00000047683716,0,70
18,0.3457,202.00000047683716,0,20
19,0.3382,213.00000047683716,0,15
20,0.4,224.00000047683716,0,20
21,0.4278,235.00000047683716,0,30
22,0.4284,246.00000047683716,0,70
23,0.4108,257.00000047683716,0,15
24,0.3479,268.00000047683716,0,70
25,0.4309,279.00000047683716,0,15
26,0.4099,290.00000047683716,0,30
27,0.3941,301.00000047683716,0,20
28,0.4531,312.00000047683716,0,70
29,0.4268,323.00000047683716,0,20
30,0.4451,334.00000047683716,0,13
31,0.4191,345.00000047683716,0,70
32,0.4206,356.00000047683716,0,30
33,0.4292,367.00000047683716,0,13
34,0.4662,378.00000047683716,0,70
35,0.4163,389.00000047683716,0,30
36,0.4095,400.00000047683716,0,70
37,0.4555,411.00000047683716,0,13
38,0.4726,422.00000047683716,0,30
39,0.4394,433.00000047683716,0,70
40,0.3995,444.00000047683716,0,70
41,0.4709,455.00000047683716,0,15
42,0.4407,466.00000047683716,0,19
43,0.4753,477.00000047683716,0,15
44,0.4326,488.00000047683716,0,30
45,0.46,492.00000047683716,0,70
46,0.4304,503.00000047683716,0,14
47,0.44,514.0000004768372,0,20
48,0.4649,525.0000004768372,0,30
49,0.4807,536.0000004768372,0,15
50,0.4808,547.0000004768372,0,19
51,0.4685,558.0000004768372,0,14
52,0.4925,569.0000004768372,0,70
53,0.4837,580.0000004768372,0,55
54,0.47,591.0000004768372,0,13
55,0.497,602.0000004768372,0,70
56,0.4632,613.0000004768372,0,20
57,0.4606,624.0000004768372,0,15
58,0.5012,635.0000004768372,0,20
59,0.4719,646.0000004768372,0,70
60,0.4697,657.0000004768372,0,70
61,0.4471,668.0000004768372,0,15
62,0.4997,679.0000004768372,0,19
63,0.4061,690.0000004768372,0,20
64,0.4691,701.0000004768372,0,70
65,0.4723,712.0000004768372,0,51
66,0.4929,723.0000004768372,0,14
67,0.4798,734.0000004768372,0,30
68,0.4879,745.0000004768372,0,55
69,0.5055,756.0000004768372,0,20
70,0.4964,767.0000004768372,0,70
71,0.5075,778.0000004768372,0,30
72,0.4894,789.0000004768372,0,70
73,0.5033,800.0000004768372,0,15
74,0.4817,811.0000004768372,0,30
75,0.5036,822.0000004768372,0,15
76,0.4748,833.0000004768372,0,20
77,0.5116,844.0000004768372,0,70
78,0.4906,855.0000004768372,0,15
79,0.505,866.0000004768372,0,19
80,0.5013,877.0000004768372,0,70
81,0.5176,888.0000004768372,0,70
82,0.4775,899.0000004768372,0,15
83,0.5251,910.0000004768372,0,70
84,0.4811,921.0000004768372,0,30
85,0.4934,932.0000004768372,0,70
86,0.4814,943.0000004768372,0,55
87,0.5115,954.0000004768372,0,14
88,0.5114,965.0000004768372,0,15
89,0.4876,976.0000004768372,0,20
90,0.5078,987.0000004768372,0,70
91,0.4768,998.0000004768372,0,51
92,0.4856,1009.0000004768372,0,15
93,0.4919,1020.0000004768372,0,20
94,0.5188,1031.0000004768372,0,55
95,0.5054,1043.0000004768372,0,14
96,0.5219,1054.0000004768372,0,19
97,0.517,1065.0000004768372,0,30
98,0.504,1076.0000004768372,0,70
99,0.5432,1087.0000004768372,0,45
100,0.5393,1098.0000004768372,0,30
101,0.5324,1109.0000004768372,0,70
102,0.491,1120.0000004768372,0,15
103,0.5221,1131.0000004768372,0,70
104,0.5251,1142.0000004768372,0,20
105,0.5142,1153.0000004768372,0,14
106,0.5251,1164.0000004768372,0,70
107,0.5052,1175.0000004768372,0,20
108,0.5297,1186.0000004768372,0,45
109,0.5142,1197.0000004768372,0,51
110,0.505,1208.0000004768372,0,15
111,0.5378,1219.0000004768372,0,19
112,0.5282,1230.0000004768372,0,70
113,0.5344,1241.0000004768372,0,45
114,0.5518,1252.0000004768372,0,19
115,0.519,1263.0000004768372,0,30
116,0.5171,1274.0000004768372,0,70
117,0.4944,1285.0000004768372,0,20
118,0.4756,1296.0000004768372,0,14
119,0.5227,1307.0000004768372,0,70
120,0.5008,1318.0000004768372,0,51
121,0.5185,1330.0000004768372,0,20
122,0.5392,1341.0000004768372,0,30
