round,accuracy,elapsed_time,comm_time,round_time
1,0.107,13.000000238418579,0,13
2,0.1153,30.00000023841858,0,30
3,0.1,55.00000023841858,0,55
4,0.1204,70.00000023841858,0,70
5,0.1405,100.00000023841858,0,70
6,0.1913,130.00000023841858,0,70
7,0.1935,169.00000023841858,0,70
8,0.1425,200.00000023841858,0,70
9,0.2599,212.00000023841858,0,70
10,0.2778,239.00000023841858,0,70
11,0.2679,256.0000002384186,0,70
12,0.3448,270.0000002384186,0,70
13,0.3341,309.0000002384186,0,70
14,0.3437,340.0000002384186,0,70
15,0.3105,361.0000002384186,0,70
16,0.3374,379.0000002384186,0,70
17,0.3817,406.0000002384186,0,45
18,0.3157,432.0000002384186,0,70
19,0.371,456.0000002384186,0,70
20,0.3739,476.0000002384186,0,70
21,0.4234,502.0000002384186,0,70
22,0.3653,518.0000002384186,0,70
23,0.3858,530.0000002384186,0,70
24,0.3711,546.0000002384186,0,70
25,0.377,562.0000002384186,0,70
26,0.427,575.0000002384186,0,70
27,0.4374,588.0000002384186,0,70
28,0.3774,603.0000002384186,0,70
29,0.4501,616.0000002384186,0,70
30,0.4062,630.0000002384186,0,17
31,0.4079,642.0000002384186,0,70
32,0.399,653.0000002384186,0,70
33,0.386,666.0000002384186,0,70
34,0.4331,678.0000002384186,0,70
35,0.4692,689.0000002384186,0,70
36,0.4506,700.0000002384186,0,17
37,0.4094,712.0000002384186,0,70
38,0.4429,724.0000002384186,0,70
39,0.3954,740.0000002384186,0,16
40,0.3623,755.0000002384186,0,70
41,0.4734,766.0000002384186,0,70
42,0.4687,777.0000002384186,0,70
43,0.4454,788.0000002384186,0,70
44,0.4694,799.0000002384186,0,16
45,0.5029,813.0000002384186,0,39
46,0.459,824.0000002384186,0,27
47,0.4982,836.0000002384186,0,15
48,0.4631,847.0000002384186,0,70
49,0.4622,858.0000002384186,0,48
50,0.4456,869.0000002384186,0,70
51,0.4308,880.0000002384186,0,70
52,0.4954,891.0000002384186,0,23
53,0.4712,902.0000002384186,0,28
54,0.5135,917.0000002384186,0,70
55,0.407,928.0000002384186,0,70
56,0.4575,939.0000002384186,0,70
57,0.4707,950.0000002384186,0,70
58,0.5012,961.0000002384186,0,27
59,0.4924,973.0000002384186,0,70
60,0.4887,984.0000002384186,0,22
61,0.4798,995.0000002384186,0,70
62,0.5091,1006.0000002384186,0,70
63,0.5343,1017.0000002384186,0,70
64,0.5061,1028.0000002384186,0,22
65,0.505,1039.0000002384186,0,39
66,0.5303,1050.0000002384186,0,70
67,0.5193,1061.0000002384186,0,70
68,0.5378,1072.0000002384186,0,27
69,0.533,1084.0000002384186,0,39
70,0.5186,1095.0000002384186,0,19
71,0.5458,1106.0000002384186,0,30
72,0.5076,1117.0000002384186,0,14
73,0.5259,1128.0000002384186,0,70
74,0.5244,1139.0000002384186,0,70
