round,accuracy,elapsed_time,comm_time,round_time
1,0.04915575382549048,350.00000071525574,0,350
2,0.08568379143282007,410.00000071525574,0,60
3,0.07212068882812875,465.00000071525574,0,100
4,0.12608528805103852,520.0000007152557,0,130
5,0.12745239123135224,575.0000007152557,0,155
6,0.14168705329303977,630.0000007152557,0,90
7,0.15195231927855327,685.0000007152557,0,285
8,0.1837314721542668,740.0000007152557,0,65
9,0.21872451671703363,800.0000007152557,0,80
10,0.22452870916678658,860.0000007152557,0,145
11,0.2432604211637166,915.0000007152557,0,155
12,0.2507195279896388,970.0000007152557,0,350
13,0.2662613325658368,1025.0000007152557,0,285
14,0.26387489806686815,1080.0000007152557,0,340
15,0.29953950208663116,1135.0000007152557,0,65
16,0.30280136230632704,1190.0000007152557,0,115
17,0.32360771334004895,1245.0000007152557,0,155
18,0.35819302537535375,1300.0000007152557,0,350
19,0.309624886074735,1360.0000007152557,0,135
20,0.37252362450232646,1415.0000007152557,0,195
21,0.38507938792152346,1470.0000007152557,0,350
22,0.35500311795462175,1530.0000007152557,0,350
23,0.3518491869333717,1595.0000007152557,0,165
24,0.41161797860603444,1650.0000007152557,0,350
25,0.3793711325370557,1710.0000007152557,0,350
26,0.4345469372091908,1790.0000007152557,0,350
27,0.4221110951216002,1900.0000007152557,0,240
28,0.3877296493500264,2060.0000007152557,0,350
29,0.4564205880942102,2140.0000007152557,0,350
30,0.4864728737947906,2250.0000007152557,0,350
31,0.46784909099630645,2410.0000007152557,0,350
32,0.44802609488175754,2490.0000007152557,0,350
33,0.4729697318559025,2570.0000007152557,0,350
34,0.480081066820166,2635.0000007152557,0,350
35,0.49875281815129274,2760.0000007152557,0,350
36,0.4736292991797381,2840.0000007152557,0,350
37,0.4941238547512832,2985.0000007152557,0,350
38,0.49844102268911594,3110.0000007152557,0,350
39,0.5260109368254425,3195.0000007152557,0,350
40,0.5179522233414879,3335.0000007152557,0,350
41,0.5162133640331942,3460.0000007152557,0,350
42,0.491617498920708,3545.0000007152557,0,350
43,0.5489878639612414,3685.0000007152557,0,350
44,0.5578380582337986,3810.0000007152557,0,350
45,0.5461217441358469,3895.0000007152557,0,350
46,0.5710054204441886,3970.0000007152557,0,350
47,0.5508586367343022,4035.0000007152557,0,350
48,0.5239722741881326,4090.0000007152557,0,350
49,0.5627548328296638,4145.000000715256,0,155
50,0.54191250539646,4200.000000715256,0,350
51,0.5665203626421068,4255.000000715256,0,350
52,0.5528613229721303,4310.000000715256,0,65
53,0.5801674101789226,4370.000000715256,0,135
54,0.5579220031659231,4430.000000715256,0,115
55,0.5676835995586895,4485.000000715256,0,350
56,0.5632345181560896,4540.000000715256,0,350
57,0.5870868710126157,4595.000000715256,0,120
58,0.580767016836955,4655.000000715256,0,145
59,0.5705617115172447,4720.000000715256,0,135
60,0.5946778913033051,4780.000000715256,0,85
61,0.5775171487504197,4840.000000715256,0,350
62,0.6049071808893366,4895.000000715256,0,350
63,0.5911641962872356,4950.000000715256,0,350
64,0.5701539789897827,5005.000000715256,0,350
65,0.5914999760157337,5060.000000715256,0,65
66,0.5990670120401017,5115.000000715256,0,65
67,0.5930589533266177,5175.000000715256,0,350
68,0.6136614380966087,5230.000000715256,0,350
69,0.5738595481364225,5300.000000715256,0,350
70,0.5781287475416127,5355.000000715256,0,225
71,0.6199573080059481,5410.000000715256,0,350
72,0.6157840456660431,5465.000000715256,0,70
73,0.6189499688204538,5520.000000715256,0,150
74,0.609440207224061,5575.000000715256,0,60
75,0.619861370940663,5630.000000715256,0,350
76,0.6170192353815896,5685.000000715256,0,110
77,0.6164675972561999,5740.000000715256,0,130
78,0.6191178586847028,5800.000000715256,0,350
79,0.619417662013719,5860.000000715256,0,135
80,0.6200052765385907,5920.000000715256,0,350
81,0.6261212644505204,5980.000000715256,0,350
82,0.6091284117618843,6035.000000715256,0,350
83,0.6142850290209623,6090.000000715256,0,350
84,0.6001582961577205,6150.000000715256,0,350
85,0.6181944644313331,6205.000000715256,0,240
86,0.6164675972561999,6260.000000715256,0,350
87,0.6282798484194368,6315.000000715256,0,75
88,0.6246222478054396,6370.000000715256,0,155
89,0.6144169424857293,6425.000000715256,0,350
90,0.6221398762411858,6480.000000715256,0,65
91,0.6080970883100686,6535.000000715256,0,65
92,0.6284837146831679,6590.000000715256,0,240
93,0.6402599894469229,6645.000000715256,0,350
94,0.6328488511536432,6700.000000715256,0,110
95,0.6310620233127069,6760.000000715256,0,350
96,0.6261332565836811,6815.000000715256,0,130
97,0.6333405286132298,6875.000000715256,0,350
98,0.6418909195567708,6935.000000715256,0,150
99,0.6289274236101118,6990.000000715256,0,350
100,0.6405358085096177,7045.000000715256,0,350
101,0.618230440830815,7100.000000715256,0,350
102,0.6252698229961146,7155.000000715256,0,60
103,0.6289753921427543,7210.000000715256,0,120
104,0.6275123518971555,7265.000000715256,0,65
105,0.6103516093442701,7320.000000715256,0,350
106,0.6276202810956013,7375.000000715256,0,75
107,0.6386050750707536,7435.000000715256,0,60
108,0.6481148366671463,7495.000000715256,0,110
109,0.6438456372619562,7550.000000715256,0,350
110,0.6491821365184439,7610.000000715256,0,65
111,0.6313858109080444,7670.000000715256,0,350
112,0.6507770902288099,7730.000000715256,0,350
113,0.6385810908044323,7785.000000715256,0,70
114,0.6375977358852593,7845.000000715256,0,350
115,0.6234710030220175,7900.000000715256,0,350
116,0.6546865256391807,7955.000000715256,0,130
117,0.6201851585360004,8015.000000715256,0,350
118,0.6347196239267041,8070.000000715256,0,140
119,0.6452127404422698,8125.000000715256,0,175
120,0.6375737516189379,8185.000000715256,0,350
121,0.6301626133256584,8240.000000715256,0,350
122,0.643509857533458,8295.000000715256,0,150
123,0.6437856765961529,8350.000000715256,0,350
124,0.6597352136998129,8405.000000715256,0,80
125,0.6243943972753874,8460.000000715256,0,350
126,0.6596392766345277,8515.000000715256,0,350
127,0.6441814169904543,8570.000000715256,0,70
128,0.6464239458914952,8625.000000715256,0,65
129,0.64632800882621,8680.000000715256,0,75
130,0.6216841751810812,8735.000000715256,0,75
131,0.6512447834220751,8790.000000715256,0,70
132,0.6496858061111911,8845.000000715256,0,350
133,0.6531515325946179,8905.000000715256,0,140
134,0.649889672374922,8965.000000715256,0,90
135,0.6486664747925361,9025.000000715256,0,350
136,0.6559097232215666,9080.000000715256,0,120
137,0.6347316160598647,9135.000000715256,0,110
138,0.6589797093106922,9190.000000715256,0,350
139,0.6493020578500504,9245.000000715256,0,350
140,0.6515565788842519,9300.000000715256,0,100
141,0.6389168705329304,9355.000000715256,0,60
142,0.665263587086871,9410.000000715256,0,95
143,0.6432580227370844,9465.000000715256,0,60
144,0.6571688972034345,9520.000000715256,0,350
145,0.6459442605650693,9575.000000715256,0,350
146,0.665707296013815,9630.000000715256,0,350
147,0.6553101165635343,9685.000000715256,0,60
148,0.6256415791240946,9740.000000715256,0,350
149,0.651688492349019,9795.000000715256,0,350
150,0.672422890583777,9850.000000715256,0,140
