round,accuracy,elapsed_time,comm_time,round_time
1,0.1,13.000000476837158,0,13
2,0.1208,25.000000476837158,0,20
3,0.1111,37.00000047683716,0,30
4,0.1261,49.00000047683716,0,20
5,0.1269,60.00000047683716,0,55
6,0.1305,71.00000047683716,0,70
7,0.1712,82.00000047683716,0,27
8,0.1536,93.00000047683716,0,70
9,0.2313,105.00000047683716,0,24
10,0.2473,116.00000047683716,0,51
11,0.325,128.00000047683716,0,13
12,0.355,139.00000047683716,0,24
13,0.3533,150.00000047683716,0,27
14,0.3851,162.00000047683716,0,70
15,0.3872,173.00000047683716,0,30
16,0.3922,186.00000047683716,0,14
17,0.3759,197.00000047683716,0,70
18,0.3443,208.00000047683716,0,55
19,0.3699,216.00000047683716,0,70
20,0.4109,227.00000047683716,0,14
21,0.4024,238.00000047683716,0,24
22,0.4046,249.00000047683716,0,27
23,0.4265,261.00000047683716,0,19
24,0.4147,272.00000047683716,0,55
25,0.4163,283.00000047683716,0,70
26,0.4068,294.00000047683716,0,27
27,0.3675,305.00000047683716,0,24
28,0.4543,316.00000047683716,0,14
29,0.4438,327.00000047683716,0,20
30,0.4107,338.00000047683716,0,51
31,0.4142,350.00000047683716,0,19
32,0.4245,361.00000047683716,0,30
33,0.4643,372.00000047683716,0,70
34,0.4318,383.00000047683716,0,20
35,0.4741,395.00000047683716,0,19
36,0.4528,406.00000047683716,0,51
37,0.4784,417.00000047683716,0,30
38,0.4738,428.00000047683716,0,13
39,0.4626,439.00000047683716,0,70
40,0.4593,450.00000047683716,0,70
41,0.4238,462.00000047683716,0,27
42,0.4854,473.00000047683716,0,70
43,0.4932,484.00000047683716,0,70
44,0.4475,495.00000047683716,0,51
45,0.4517,506.00000047683716,0,24
46,0.4632,517.0000004768372,0,30
47,0.4725,526.0000004768372,0,27
48,0.4711,537.0000004768372,0,19
49,0.5017,548.0000004768372,0,30
50,0.4894,560.0000004768372,0,15
51,0.5035,571.0000004768372,0,24
52,0.5035,583.0000004768372,0,27
53,0.5105,594.0000004768372,0,70
54,0.4969,605.0000004768372,0,70
55,0.4817,616.0000004768372,0,70
56,0.5067,627.0000004768372,0,27
57,0.4758,638.0000004768372,0,15
58,0.5132,650.0000004768372,0,14
59,0.5007,661.0000004768372,0,30
60,0.5073,672.0000004768372,0,27
61,0.4642,684.0000004768372,0,70
62,0.5386,695.0000004768372,0,70
63,0.4733,706.0000004768372,0,30
64,0.5186,717.0000004768372,0,20
65,0.5198,728.0000004768372,0,70
66,0.5215,739.0000004768372,0,27
67,0.5411,750.0000004768372,0,19
68,0.4992,761.0000004768372,0,30
69,0.5056,772.0000004768372,0,55
70,0.5174,783.0000004768372,0,27
71,0.514,794.0000004768372,0,30
72,0.5351,805.0000004768372,0,70
73,0.4845,809.0000004768372,0,24
74,0.5485,820.0000004768372,0,14
75,0.4923,832.0000004768372,0,20
76,0.5186,843.0000004768372,0,30
77,0.4701,855.0000004768372,0,14
78,0.5322,866.0000004768372,0,51
79,0.5235,877.0000004768372,0,70
80,0.5221,888.0000004768372,0,70
81,0.5511,899.0000004768372,0,30
82,0.5276,904.0000004768372,0,27
83,0.5139,915.0000004768372,0,14
84,0.5257,926.0000004768372,0,24
85,0.5279,937.0000004768372,0,30
86,0.549,948.0000004768372,0,27
87,0.5421,959.0000004768372,0,24
88,0.5519,970.0000004768372,0,55
89,0.5576,981.0000004768372,0,19
90,0.5439,993.0000004768372,0,20
91,0.5604,1004.0000004768372,0,24
92,0.5551,1016.0000004768372,0,27
93,0.56,1027.0000004768372,0,70
94,0.5285,1038.0000004768372,0,19
95,0.5428,1048.0000004768372,0,55
96,0.5297,1057.0000004768372,0,19
97,0.5663,1068.0000004768372,0,14
98,0.5372,1079.0000004768372,0,30
99,0.5595,1090.0000004768372,0,27
100,0.5526,1101.0000004768372,0,15
101,0.5553,1112.0000004768372,0,19
102,0.5221,1123.0000004768372,0,70
103,0.5465,1135.0000004768372,0,13
104,0.548,1146.0000004768372,0,30
105,0.541,1157.0000004768372,0,70
106,0.5672,1168.0000004768372,0,15
107,0.5515,1179.0000004768372,0,14
108,0.5681,1190.0000004768372,0,27
109,0.5579,1201.0000004768372,0,70
110,0.5485,1212.0000004768372,0,24
111,0.5437,1223.0000004768372,0,27
112,0.5618,1234.0000004768372,0,70
113,0.5785,1243.0000004768372,0,24
114,0.5721,1254.0000004768372,0,19
115,0.5437,1265.0000004768372,0,27
116,0.5661,1276.0000004768372,0,24
117,0.5802,1287.0000004768372,0,13
118,0.5479,1298.0000004768372,0,20
119,0.5456,1309.0000004768372,0,19
120,0.5798,1320.0000004768372,0,24
121,0.5359,1324.0000004768372,0,70
122,0.5838,1334.0000004768372,0,14
123,0.5085,1344.0000004768372,0,20
124,0.5801,1355.0000004768372,0,14
125,0.5714,1366.0000004768372,0,20
126,0.5097,1377.0000004768372,0,24
127,0.563,1388.0000004768372,0,30
128,0.5791,1393.0000004768372,0,55
129,0.5873,1404.0000004768372,0,14
130,0.5974,1416.0000004768372,0,20
131,0.5826,1427.0000004768372,0,30
132,0.5734,1438.0000004768372,0,24
133,0.5894,1449.0000004768372,0,55
134,0.5658,1460.0000004768372,0,30
135,0.5421,1468.0000004768372,0,24
136,0.5621,1479.0000004768372,0,15
137,0.5797,1490.0000004768372,0,14
138,0.5791,1501.0000004768372,0,24
139,0.5885,1512.0000004768372,0,13
140,0.5335,1523.0000004768372,0,27
141,0.5665,1534.0000004768372,0,70
142,0.5769,1545.0000004768372,0,70
143,0.5794,1557.0000004768372,0,14
144,0.5719,1568.0000004768372,0,27
145,0.5839,1579.0000004768372,0,70
146,0.5897,1590.0000004768372,0,20
147,0.5763,1601.0000004768372,0,24
148,0.5818,1612.0000004768372,0,14
149,0.584,1623.0000004768372,0,70
150,0.5791,1634.0000004768372,0,30
