round,accuracy,elapsed_time,comm_time,round_time
1,0.1,95.00000071525574,0,95
2,0.1,285.00000071525574,0,285
3,0.1,355.00000071525574,0,350
4,0.1,445.00000071525574,0,350
5,0.1009,635.0000007152557,0,350
6,0.1,715.0000007152557,0,350
7,0.1991,910.0000007152557,0,350
8,0.2852,990.0000007152557,0,350
9,0.3142,1065.0000007152557,0,350
10,0.3488,1320.0000007152557,0,350
11,0.3299,1415.0000007152557,0,350
12,0.3634,1510.0000007152557,0,350
13,0.3732,1670.0000007152557,0,350
14,0.4,1765.0000007152557,0,350
15,0.4215,1935.0000007152557,0,350
16,0.4201,2060.0000007152557,0,350
17,0.4252,2165.0000007152557,0,350
18,0.4603,2285.0000007152557,0,350
19,0.4757,2415.0000007152557,0,350
20,0.4962,2515.0000007152557,0,350
21,0.4941,2635.0000007152557,0,350
22,0.5103,2765.0000007152557,0,350
23,0.524,2915.0000007152557,0,350
24,0.5449,3070.0000007152557,0,350
25,0.54,3135.0000007152557,0,350
26,0.5598,3265.0000007152557,0,350
27,0.5646,3420.0000007152557,0,350
28,0.5758,3555.0000007152557,0,350
29,0.5991,3770.0000007152557,0,350
30,0.5936,3835.0000007152557,0,350
31,0.6063,3905.0000007152557,0,350
32,0.6229,4120.000000715256,0,350
33,0.6193,4255.000000715256,0,350
34,0.6255,4410.000000715256,0,350
35,0.6401,4605.000000715256,0,350
36,0.6337,4685.000000715256,0,350
37,0.642,4795.000000715256,0,350
38,0.644,4955.000000715256,0,350
39,0.6575,5035.000000715256,0,350
40,0.6643,5145.000000715256,0,350
41,0.6735,5305.000000715256,0,350
42,0.6721,5385.000000715256,0,350
43,0.6785,5495.000000715256,0,350
44,0.6773,5655.000000715256,0,350
45,0.6776,5735.000000715256,0,350
46,0.6724,5845.000000715256,0,350
47,0.6838,6005.000000715256,0,350
48,0.6888,6090.000000715256,0,350
49,0.6858,6195.000000715256,0,350
50,0.6944,6355.000000715256,0,350
51,0.6897,6500.000000715256,0,350
52,0.6917,6620.000000715256,0,350
53,0.6954,6850.000000715256,0,350
54,0.7022,6970.000000715256,0,350
55,0.7053,7185.000000715256,0,350
56,0.7072,7320.000000715256,0,350
57,0.7081,7470.000000715256,0,350
58,0.7049,7555.000000715256,0,350
59,0.7104,7670.000000715256,0,350
60,0.714,7820.000000715256,0,350
61,0.7102,7905.000000715256,0,350
62,0.7117,8020.000000715256,0,350
63,0.7091,8170.000000715256,0,350
64,0.71,8255.000000715256,0,350
65,0.713,8370.000000715256,0,350
66,0.7131,8540.000000715256,0,350
67,0.72,8720.000000715256,0,350
68,0.7202,8835.000000715256,0,350
69,0.7217,8920.000000715256,0,350
70,0.7192,9070.000000715256,0,350
71,0.718,9270.000000715256,0,350
72,0.7224,9345.000000715256,0,350
73,0.7292,9425.000000715256,0,350
74,0.7257,9620.000000715256,0,350
75,0.7304,9770.000000715256,0,350
76,0.7291,9970.000000715256,0,350
77,0.7297,10115.000000715256,0,350
78,0.7291,10240.000000715256,0,350
79,0.7303,10345.000000715256,0,350
80,0.7287,10465.000000715256,0,350
81,0.7264,10590.000000715256,0,350
82,0.7302,10795.000000715256,0,350
83,0.7318,10905.000000715256,0,350
84,0.7365,10990.000000715256,0,350
85,0.7385,11145.000000715256,0,350
86,0.7376,11290.000000715256,0,350
87,0.729,11440.000000715256,0,350
88,0.7366,11550.000000715256,0,350
89,0.7401,11675.000000715256,0,350
90,0.7356,11890.000000715256,0,350
