round,accuracy,elapsed_time,comm_time,round_time
1,0.1088,23.000001192092896,0,23
2,0.1,70.0000011920929,0,70
3,0.1,82.0000011920929,0,70
4,0.1,94.0000011920929,0,70
5,0.1006,130.0000011920929,0,60
6,0.1487,152.0000011920929,0,70
7,0.1163,165.0000011920929,0,70
8,0.2058,200.0000011920929,0,70
9,0.196,222.0000011920929,0,70
10,0.2431,235.0000011920929,0,70
11,0.2884,247.0000011920929,0,70
12,0.3349,305.0000011920929,0,70
13,0.3619,317.0000011920929,0,70
14,0.3349,328.0000011920929,0,70
15,0.3634,364.0000011920929,0,47
16,0.3693,376.0000011920929,0,70
17,0.3825,388.0000011920929,0,70
18,0.3624,399.0000011920929,0,70
19,0.3976,410.0000011920929,0,14
20,0.3766,426.0000011920929,0,28
21,0.4274,438.0000011920929,0,70
22,0.4453,468.0000011920929,0,70
23,0.4317,482.0000011920929,0,70
24,0.3954,508.0000011920929,0,70
25,0.4462,538.0000011920929,0,70
26,0.4389,550.0000011920929,0,70
27,0.3984,562.0000011920929,0,70
28,0.3926,574.0000011920929,0,30
29,0.4499,585.0000011920929,0,70
30,0.4598,596.0000011920929,0,48
31,0.4271,607.0000011920929,0,15
32,0.4366,618.0000011920929,0,13
33,0.453,626.0000011920929,0,70
34,0.4442,632.0000011920929,0,14
35,0.462,643.0000011920929,0,15
36,0.461,654.0000011920929,0,18
37,0.4757,665.0000011920929,0,23
38,0.4967,676.0000011920929,0,13
39,0.4999,687.0000011920929,0,16
40,0.4877,698.0000011920929,0,30
41,0.4704,709.0000011920929,0,21
42,0.5003,720.0000011920929,0,70
43,0.4441,731.0000011920929,0,70
44,0.4915,742.0000011920929,0,15
45,0.4772,753.0000011920929,0,31
46,0.4489,764.0000011920929,0,13
47,0.5015,775.0000011920929,0,70
48,0.4964,786.0000011920929,0,35
49,0.4987,797.0000011920929,0,22
50,0.4977,808.0000011920929,0,13
51,0.5008,819.0000011920929,0,70
52,0.525,830.0000011920929,0,70
53,0.5147,842.0000011920929,0,14
54,0.5112,853.0000011920929,0,20
55,0.4931,865.0000011920929,0,17
56,0.5264,877.0000011920929,0,16
57,0.5149,889.0000011920929,0,70
58,0.5235,900.0000011920929,0,70
59,0.5259,911.0000011920929,0,39
60,0.501,924.0000011920929,0,70
61,0.5213,936.0000011920929,0,33
62,0.5159,947.0000011920929,0,70
63,0.5216,958.0000011920929,0,57
64,0.5338,969.0000011920929,0,17
65,0.515,980.0000011920929,0,70
66,0.5354,991.0000011920929,0,70
67,0.5272,1002.0000011920929,0,15
68,0.5131,1013.0000011920929,0,70
69,0.5356,1024.000001192093,0,70
70,0.5441,1035.000001192093,0,29
71,0.5145,1046.000001192093,0,70
72,0.5355,1057.000001192093,0,23
73,0.5186,1068.000001192093,0,70
74,0.5506,1079.000001192093,0,70
75,0.5428,1090.000001192093,0,22
76,0.5483,1101.000001192093,0,12
