round,accuracy,elapsed_time,comm_time,round_time
1,0.1,23.00000023841858,0,23
2,0.1,70.00000023841858,0,70
3,0.0999,84.00000023841858,0,70
4,0.108,100.00000023841858,0,70
5,0.1039,130.00000023841858,0,60
6,0.1428,154.00000023841858,0,70
7,0.1203,170.00000023841858,0,70
8,0.1808,200.00000023841858,0,70
9,0.1961,224.00000023841858,0,70
10,0.3077,238.00000023841858,0,70
11,0.3095,254.00000023841858,0,70
12,0.3166,308.0000002384186,0,70
13,0.3698,324.0000002384186,0,70
14,0.3514,335.0000002384186,0,70
15,0.3916,371.0000002384186,0,47
16,0.3614,383.0000002384186,0,70
17,0.3868,396.0000002384186,0,70
18,0.3949,407.0000002384186,0,70
19,0.4339,421.0000002384186,0,16
20,0.4339,436.0000002384186,0,28
21,0.4142,448.0000002384186,0,70
22,0.41,477.0000002384186,0,70
23,0.459,491.0000002384186,0,70
24,0.4342,518.0000002384186,0,70
25,0.4541,547.0000002384186,0,70
26,0.4365,559.0000002384186,0,70
27,0.4477,570.0000002384186,0,70
28,0.4386,581.0000002384186,0,26
29,0.4474,592.0000002384186,0,70
30,0.4686,603.0000002384186,0,48
31,0.4268,614.0000002384186,0,14
32,0.4493,625.0000002384186,0,13
33,0.4564,636.0000002384186,0,70
34,0.4798,644.0000002384186,0,30
35,0.4852,655.0000002384186,0,15
36,0.49,665.0000002384186,0,29
37,0.4705,676.0000002384186,0,13
38,0.4751,687.0000002384186,0,24
39,0.4806,695.0000002384186,0,30
40,0.4627,706.0000002384186,0,15
41,0.5198,710.0000002384186,0,23
42,0.5128,721.0000002384186,0,14
43,0.5152,732.0000002384186,0,16
44,0.5066,743.0000002384186,0,14
45,0.4875,754.0000002384186,0,16
46,0.5123,765.0000002384186,0,18
47,0.4974,776.0000002384186,0,70
48,0.5205,787.0000002384186,0,70
49,0.5213,798.0000002384186,0,70
50,0.5298,809.0000002384186,0,55
51,0.5313,820.0000002384186,0,12
52,0.5371,828.0000002384186,0,45
53,0.5375,839.0000002384186,0,12
54,0.5385,850.0000002384186,0,18
55,0.5414,861.0000002384186,0,15
56,0.5269,871.0000002384186,0,51
57,0.5061,873.0000002384186,0,12
58,0.5329,884.0000002384186,0,12
59,0.4793,888.0000002384186,0,17
60,0.5503,899.0000002384186,0,12
61,0.5346,905.0000002384186,0,17
62,0.546,916.0000002384186,0,16
63,0.549,921.0000002384186,0,19
64,0.5525,932.0000002384186,0,16
65,0.5387,936.0000002384186,0,15
66,0.5568,947.0000002384186,0,13
67,0.5464,951.0000002384186,0,16
68,0.5583,960.0000002384186,0,13
69,0.5654,970.0000002384186,0,19
70,0.5557,973.0000002384186,0,13
71,0.5483,984.0000002384186,0,13
72,0.5427,989.0000002384186,0,19
73,0.5699,997.0000002384186,0,13
74,0.5641,1002.0000002384186,0,13
75,0.5598,1010.0000002384186,0,13
76,0.5661,1015.0000002384186,0,13
77,0.5556,1023.0000002384186,0,13
78,0.5721,1034.0000002384186,0,13
79,0.5542,1045.0000002384186,0,13
80,0.5615,1056.0000002384186,0,13
81,0.5596,1067.0000002384186,0,51
82,0.5564,1072.0000002384186,0,27
83,0.5848,1083.0000002384186,0,15
84,0.5717,1094.0000002384186,0,15
85,0.5597,1105.0000002384186,0,27
86,0.5679,1116.0000002384186,0,15
87,0.58,1120.0000002384186,0,51
88,0.5672,1131.0000002384186,0,15
89,0.5607,1135.0000002384186,0,15
90,0.5753,1146.0000002384186,0,15
91,0.5609,1150.0000002384186,0,18
92,0.5755,1161.0000002384186,0,15
93,0.5727,1168.0000002384186,0,18
94,0.5731,1176.0000002384186,0,15
95,0.5647,1185.0000002384186,0,17
96,0.5861,1191.0000002384186,0,15
97,0.5875,1202.0000002384186,0,15
98,0.5762,1206.0000002384186,0,17
99,0.5687,1217.0000002384186,0,13
100,0.5675,1221.0000002384186,0,15
101,0.5565,1232.0000002384186,0,14
102,0.5917,1236.0000002384186,0,17
103,0.5696,1246.0000002384186,0,14
104,0.5891,1251.0000002384186,0,15
105,0.5862,1259.0000002384186,0,13
106,0.5905,1266.0000002384186,0,15
107,0.5672,1277.0000002384186,0,13
108,0.594,1288.0000002384186,0,23
109,0.5884,1297.0000002384186,0,31
110,0.5821,1308.0000002384186,0,17
111,0.5844,1319.0000002384186,0,23
112,0.5793,1328.0000002384186,0,31
113,0.5821,1331.0000002384186,0,12
114,0.5868,1342.0000002384186,0,13
115,0.5931,1353.0000002384186,0,17
116,0.5883,1359.0000002384186,0,31
117,0.5769,1370.0000002384186,0,15
118,0.6017,1381.0000002384186,0,17
119,0.5837,1390.0000002384186,0,31
120,0.5942,1398.0000002384186,0,17
121,0.5891,1409.0000002384186,0,15
122,0.5986,1420.0000002384186,0,17
123,0.5806,1424.0000002384186,0,31
124,0.594,1435.0000002384186,0,13
125,0.5827,1446.0000002384186,0,17
126,0.5959,1455.0000002384186,0,31
127,0.596,1463.0000002384186,0,17
128,0.5925,1468.0000002384186,0,13
129,0.6037,1479.0000002384186,0,12
130,0.6027,1481.0000002384186,0,17
131,0.5975,1491.0000002384186,0,12
132,0.5981,1499.0000002384186,0,18
133,0.5938,1510.0000002384186,0,12
134,0.6049,1521.0000002384186,0,18
135,0.6014,1522.0000002384186,0,30
136,0.5964,1533.0000002384186,0,12
137,0.5958,1544.0000002384186,0,18
138,0.5921,1552.0000002384186,0,30
139,0.6039,1557.0000002384186,0,13
140,0.5977,1568.0000002384186,0,12
141,0.6018,1579.0000002384186,0,19
142,0.6061,1582.0000002384186,0,30
143,0.6003,1593.0000002384186,0,13
144,0.6131,1604.0000002384186,0,19
145,0.5992,1614.0000002384186,0,30
146,0.612,1623.0000002384186,0,19
147,0.5763,1634.0000002384186,0,13
148,0.6037,1645.0000002384186,0,30
149,0.5914,1646.0000002384186,0,22
150,0.5927,1657.0000002384186,0,12
