Elapsed time (s),Accuracy (%),Method
66.0,10.0,Polaris
86.0,10.0,Polaris
106.0,10.0,Polaris
126.0,10.00699999499321,Polaris
146.0,10.146999994993209,Polaris
166.0,10.28699999499321,Polaris
186.0,10.42699999499321,Polaris
206.0,13.558999800443654,Polaris
226.0,19.138999800443656,Polaris
246.0,24.718999800443655,Polaris
266.0,28.258499933123588,Polaris
286.0,30.128499933123592,Polaris
306.0,31.998499933123593,Polaris
326.0,28.58800027647885,Polaris
346.0,20.857091185569754,Polaris
366.0,13.126182094660654,Polaris
386.0,20.63309050438624,Polaris
406.0,31.94945414074987,Polaris
426.0,42.45563653841884,Polaris
446.0,37.568363811146114,Polaris
466.0,32.68109108387339,Polaris
486.0,30.987999794006367,Polaris
506.0,36.74799979400636,Polaris
526.0,42.50799979400635,Polaris
546.0,45.06000000260093,Polaris
566.0,44.98727272987366,Polaris
586.0,44.91454545714639,Polaris
606.0,45.970545406688345,Polaris
626.0,47.30872722487016,Polaris
646.0,48.604363618937406,Polaris
666.0,49.09163634621013,Polaris
686.0,49.578909073482855,Polaris
706.0,50.11418179503354,Polaris
726.0,50.76145452230627,Polaris
746.0,51.408727249579,Polaris
766.0,51.99599998075312,Polaris
786.0,52.534181798934945,Polaris
806.0,53.07236361711676,Polaris
826.0,53.54072725660151,Polaris
846.0,53.9916363475106,Polaris
866.0,54.45470585752936,Polaris
886.0,55.14882350458819,Polaris
906.0,55.84294115164701,Polaris
926.0,56.53705879870583,Polaris
946.0,57.23117644576465,Polaris
966.0,57.4747272680456,Polaris
986.0,57.60563635895469,Polaris
1006.0,57.74254544557225,Polaris
1026.0,57.99345453648135,Polaris
1046.0,58.24436362739044,Polaris
1066.0,58.5749090724425,Polaris
1086.0,59.09127270880613,Polaris
1106.0,59.607636345169766,Polaris
1126.0,59.85599999895963,Polaris
1146.0,59.88509090805054,Polaris
1166.0,59.91418181714144,Polaris
1186.0,60.4959999742508,Polaris
1206.0,61.2159999742508,Polaris
1226.0,61.921090894005516,Polaris
1246.0,62.342909075823705,Polaris
1266.0,62.76472725764188,Polaris
1286.0,63.078545452334666,Polaris
1306.0,63.14036363415285,Polaris
1326.0,63.202181815971024,Polaris
1346.0,63.44399998608503,Polaris
1366.0,63.833090895175935,Polaris
1386.0,64.22218180426685,Polaris
1406.0,64.28545454610479,Polaris
1426.0,64.26727272792296,Polaris
1446.0,64.25854544843327,Polaris
1466.0,64.42945453934236,Polaris
1486.0,64.60036363025145,Polaris
1506.0,64.75054545090416,Polaris
1526.0,64.85236363272233,Polaris
1546.0,64.95418181454052,Polaris
1566.0,65.12599999180708,Polaris
1586.0,65.35509090089798,Polaris
1606.0,65.58418180998889,Polaris
1626.0,65.73763635882464,Polaris
1646.0,65.8721818133701,Polaris
1666.0,66.00909090258858,Polaris
1686.0,66.19090908440677,Polaris
1706.0,66.37272726622496,Polaris
1726.0,66.43236364442652,Polaris
1746.0,66.20690909897198,Polaris
1766.0,65.98145455351742,Polaris
1786.0,66.09199998621507,Polaris
1806.0,66.47745453166962,Polaris
1826.0,66.86290907712416,Polaris
1846.0,66.85563636740771,Polaris
1866.0,66.75018182195316,Polaris
1886.0,66.65963635674389,Polaris
1906.0,66.85236362947117,Polaris
1926.0,67.04509090219844,Polaris
1946.0,67.16909091039138,Polaris
1966.0,67.13272727402774,Polaris
1986.0,67.0963636376641,Polaris
2006.0,67.24599998920613,Polaris
2026.0,67.54781817102432,Polaris
2046.0,67.8496363528425,Polaris
2066.0,67.65109092066506,Polaris
2086.0,67.3274545570287,Polaris
2106.0,67.04527270919625,Polaris
2126.0,67.5507272546508,Polaris
2146.0,68.05618180010534,Polaris
2166.0,68.3576363698786,Polaris
2186.0,68.18309091533314,Polaris
2206.0,68.0085454607877,Polaris
2226.0,68.01799999427796,Polaris
2246.0,68.17799999427795,Polaris
2266.0,68.40781817297503,Polaris
2286.0,68.65509090024774,Polaris
2306.0,68.8694285861424,Polaris
2326.0,68.45800001471383,Polaris
2346.0,68.16781818207828,Polaris
2366.0,68.16054545480554,Polaris
2386.0,68.15327272753282,Polaris
2406.0,68.34399998738549,Polaris
2426.0,68.69672726011275,Polaris
2446.0,69.04945453284003,Polaris
2466.0,69.17818181558088,Polaris
2486.0,69.25090908830816,Polaris
2506.0,69.31709091117165,Polaris
2526.0,69.25890909298984,Polaris
2546.0,69.20072727480802,Polaris
2566.0,69.12290909533067,Polaris
2586.0,68.99927273169432,Polaris
2606.0,68.87563636805794,Polaris
2626.0,68.95399999128688,Polaris
2646.0,69.19763635492325,Polaris
2666.0,69.4412727185596,Polaris
2686.0,69.2304444560475,Polaris
2706.0,68.90600001160304,Polaris
2726.0,68.83822221713596,Polaris
2746.0,68.98044443935818,Polaris
2766.0,69.12114285223824,Polaris
2786.0,69.25828570938111,Polaris
2806.0,69.31600000026009,Polaris
2826.0,69.30872727298737,Polaris
2846.0,69.30145454571463,Polaris
2866.0,69.37679999656677,Polaris
2886.0,69.3518000044346,Polaris
2906.0,69.2278000044346,Polaris
2926.0,69.13899997925758,Polaris
2946.0,69.71899997925757,Polaris
2966.0,69.82800000988354,Polaris
2986.0,69.55163637351991,Polaris
3006.0,69.27527273715627,Polaris
3026.0,69.481818170114,Polaris
3046.0,69.80909089738671,Polaris
3066.0,70.11454545844686,Polaris
3086.0,70.00545454935595,Polaris
3106.0,69.89636364026504,Polaris
3126.0,69.83963636129553,Polaris
3146.0,69.90509090675006,Polaris
3166.0,69.97054545220462,Polaris
3186.0,70.15199999011645,Polaris
3206.0,70.42836362648009,Polaris
3226.0,70.70472726284373,Polaris
3246.0,70.67854545818676,Polaris
3266.0,70.57672727636857,Polaris
3286.0,70.47236364182558,Polaris
3306.0,70.31963636909832,Polaris
3326.0,70.16690909637104,Polaris
3346.0,70.1298181734952,Polaris
3366.0,70.36254544622247,Polaris
3386.0,70.59527271894974,Polaris
3406.0,70.66200000247088,Polaris
3426.0,70.59290909337997,Polaris
3446.0,70.52381818428907,Polaris
