round,accuracy,elapsed_time,comm_time,round_time
1,0.1357,13.000000476837158,0,13
2,0.1248,25.000000476837158,0,20
3,0.1342,39.00000047683716,0,30
4,0.1217,52.00000047683716,0,51
5,0.1003,70.00000047683716,0,70
6,0.1386,100.00000047683716,0,70
7,0.2124,128.00000047683716,0,70
8,0.1997,151.00000047683716,0,70
9,0.2181,183.00000047683716,0,70
10,0.2561,221.00000047683716,0,70
11,0.3351,253.00000047683716,0,70
12,0.3581,291.00000047683716,0,70
13,0.3237,323.00000047683716,0,70
14,0.3511,361.00000047683716,0,70
15,0.4022,393.00000047683716,0,70
16,0.4262,431.00000047683716,0,70
17,0.3931,463.00000047683716,0,70
18,0.4226,501.00000047683716,0,70
19,0.3884,533.0000004768372,0,70
20,0.4219,571.0000004768372,0,70
21,0.411,603.0000004768372,0,70
22,0.4119,641.0000004768372,0,70
23,0.4209,673.0000004768372,0,70
24,0.4412,711.0000004768372,0,70
25,0.4301,743.0000004768372,0,70
26,0.4318,781.0000004768372,0,70
27,0.4329,813.0000004768372,0,70
28,0.4584,851.0000004768372,0,70
29,0.4466,883.0000004768372,0,70
30,0.4606,921.0000004768372,0,70
31,0.4506,953.0000004768372,0,70
32,0.4473,991.0000004768372,0,70
33,0.4495,1023.0000004768372,0,70
34,0.4838,1061.0000004768372,0,70
35,0.4336,1093.0000004768372,0,70
36,0.4921,1131.0000004768372,0,70
37,0.4797,1163.0000004768372,0,70
38,0.4905,1201.0000004768372,0,70
39,0.4656,1233.0000004768372,0,70
40,0.4668,1271.0000004768372,0,70
41,0.4791,1303.0000004768372,0,70
42,0.5128,1341.0000004768372,0,70
43,0.4712,1373.0000004768372,0,70
44,0.4997,1411.0000004768372,0,70
45,0.4847,1443.0000004768372,0,70
46,0.507,1481.0000004768372,0,70
47,0.4876,1513.0000004768372,0,70
48,0.504,1551.0000004768372,0,70
49,0.5184,1583.0000004768372,0,70
50,0.4906,1621.0000004768372,0,70
51,0.5041,1653.0000004768372,0,70
52,0.4977,1691.0000004768372,0,70
53,0.523,1723.0000004768372,0,70
54,0.4829,1761.0000004768372,0,70
55,0.5189,1793.0000004768372,0,70
56,0.496,1831.0000004768372,0,70
57,0.4991,1863.0000004768372,0,70
58,0.4949,1901.0000004768372,0,70
59,0.5267,1933.0000004768372,0,70
60,0.5156,1971.0000004768372,0,70
61,0.5323,2003.0000004768372,0,70
62,0.5291,2041.0000004768372,0,70
63,0.5193,2073.000000476837,0,70
64,0.5094,2111.000000476837,0,70
65,0.4924,2143.000000476837,0,70
66,0.531,2181.000000476837,0,70
67,0.5301,2213.000000476837,0,70
68,0.5223,2251.000000476837,0,70
