round,accuracy,elapsed_time,comm_time,round_time
1,0.1,23.000000476837158,0,23
2,0.1005,70.00000047683716,0,70
3,0.1,83.00000047683716,0,70
4,0.1105,95.00000047683716,0,70
5,0.109,130.00000047683716,0,60
6,0.1107,153.00000047683716,0,70
7,0.1159,166.00000047683716,0,70
8,0.187,200.00000047683716,0,70
9,0.2128,223.00000047683716,0,70
10,0.2485,236.00000047683716,0,70
11,0.2937,253.00000047683716,0,70
12,0.3382,306.00000047683716,0,70
13,0.3758,323.00000047683716,0,70
14,0.3555,334.00000047683716,0,70
15,0.3634,370.00000047683716,0,47
16,0.3963,382.00000047683716,0,70
17,0.3814,400.00000047683716,0,70
18,0.3678,411.00000047683716,0,70
19,0.4061,422.00000047683716,0,12
20,0.3996,440.00000047683716,0,70
21,0.4324,452.00000047683716,0,70
22,0.4201,481.00000047683716,0,70
23,0.4268,498.00000047683716,0,70
24,0.4254,522.0000004768372,0,70
25,0.4333,551.0000004768372,0,70
26,0.4375,563.0000004768372,0,70
27,0.413,575.0000004768372,0,70
28,0.3918,587.0000004768372,0,29
29,0.4358,598.0000004768372,0,70
30,0.433,609.0000004768372,0,48
31,0.4873,620.0000004768372,0,14
32,0.4,631.0000004768372,0,12
33,0.4367,638.0000004768372,0,70
34,0.4202,646.0000004768372,0,15
35,0.4337,650.0000004768372,0,12
36,0.4643,661.0000004768372,0,11
37,0.4626,668.0000004768372,0,18
38,0.4638,679.0000004768372,0,16
39,0.4653,690.0000004768372,0,23
40,0.4803,701.0000004768372,0,30
41,0.4771,705.0000004768372,0,23
42,0.4856,716.0000004768372,0,13
43,0.4298,727.0000004768372,0,21
44,0.4904,735.0000004768372,0,30
45,0.4769,746.0000004768372,0,12
46,0.4983,757.0000004768372,0,18
47,0.5016,768.0000004768372,0,27
48,0.4826,779.0000004768372,0,18
49,0.5103,790.0000004768372,0,14
50,0.5039,801.0000004768372,0,70
51,0.5142,812.0000004768372,0,70
52,0.4804,823.0000004768372,0,13
53,0.5283,834.0000004768372,0,15
54,0.5074,845.0000004768372,0,31
55,0.5175,856.0000004768372,0,14
56,0.5155,867.0000004768372,0,70
57,0.5165,878.0000004768372,0,31
58,0.4756,889.0000004768372,0,45
59,0.5079,900.0000004768372,0,21
60,0.5252,911.0000004768372,0,20
61,0.531,922.0000004768372,0,70
62,0.5391,933.0000004768372,0,13
63,0.5473,944.0000004768372,0,47
64,0.5128,955.0000004768372,0,12
65,0.5305,966.0000004768372,0,18
66,0.5373,977.0000004768372,0,70
67,0.5476,988.0000004768372,0,30
68,0.5164,996.0000004768372,0,33
69,0.5278,1006.0000004768372,0,18
70,0.5437,1017.0000004768372,0,18
71,0.5352,1025.0000004768372,0,29
72,0.5516,1036.0000004768372,0,12
73,0.5469,1047.0000004768372,0,23
74,0.5528,1051.0000004768372,0,30
75,0.5335,1062.0000004768372,0,12
76,0.5116,1073.0000004768372,0,21
77,0.5124,1074.0000004768372,0,22
78,0.5552,1085.0000004768372,0,12
79,0.5526,1096.0000004768372,0,16
80,0.5439,1107.0000004768372,0,22
81,0.5288,1118.0000004768372,0,19
82,0.5601,1129.0000004768372,0,14
83,0.5558,1140.0000004768372,0,27
84,0.5506,1151.0000004768372,0,70
85,0.551,1162.0000004768372,0,70
86,0.5619,1173.0000004768372,0,70
87,0.5568,1184.0000004768372,0,16
88,0.5078,1195.0000004768372,0,18
89,0.561,1206.0000004768372,0,20
90,0.5607,1217.0000004768372,0,30
91,0.5599,1228.0000004768372,0,70
92,0.5681,1239.0000004768372,0,57
93,0.5484,1250.0000004768372,0,70
94,0.5565,1261.0000004768372,0,70
95,0.5557,1272.0000004768372,0,70
96,0.5394,1283.0000004768372,0,15
97,0.5422,1294.0000004768372,0,70
98,0.5635,1305.0000004768372,0,13
99,0.5485,1316.0000004768372,0,70
100,0.5603,1327.0000004768372,0,13
101,0.5592,1338.0000004768372,0,70
102,0.564,1349.0000004768372,0,31
103,0.5775,1360.0000004768372,0,70
104,0.5493,1371.0000004768372,0,15
105,0.5493,1382.0000004768372,0,70
106,0.5667,1393.0000004768372,0,70
107,0.5417,1404.0000004768372,0,18
108,0.5733,1416.0000004768372,0,22
109,0.5668,1427.0000004768372,0,70
110,0.5491,1438.0000004768372,0,70
111,0.5789,1449.0000004768372,0,70
112,0.5649,1460.0000004768372,0,70
113,0.569,1471.0000004768372,0,24
114,0.5715,1482.0000004768372,0,70
115,0.5674,1493.0000004768372,0,18
116,0.562,1504.0000004768372,0,12
117,0.5571,1515.0000004768372,0,70
118,0.5404,1526.0000004768372,0,13
119,0.5782,1537.0000004768372,0,70
120,0.5785,1548.0000004768372,0,30
121,0.5803,1559.0000004768372,0,70
122,0.5761,1570.0000004768372,0,12
123,0.5655,1581.0000004768372,0,70
124,0.5854,1592.0000004768372,0,14
125,0.5414,1603.0000004768372,0,15
126,0.5703,1614.0000004768372,0,31
127,0.5737,1625.0000004768372,0,23
128,0.5916,1636.0000004768372,0,70
129,0.576,1647.0000004768372,0,70
130,0.5819,1658.0000004768372,0,20
131,0.5754,1669.0000004768372,0,70
132,0.5845,1680.0000004768372,0,27
133,0.5889,1691.0000004768372,0,30
134,0.5582,1702.0000004768372,0,70
135,0.594,1713.0000004768372,0,31
136,0.5718,1724.0000004768372,0,39
137,0.5877,1732.0000004768372,0,30
138,0.5761,1743.0000004768372,0,12
139,0.5756,1754.0000004768372,0,21
140,0.58,1765.0000004768372,0,13
141,0.583,1776.0000004768372,0,39
142,0.5893,1787.0000004768372,0,18
143,0.578,1798.0000004768372,0,70
144,0.5754,1809.0000004768372,0,18
145,0.5879,1820.0000004768372,0,19
146,0.5907,1831.0000004768372,0,18
147,0.5933,1842.0000004768372,0,70
148,0.5959,1854.0000004768372,0,70
149,0.5902,1865.0000004768372,0,70
150,0.5913,1876.0000004768372,0,70
