round,accuracy,elapsed_time,comm_time,round_time
1,0.1,13.000000715255737,0,13
2,0.1025,44.00000071525574,0,31
3,0.1025,70.00000071525574,0,70
4,0.1,83.00000071525574,0,70
5,0.1539,114.00000071525574,0,70
6,0.1487,140.00000071525574,0,70
7,0.191,184.00000071525574,0,70
8,0.2078,210.00000071525574,0,70
9,0.222,233.00000071525574,0,70
10,0.2349,255.00000071525574,0,70
11,0.3231,280.00000071525574,0,70
12,0.277,303.00000071525574,0,70
13,0.3066,350.00000071525574,0,70
14,0.3466,373.00000071525574,0,70
15,0.3728,420.00000071525574,0,70
16,0.3781,443.00000071525574,0,70
17,0.3974,456.00000071525574,0,70
18,0.3793,490.00000071525574,0,70
19,0.3748,513.0000007152557,0,70
20,0.3773,526.0000007152557,0,70
21,0.3576,537.0000007152557,0,70
22,0.3968,550.0000007152557,0,30
23,0.395,560.0000007152557,0,70
24,0.3742,571.0000007152557,0,14
25,0.4302,582.0000007152557,0,28
26,0.4151,593.0000007152557,0,23
27,0.3892,604.0000007152557,0,31
28,0.3966,610.0000007152557,0,26
29,0.3828,621.0000007152557,0,15
30,0.4328,626.0000007152557,0,22
31,0.4151,633.0000007152557,0,12
32,0.4172,645.0000007152557,0,18
33,0.4329,656.0000007152557,0,24
34,0.4446,667.0000007152557,0,29
35,0.4713,678.0000007152557,0,21
36,0.4435,689.0000007152557,0,19
37,0.4738,700.0000007152557,0,70
38,0.4611,711.0000007152557,0,70
39,0.4454,722.0000007152557,0,70
40,0.4501,733.0000007152557,0,70
41,0.4605,745.0000007152557,0,15
42,0.4769,756.0000007152557,0,16
43,0.5007,767.0000007152557,0,33
44,0.47,778.0000007152557,0,70
45,0.4957,790.0000007152557,0,70
46,0.4878,801.0000007152557,0,70
47,0.4801,812.0000007152557,0,35
48,0.488,826.0000007152557,0,70
49,0.4797,837.0000007152557,0,70
50,0.4635,848.0000007152557,0,70
51,0.4813,859.0000007152557,0,70
52,0.4821,870.0000007152557,0,12
53,0.4585,881.0000007152557,0,70
54,0.4893,892.0000007152557,0,30
55,0.4837,903.0000007152557,0,70
56,0.512,914.0000007152557,0,18
57,0.4975,925.0000007152557,0,39
58,0.4977,936.0000007152557,0,70
59,0.4769,947.0000007152557,0,70
60,0.4679,961.0000007152557,0,14
61,0.4715,972.0000007152557,0,70
62,0.4698,983.0000007152557,0,70
63,0.4845,995.0000007152557,0,70
64,0.4764,1006.0000007152557,0,70
65,0.5014,1017.0000007152557,0,70
66,0.5197,1028.0000007152557,0,51
67,0.4801,1039.0000007152557,0,70
68,0.5179,1050.0000007152557,0,70
69,0.5024,1063.0000007152557,0,70
70,0.5113,1074.0000007152557,0,70
71,0.5052,1085.0000007152557,0,14
72,0.5297,1096.0000007152557,0,70
73,0.4937,1107.0000007152557,0,70
74,0.5168,1118.0000007152557,0,70
75,0.4688,1129.0000007152557,0,70
76,0.4739,1140.0000007152557,0,16
77,0.4637,1151.0000007152557,0,70
78,0.4986,1162.0000007152557,0,70
79,0.4768,1173.0000007152557,0,15
80,0.4832,1184.0000007152557,0,23
81,0.5199,1195.0000007152557,0,30
82,0.5059,1206.0000007152557,0,28
83,0.5411,1217.0000007152557,0,70
84,0.4951,1228.0000007152557,0,17
85,0.4516,1239.0000007152557,0,70
86,0.4978,1250.0000007152557,0,12
87,0.522,1261.0000007152557,0,70
88,0.5337,1272.0000007152557,0,70
89,0.4951,1283.0000007152557,0,70
90,0.548,1294.0000007152557,0,70
91,0.5031,1305.0000007152557,0,15
92,0.5395,1316.0000007152557,0,70
93,0.5354,1327.0000007152557,0,17
94,0.5412,1338.0000007152557,0,70
95,0.5513,1349.0000007152557,0,27
96,0.5101,1360.0000007152557,0,70
97,0.538,1371.0000007152557,0,55
98,0.5292,1382.0000007152557,0,70
99,0.5085,1387.0000007152557,0,60
100,0.5135,1398.0000007152557,0,13
101,0.4865,1408.0000007152557,0,21
102,0.5267,1415.0000007152557,0,17
103,0.5111,1426.0000007152557,0,13
104,0.5314,1433.0000007152557,0,21
105,0.4884,1444.0000007152557,0,15
106,0.4888,1447.0000007152557,0,18
107,0.4767,1457.0000007152557,0,13
108,0.5162,1461.0000007152557,0,14
109,0.5409,1472.0000007152557,0,13
110,0.4955,1477.0000007152557,0,20
111,0.5351,1488.0000007152557,0,15
112,0.5532,1499.0000007152557,0,24
113,0.5273,1510.0000007152557,0,14
114,0.544,1521.0000007152557,0,23
115,0.5419,1532.0000007152557,0,22
116,0.5336,1542.0000007152557,0,70
117,0.5351,1546.0000007152557,0,14
118,0.526,1557.0000007152557,0,14
119,0.5192,1560.0000007152557,0,15
120,0.5427,1571.0000007152557,0,13
121,0.527,1575.0000007152557,0,15
122,0.5427,1584.0000007152557,0,13
123,0.5623,1588.0000007152557,0,13
124,0.5481,1598.0000007152557,0,14
125,0.5645,1601.0000007152557,0,13
126,0.5646,1612.0000007152557,0,12
127,0.5646,1614.0000007152557,0,16
128,0.5495,1625.0000007152557,0,12
129,0.5418,1636.0000007152557,0,13
130,0.5558,1647.0000007152557,0,12
131,0.5613,1658.0000007152557,0,39
132,0.5378,1669.0000007152557,0,18
133,0.5409,1680.0000007152557,0,12
134,0.5597,1691.0000007152557,0,12
135,0.5673,1695.0000007152557,0,70
136,0.4899,1705.0000007152557,0,14
137,0.5505,1708.0000007152557,0,13
138,0.5481,1719.0000007152557,0,12
139,0.5568,1722.0000007152557,0,17
140,0.5531,1732.0000007152557,0,13
141,0.5545,1734.0000007152557,0,12
142,0.5547,1745.0000007152557,0,12
143,0.5667,1746.0000007152557,0,13
144,0.5651,1757.0000007152557,0,12
145,0.5573,1768.0000007152557,0,18
146,0.5627,1779.0000007152557,0,31
147,0.5642,1790.0000007152557,0,23
148,0.5522,1801.0000007152557,0,30
149,0.5386,1812.0000007152557,0,15
150,0.5469,1823.0000007152557,0,23
151,0.566,1834.0000007152557,0,70
152,0.5551,1845.0000007152557,0,12
153,0.5492,1856.0000007152557,0,27
154,0.5017,1867.0000007152557,0,70
155,0.5242,1878.0000007152557,0,13
156,0.5599,1889.0000007152557,0,70
157,0.5312,1900.0000007152557,0,33
158,0.5722,1912.0000007152557,0,21
159,0.5648,1923.0000007152557,0,70
160,0.5428,1934.0000007152557,0,15
161,0.5585,1945.0000007152557,0,21
162,0.5711,1956.0000007152557,0,70
163,0.5584,1967.0000007152557,0,70
164,0.5709,1978.0000007152557,0,70
165,0.5406,1989.0000007152557,0,70
166,0.5464,2000.0000007152557,0,70
167,0.5392,2011.0000007152557,0,70
168,0.5249,2022.0000007152557,0,21
169,0.5567,2033.0000007152557,0,13
170,0.5809,2044.0000007152557,0,70
171,0.5732,2055.0000007152557,0,14
172,0.5717,2066.0000007152557,0,70
173,0.5628,2077.0000007152557,0,70
174,0.5868,2088.0000007152557,0,29
175,0.5638,2099.0000007152557,0,19
176,0.5759,2110.0000007152557,0,70
177,0.5749,2121.0000007152557,0,70
