round,accuracy,elapsed_time,comm_time,round_time
1,0.1,13.000000476837158,0,13
2,0.1043,25.000000476837158,0,20
3,0.1179,37.00000047683716,0,30
4,0.1009,51.00000047683716,0,51
5,0.1476,63.00000047683716,0,55
6,0.1134,74.00000047683716,0,70
7,0.1845,85.00000047683716,0,18
8,0.2335,100.00000047683716,0,70
9,0.2484,121.00000047683716,0,70
10,0.3362,135.00000047683716,0,70
11,0.273,146.00000047683716,0,70
12,0.3313,157.00000047683716,0,70
13,0.3368,169.00000047683716,0,12
14,0.378,191.00000047683716,0,70
15,0.3344,203.00000047683716,0,70
16,0.3942,214.00000047683716,0,70
17,0.3403,225.00000047683716,0,12
18,0.3954,236.00000047683716,0,70
19,0.4059,247.00000047683716,0,70
20,0.4453,258.00000047683716,0,18
21,0.4233,269.00000047683716,0,70
22,0.43,280.00000047683716,0,70
23,0.4406,291.00000047683716,0,70
24,0.4279,302.00000047683716,0,70
25,0.4544,313.00000047683716,0,70
26,0.4478,324.00000047683716,0,70
27,0.4504,335.00000047683716,0,70
28,0.4637,346.00000047683716,0,70
29,0.4387,372.00000047683716,0,70
30,0.4644,383.00000047683716,0,70
31,0.4394,394.00000047683716,0,70
32,0.4695,405.00000047683716,0,70
33,0.4604,416.00000047683716,0,70
34,0.4596,427.00000047683716,0,70
35,0.4479,439.00000047683716,0,60
36,0.442,450.00000047683716,0,70
37,0.4658,461.00000047683716,0,70
38,0.4752,480.00000047683716,0,70
39,0.4947,491.00000047683716,0,70
40,0.4817,502.00000047683716,0,70
41,0.5026,513.0000004768372,0,70
42,0.4849,524.0000004768372,0,70
43,0.4956,535.0000004768372,0,70
44,0.4667,546.0000004768372,0,11
45,0.4551,559.0000004768372,0,29
46,0.4785,572.0000004768372,0,70
47,0.491,583.0000004768372,0,70
48,0.4948,594.0000004768372,0,11
49,0.5311,605.0000004768372,0,70
50,0.4979,616.0000004768372,0,70
51,0.5082,627.0000004768372,0,70
52,0.5217,638.0000004768372,0,70
53,0.512,649.0000004768372,0,70
54,0.5204,661.0000004768372,0,70
55,0.5404,672.0000004768372,0,70
56,0.5202,683.0000004768372,0,70
57,0.5324,695.0000004768372,0,12
58,0.5471,706.0000004768372,0,70
59,0.4992,717.0000004768372,0,70
60,0.54,728.0000004768372,0,30
61,0.5127,739.0000004768372,0,70
62,0.543,750.0000004768372,0,70
63,0.5364,761.0000004768372,0,13
64,0.5234,772.0000004768372,0,22
65,0.4974,783.0000004768372,0,70
66,0.5399,793.0000004768372,0,70
67,0.5267,804.0000004768372,0,18
68,0.4969,815.0000004768372,0,22
69,0.4915,826.0000004768372,0,21
70,0.4756,837.0000004768372,0,18
71,0.493,849.0000004768372,0,22
72,0.5148,860.0000004768372,0,70
73,0.5241,871.0000004768372,0,31
74,0.5261,882.0000004768372,0,21
75,0.5342,893.0000004768372,0,23
76,0.521,904.0000004768372,0,70
77,0.5528,915.0000004768372,0,31
78,0.5679,926.0000004768372,0,13
79,0.5393,936.0000004768372,0,70
80,0.4719,941.0000004768372,0,15
81,0.5637,952.0000004768372,0,15
82,0.5476,960.0000004768372,0,24
83,0.5213,971.0000004768372,0,15
84,0.5257,982.0000004768372,0,16
85,0.5546,993.0000004768372,0,39
86,0.5434,1004.0000004768372,0,13
87,0.5488,1015.0000004768372,0,21
88,0.5332,1026.0000004768372,0,51
89,0.5671,1037.0000004768372,0,14
90,0.5473,1048.0000004768372,0,14
91,0.5638,1059.0000004768372,0,22
92,0.5556,1070.0000004768372,0,70
93,0.5803,1081.0000004768372,0,23
94,0.5833,1092.0000004768372,0,15
95,0.5534,1103.0000004768372,0,20
96,0.573,1114.0000004768372,0,15
97,0.5745,1125.0000004768372,0,70
98,0.5658,1136.0000004768372,0,55
99,0.5313,1144.0000004768372,0,30
100,0.518,1155.0000004768372,0,16
101,0.5515,1166.0000004768372,0,14
102,0.5487,1177.0000004768372,0,22
103,0.5427,1188.0000004768372,0,15
104,0.5718,1199.0000004768372,0,14
105,0.5668,1210.0000004768372,0,70
106,0.5791,1221.0000004768372,0,22
107,0.5492,1232.0000004768372,0,18
108,0.5522,1243.0000004768372,0,39
109,0.5823,1254.0000004768372,0,14
110,0.5746,1265.0000004768372,0,70
111,0.5372,1276.0000004768372,0,18
112,0.5171,1287.0000004768372,0,70
113,0.544,1298.0000004768372,0,15
114,0.577,1309.0000004768372,0,70
115,0.5272,1320.0000004768372,0,70
116,0.5948,1331.0000004768372,0,24
117,0.5649,1342.0000004768372,0,51
118,0.5718,1353.0000004768372,0,16
119,0.5681,1364.0000004768372,0,21
120,0.5702,1375.0000004768372,0,31
121,0.5228,1380.0000004768372,0,70
122,0.5564,1390.0000004768372,0,15
123,0.4793,1394.0000004768372,0,14
124,0.5723,1404.0000004768372,0,14
125,0.5717,1412.0000004768372,0,18
126,0.5713,1420.0000004768372,0,16
127,0.5556,1428.0000004768372,0,16
128,0.5876,1434.0000004768372,0,14
129,0.6054,1445.0000004768372,0,14
130,0.558,1451.0000004768372,0,22
131,0.5968,1462.0000004768372,0,15
132,0.564,1473.0000004768372,0,23
133,0.5667,1482.0000004768372,0,30
134,0.5297,1493.0000004768372,0,17
135,0.5552,1503.0000004768372,0,30
136,0.5591,1507.0000004768372,0,14
137,0.5838,1518.0000004768372,0,14
138,0.5286,1520.0000004768372,0,17
139,0.5191,1531.0000004768372,0,13
140,0.5881,1533.0000004768372,0,14
141,0.5625,1544.0000004768372,0,12
142,0.5826,1546.0000004768372,0,14
143,0.5721,1557.0000004768372,0,12
144,0.594,1562.0000004768372,0,18
145,0.5776,1570.0000004768372,0,13
146,0.5717,1574.0000004768372,0,12
147,0.5698,1585.0000004768372,0,14
148,0.6054,1587.0000004768372,0,17
149,0.5746,1598.0000004768372,0,13
150,0.5927,1609.0000004768372,0,16
151,0.5983,1620.0000004768372,0,29
