round,accuracy,elapsed_time,comm_time,round_time
1,0.1,13.000000953674316,0,13
2,0.113,44.000000953674316,0,31
3,0.1017,70.00000095367432,0,70
4,0.1195,83.00000095367432,0,70
5,0.1094,114.00000095367432,0,70
6,0.1821,140.00000095367432,0,70
7,0.1,184.00000095367432,0,70
8,0.1,210.00000095367432,0,70
9,0.1,233.00000095367432,0,70
10,0.1,280.0000009536743,0,70
11,0.1084,294.0000009536743,0,70
12,0.133,305.0000009536743,0,70
13,0.1907,350.0000009536743,0,70
14,0.2249,371.0000009536743,0,70
15,0.2367,384.0000009536743,0,70
16,0.2379,420.0000009536743,0,70
17,0.3417,444.0000009536743,0,70
18,0.2673,490.0000009536743,0,70
19,0.3578,514.0000009536743,0,70
20,0.3747,526.0000009536743,0,70
21,0.3795,537.0000009536743,0,39
22,0.3699,548.0000009536743,0,47
23,0.4101,559.0000009536743,0,14
24,0.3684,570.0000009536743,0,70
25,0.3725,581.0000009536743,0,12
26,0.3778,584.0000009536743,0,70
27,0.3812,593.0000009536743,0,12
28,0.3739,604.0000009536743,0,15
29,0.3062,608.0000009536743,0,24
30,0.4147,615.0000009536743,0,11
31,0.3165,622.0000009536743,0,14
32,0.3623,627.0000009536743,0,12
33,0.3358,638.0000009536743,0,11
34,0.4025,646.0000009536743,0,24
35,0.3564,654.0000009536743,0,16
36,0.3654,658.0000009536743,0,12
37,0.4136,668.0000009536743,0,14
38,0.4383,670.0000009536743,0,12
39,0.4578,681.0000009536743,0,12
40,0.4185,682.0000009536743,0,13
41,0.4463,693.0000009536743,0,12
42,0.4619,697.0000009536743,0,15
43,0.4545,705.0000009536743,0,12
44,0.3079,710.0000009536743,0,13
45,0.441,717.0000009536743,0,12
46,0.4443,722.0000009536743,0,12
47,0.383,731.0000009536743,0,14
48,0.2545,735.0000009536743,0,13
49,0.5163,743.0000009536743,0,12
50,0.4857,747.0000009536743,0,12
51,0.4508,756.0000009536743,0,13
52,0.3367,759.0000009536743,0,12
53,0.4641,769.0000009536743,0,13
54,0.4845,771.0000009536743,0,12
55,0.4528,781.0000009536743,0,12
56,0.4496,784.0000009536743,0,13
57,0.4632,793.0000009536743,0,12
58,0.467,797.0000009536743,0,13
59,0.4912,808.0000009536743,0,15
60,0.4333,809.0000009536743,0,12
61,0.5145,820.0000009536743,0,11
62,0.5346,830.0000009536743,0,22
63,0.416,834.0000009536743,0,14
64,0.5411,845.0000009536743,0,12
65,0.4819,851.0000009536743,0,21
66,0.5616,856.0000009536743,0,11
67,0.4911,863.0000009536743,0,12
68,0.48,870.0000009536743,0,14
69,0.5067,874.0000009536743,0,11
70,0.5307,882.0000009536743,0,12
71,0.5459,889.0000009536743,0,15
72,0.4649,895.0000009536743,0,13
73,0.5342,901.0000009536743,0,12
74,0.5256,908.0000009536743,0,13
75,0.511,919.0000009536743,0,12
76,0.5403,925.0000009536743,0,24
77,0.4367,936.0000009536743,0,13
78,0.511,939.0000009536743,0,20
79,0.4994,949.0000009536743,0,13
80,0.5562,954.0000009536743,0,15
81,0.4755,961.0000009536743,0,12
82,0.5325,966.0000009536743,0,12
83,0.4894,973.0000009536743,0,12
84,0.4948,978.0000009536743,0,12
85,0.5503,986.0000009536743,0,13
86,0.5107,991.0000009536743,0,13
87,0.5199,998.0000009536743,0,12
88,0.522,1004.0000009536743,0,13
89,0.5354,1013.0000009536743,0,15
90,0.5227,1016.0000009536743,0,12
91,0.5524,1025.0000009536743,0,12
92,0.5602,1029.0000009536743,0,13
93,0.4873,1040.0000009536743,0,12
94,0.5463,1043.0000009536743,0,15
95,0.5274,1052.0000009536743,0,12
96,0.5409,1055.0000009536743,0,12
97,0.4272,1066.0000009536743,0,12
98,0.4956,1067.0000009536743,0,14
99,0.5439,1078.0000009536743,0,12
100,0.5498,1079.0000009536743,0,12
101,0.5186,1089.0000009536743,0,11
102,0.5106,1094.0000009536743,0,15
103,0.5123,1101.0000009536743,0,12
104,0.5811,1106.0000009536743,0,12
105,0.57,1115.0000009536743,0,14
106,0.578,1126.0000009536743,0,12
107,0.5561,1137.0000009536743,0,12
108,0.5748,1141.0000009536743,0,35
109,0.5307,1152.0000009536743,0,14
110,0.5757,1155.0000009536743,0,15
111,0.5344,1166.0000009536743,0,11
112,0.5654,1167.0000009536743,0,14
113,0.5922,1178.0000009536743,0,11
114,0.5559,1181.0000009536743,0,15
115,0.5967,1192.0000009536743,0,12
116,0.5273,1193.0000009536743,0,14
117,0.5912,1204.0000009536743,0,11
118,0.5908,1209.0000009536743,0,17
119,0.5928,1215.0000009536743,0,11
120,0.5885,1221.0000009536743,0,12
121,0.6003,1230.0000009536743,0,15
122,0.5424,1234.0000009536743,0,13
123,0.5637,1242.0000009536743,0,12
124,0.582,1253.0000009536743,0,14
125,0.6071,1257.0000009536743,0,23
126,0.5983,1265.0000009536743,0,12
127,0.5879,1269.0000009536743,0,12
128,0.5777,1277.0000009536743,0,12
129,0.6044,1281.0000009536743,0,12
130,0.5735,1289.0000009536743,0,12
131,0.5849,1293.0000009536743,0,12
132,0.539,1301.0000009536743,0,12
133,0.5724,1307.0000009536743,0,14
134,0.5926,1313.0000009536743,0,12
135,0.5471,1319.0000009536743,0,12
136,0.5922,1325.0000009536743,0,12
137,0.5648,1331.0000009536743,0,12
138,0.5358,1336.0000009536743,0,11
139,0.5653,1343.0000009536743,0,12
140,0.5695,1347.0000009536743,0,11
141,0.5655,1355.0000009536743,0,12
142,0.5904,1360.0000009536743,0,13
143,0.5877,1367.0000009536743,0,12
144,0.5921,1372.0000009536743,0,12
145,0.5851,1378.0000009536743,0,11
146,0.5763,1389.0000009536743,0,12
147,0.5726,1394.0000009536743,0,19
148,0.1924,1405.0000009536743,0,12
149,0.6053,1412.0000009536743,0,23
150,0.5676,1419.0000009536743,0,14
