round,accuracy,elapsed_time,comm_time,round_time
1,0.1,65.00000023841858,0,65
2,0.1071,125.00000023841858,0,100
3,0.182,195.00000023841858,0,150
4,0.3007,260.0000002384186,0,255
5,0.2962,320.0000002384186,0,275
6,0.1659,375.0000002384186,0,350
7,0.3988,430.0000002384186,0,350
8,0.4329,490.0000002384186,0,350
9,0.5048,545.0000002384186,0,65
10,0.5183,615.0000002384186,0,350
11,0.5336,675.0000002384186,0,350
12,0.5227,730.0000002384186,0,350
13,0.5847,785.0000002384186,0,60
14,0.5962,840.0000002384186,0,60
15,0.6045,895.0000002384186,0,350
16,0.5915,950.0000002384186,0,350
17,0.6068,1005.0000002384186,0,350
18,0.6211,1060.0000002384186,0,85
19,0.6217,1115.0000002384186,0,350
20,0.6289,1170.0000002384186,0,85
21,0.6327,1225.0000002384186,0,350
22,0.6358,1280.0000002384186,0,350
23,0.6301,1335.0000002384186,0,60
24,0.6429,1390.0000002384186,0,350
25,0.6336,1445.0000002384186,0,60
26,0.6424,1500.0000002384186,0,350
27,0.6354,1535.0000002384186,0,255
28,0.6419,1585.0000002384186,0,85
29,0.6393,1640.0000002384186,0,60
30,0.6442,1695.0000002384186,0,85
31,0.6404,1750.0000002384186,0,60
32,0.6465,1805.0000002384186,0,85
33,0.6421,1860.0000002384186,0,60
34,0.6446,1890.0000002384186,0,350
35,0.6465,1920.0000002384186,0,60
36,0.6462,1975.0000002384186,0,75
37,0.6498,1980.0000002384186,0,85
38,0.6528,2035.0000002384186,0,60
39,0.6505,2050.0000002384186,0,75
40,0.6547,2105.0000002384186,0,60
41,0.656,2160.0000002384186,0,60
42,0.6534,2190.0000002384186,0,155
43,0.6564,2245.0000002384186,0,60
44,0.6552,2300.0000002384186,0,90
45,0.6592,2355.0000002384186,0,60
46,0.6587,2410.0000002384186,0,60
47,0.6582,2465.0000002384186,0,85
48,0.6611,2520.0000002384186,0,60
49,0.6601,2575.0000002384186,0,350
50,0.6641,2630.0000002384186,0,350
51,0.6592,2685.0000002384186,0,350
52,0.6617,2740.0000002384186,0,120
53,0.661,2795.0000002384186,0,95
54,0.6657,2850.0000002384186,0,60
55,0.6661,2905.0000002384186,0,350
56,0.6675,2960.0000002384186,0,115
57,0.6657,3020.0000002384186,0,95
58,0.6644,3075.0000002384186,0,350
59,0.6671,3130.0000002384186,0,350
60,0.6654,3185.0000002384186,0,350
61,0.6679,3245.0000002384186,0,350
62,0.6694,3305.0000002384186,0,350
63,0.6668,3365.0000002384186,0,120
64,0.5028,3425.0000002384186,0,135
65,0.6674,3480.0000002384186,0,350
66,0.6718,3535.0000002384186,0,350
67,0.6651,3595.0000002384186,0,155
68,0.6696,3655.0000002384186,0,350
69,0.6691,3715.0000002384186,0,110
70,0.6732,3770.0000002384186,0,155
71,0.6689,3825.0000002384186,0,350
72,0.6722,3880.0000002384186,0,300
73,0.6677,3935.0000002384186,0,350
74,0.6673,3990.0000002384186,0,130
75,0.6713,4045.0000002384186,0,90
76,0.675,4100.000000238419,0,95
77,0.6755,4155.000000238419,0,145
78,0.6689,4210.000000238419,0,350
79,0.6715,4270.000000238419,0,110
80,0.6744,4330.000000238419,0,95
81,0.6736,4400.000000238419,0,350
82,0.6775,4470.000000238419,0,110
83,0.6793,4550.000000238419,0,350
84,0.6762,4620.000000238419,0,350
85,0.6778,4680.000000238419,0,350
86,0.6734,4760.000000238419,0,195
87,0.6773,4825.000000238419,0,350
88,0.674,4900.000000238419,0,350
89,0.683,4955.000000238419,0,150
90,0.6759,5020.000000238419,0,350
91,0.6811,5075.000000238419,0,350
92,0.6723,5130.000000238419,0,350
93,0.6822,5190.000000238419,0,95
94,0.6805,5245.000000238419,0,120
95,0.6768,5300.000000238419,0,350
96,0.6816,5355.000000238419,0,350
97,0.6838,5410.000000238419,0,145
98,0.6806,5460.000000238419,0,350
99,0.6828,5515.000000238419,0,95
100,0.6832,5570.000000238419,0,110
101,0.6838,5625.000000238419,0,115
102,0.6818,5685.000000238419,0,110
103,0.6838,5740.000000238419,0,285
104,0.6831,5805.000000238419,0,110
105,0.683,5865.000000238419,0,350
106,0.6832,5920.000000238419,0,350
107,0.6847,5975.000000238419,0,195
108,0.6845,6030.000000238419,0,175
109,0.6821,6085.000000238419,0,350
110,0.6823,6140.000000238419,0,140
111,0.6854,6195.000000238419,0,350
112,0.6831,6250.000000238419,0,80
113,0.686,6305.000000238419,0,350
114,0.684,6360.000000238419,0,70
115,0.6858,6415.000000238419,0,350
116,0.6814,6470.000000238419,0,235
117,0.6875,6525.000000238419,0,95
118,0.6846,6580.000000238419,0,195
119,0.6846,6635.000000238419,0,350
120,0.6861,6695.000000238419,0,70
121,0.6873,6750.000000238419,0,130
122,0.6859,6805.000000238419,0,105
123,0.6854,6860.000000238419,0,350
124,0.6854,6915.000000238419,0,105
125,0.6843,6970.000000238419,0,70
126,0.6849,7025.000000238419,0,350
127,0.6841,7080.000000238419,0,120
