round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000071525574,0,115
2,0.1,350.00000071525574,0,350
3,0.1,405.00000071525574,0,350
4,0.1,470.00000071525574,0,350
5,0.1,625.0000007152557,0,165
6,0.1,790.0000007152557,0,350
7,0.1347,975.0000007152557,0,350
8,0.2895,1045.0000007152557,0,350
9,0.3306,1155.0000007152557,0,350
10,0.3759,1325.0000007152557,0,350
11,0.3611,1395.0000007152557,0,350
12,0.3901,1505.0000007152557,0,350
13,0.4271,1675.0000007152557,0,350
14,0.4235,1745.0000007152557,0,350
15,0.4507,1825.0000007152557,0,350
16,0.4548,1900.0000007152557,0,350
17,0.4687,2095.0000007152557,0,350
18,0.4603,2250.0000007152557,0,350
19,0.4847,2320.0000007152557,0,350
20,0.5007,2435.0000007152557,0,340
21,0.4947,2515.0000007152557,0,350
22,0.512,2670.0000007152557,0,350
23,0.5196,2785.0000007152557,0,350
24,0.511,2865.0000007152557,0,350
25,0.53,3020.0000007152557,0,350
26,0.5355,3135.0000007152557,0,350
27,0.5384,3215.0000007152557,0,350
28,0.5537,3370.0000007152557,0,350
29,0.5596,3425.0000007152557,0,350
30,0.5657,3485.0000007152557,0,350
31,0.5694,3740.0000007152557,0,350
32,0.5682,3835.0000007152557,0,350
33,0.5862,3895.0000007152557,0,350
34,0.5887,4090.0000007152557,0,350
35,0.5853,4185.000000715256,0,350
36,0.5889,4260.000000715256,0,350
37,0.5867,4440.000000715256,0,350
38,0.5981,4600.000000715256,0,350
39,0.5974,4710.000000715256,0,350
40,0.608,4790.000000715256,0,350
41,0.6098,4950.000000715256,0,350
42,0.6121,5105.000000715256,0,350
43,0.609,5235.000000715256,0,350
44,0.616,5310.000000715256,0,350
45,0.6123,5455.000000715256,0,350
46,0.6234,5585.000000715256,0,350
47,0.6262,5655.000000715256,0,350
48,0.6261,5805.000000715256,0,350
49,0.6223,6005.000000715256,0,350
50,0.6132,6065.000000715256,0,350
51,0.6216,6155.000000715256,0,350
52,0.6323,6355.000000715256,0,350
53,0.622,6415.000000715256,0,350
54,0.6363,6505.000000715256,0,350
55,0.6285,6640.000000715256,0,350
56,0.6259,6725.000000715256,0,350
57,0.6346,6855.000000715256,0,350
58,0.6402,6915.000000715256,0,350
59,0.6374,7065.000000715256,0,350
60,0.6355,7205.000000715256,0,350
61,0.6479,7295.000000715256,0,350
62,0.64,7555.000000715256,0,350
63,0.6381,7645.000000715256,0,350
64,0.6462,7905.000000715256,0,350
65,0.6445,7995.000000715256,0,350
66,0.6511,8115.000000715256,0,350
67,0.6471,8255.000000715256,0,350
68,0.642,8400.000000715256,0,350
69,0.6402,8495.000000715256,0,350
70,0.6447,8605.000000715256,0,350
71,0.649,8750.000000715256,0,350
72,0.6482,8845.000000715256,0,350
73,0.6581,8995.000000715256,0,350
74,0.6491,9100.000000715256,0,350
75,0.6469,9195.000000715256,0,350
76,0.657,9375.000000715256,0,350
77,0.6548,9450.000000715256,0,350
78,0.6595,9545.000000715256,0,350
79,0.6573,9615.000000715256,0,350
80,0.6611,9800.000000715256,0,350
81,0.663,9900.000000715256,0,350
82,0.6608,9965.000000715256,0,350
83,0.6635,10095.000000715256,0,350
84,0.65,10155.000000715256,0,350
85,0.6668,10250.000000715256,0,350
86,0.6684,10330.000000715256,0,350
87,0.6615,10600.000000715256,0,350
88,0.6546,10680.000000715256,0,350
89,0.6646,10745.000000715256,0,350
90,0.664,10950.000000715256,0,350
91,0.6637,11030.000000715256,0,350
92,0.6686,11095.000000715256,0,350
93,0.6623,11300.000000715256,0,350
94,0.6613,11380.000000715256,0,350
95,0.6681,11445.000000715256,0,350
96,0.6599,11565.000000715256,0,350
97,0.6664,11715.000000715256,0,350
98,0.6606,11795.000000715256,0,350
99,0.6631,11915.000000715256,0,350
100,0.6649,11975.000000715256,0,350
101,0.6718,12130.000000715256,0,350
102,0.6669,12265.000000715256,0,350
103,0.6636,12335.000000715256,0,350
104,0.672,12480.000000715256,0,350
105,0.6645,12615.000000715256,0,350
106,0.6685,12830.000000715256,0,350
107,0.6674,12965.000000715256,0,350
108,0.6694,13180.000000715256,0,350
109,0.6696,13255.000000715256,0,350
110,0.6745,13315.000000715256,0,350
111,0.669,13385.000000715256,0,350
112,0.6743,13530.000000715256,0,350
113,0.6731,13665.000000715256,0,350
114,0.6733,13755.000000715256,0,350
115,0.6782,13905.000000715256,0,350
116,0.68,14105.000000715256,0,350
117,0.6724,14220.000000715256,0,350
118,0.672,14280.000000715256,0,350
119,0.6716,14455.000000715256,0,350
120,0.6843,14570.000000715256,0,350
121,0.6705,14630.000000715256,0,350
122,0.6761,14750.000000715256,0,285
123,0.6808,14870.000000715256,0,350
124,0.6893,14980.000000715256,0,350
125,0.6747,15130.000000715256,0,350
126,0.6853,15220.000000715256,0,350
127,0.6798,15280.000000715256,0,350
128,0.6832,15395.000000715256,0,350
129,0.6827,15505.000000715256,0,350
130,0.685,15630.000000715256,0,350
131,0.6816,15745.000000715256,0,350
132,0.6847,15855.000000715256,0,350
133,0.6824,15970.000000715256,0,350
134,0.6836,16095.000000715256,0,350
135,0.6853,16205.000000715256,0,350
136,0.6899,16320.000000715256,0,350
137,0.6823,16445.000000715256,0,350
138,0.6806,16555.000000715256,0,350
139,0.6839,16675.000000715256,0,350
140,0.6893,16795.000000715256,0,350
141,0.6828,17025.000000715256,0,350
142,0.6943,17145.000000715256,0,350
143,0.6818,17205.000000715256,0,350
144,0.6868,17375.000000715256,0,350
145,0.6924,17495.000000715256,0,350
146,0.6904,17725.000000715256,0,350
147,0.6845,17845.000000715256,0,350
148,0.6836,17900.000000715256,0,350
149,0.6852,17995.000000715256,0,255
150,0.6876,18075.000000715256,0,350
