round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000071525574,0,115
2,0.1,350.00000071525574,0,350
3,0.1,410.00000071525574,0,350
4,0.1,540.0000007152557,0,350
5,0.1095,700.0000007152557,0,350
6,0.1,760.0000007152557,0,350
7,0.2849,825.0000007152557,0,240
8,0.2925,970.0000007152557,0,350
9,0.3256,1110.0000007152557,0,350
10,0.3523,1175.0000007152557,0,350
11,0.3478,1320.0000007152557,0,350
12,0.3752,1460.0000007152557,0,350
13,0.3928,1525.0000007152557,0,350
14,0.4102,1670.0000007152557,0,350
15,0.4172,1810.0000007152557,0,350
16,0.4105,1875.0000007152557,0,350
17,0.4325,2020.0000007152557,0,350
18,0.4463,2225.0000007152557,0,350
19,0.4551,2360.0000007152557,0,350
20,0.4623,2420.0000007152557,0,350
21,0.479,2495.0000007152557,0,110
22,0.4681,2710.0000007152557,0,350
23,0.4861,2770.0000007152557,0,350
24,0.4934,2845.0000007152557,0,350
25,0.5064,3020.0000007152557,0,350
26,0.5075,3120.0000007152557,0,350
27,0.5261,3195.0000007152557,0,350
28,0.5235,3335.0000007152557,0,350
29,0.5426,3395.0000007152557,0,350
30,0.5448,3470.0000007152557,0,350
31,0.55,3620.0000007152557,0,350
32,0.5515,3685.0000007152557,0,350
33,0.5622,3820.0000007152557,0,350
34,0.5661,3905.0000007152557,0,350
35,0.5861,4035.0000007152557,0,350
36,0.5818,4255.000000715256,0,350
37,0.5716,4345.000000715256,0,350
38,0.5796,4410.000000715256,0,350
39,0.5915,4605.000000715256,0,350
40,0.5921,4715.000000715256,0,350
41,0.5995,4775.000000715256,0,350
42,0.5975,4955.000000715256,0,350
43,0.6031,5105.000000715256,0,350
44,0.6043,5165.000000715256,0,350
45,0.6076,5225.000000715256,0,235
46,0.6131,5305.000000715256,0,350
47,0.6093,5510.000000715256,0,350
48,0.61,5575.000000715256,0,350
49,0.6147,5655.000000715256,0,350
50,0.6169,5860.000000715256,0,350
51,0.6052,5925.000000715256,0,350
52,0.6252,6005.000000715256,0,350
53,0.6183,6210.000000715256,0,350
54,0.6194,6355.000000715256,0,350
55,0.6242,6505.000000715256,0,350
56,0.6257,6580.000000715256,0,350
57,0.6291,6705.000000715256,0,350
58,0.6256,6855.000000715256,0,350
59,0.6258,6930.000000715256,0,350
60,0.632,7055.000000715256,0,350
61,0.633,7160.000000715256,0,350
62,0.6374,7220.000000715256,0,350
63,0.6377,7280.000000715256,0,350
64,0.6367,7510.000000715256,0,350
65,0.6382,7615.000000715256,0,350
66,0.6432,7675.000000715256,0,350
67,0.6357,7860.000000715256,0,350
68,0.6414,7965.000000715256,0,350
69,0.6419,8025.000000715256,0,350
70,0.6423,8210.000000715256,0,350
71,0.6397,8315.000000715256,0,350
72,0.643,8375.000000715256,0,350
73,0.6398,8550.000000715256,0,350
74,0.639,8665.000000715256,0,350
75,0.6463,8900.000000715256,0,350
76,0.6488,9015.000000715256,0,350
77,0.6477,9075.000000715256,0,350
78,0.6501,9250.000000715256,0,350
79,0.6571,9365.000000715256,0,350
80,0.6568,9435.000000715256,0,350
81,0.6473,9605.000000715256,0,350
82,0.6525,9745.000000715256,0,350
83,0.6551,9815.000000715256,0,350
84,0.6542,9955.000000715256,0,350
85,0.6568,10095.000000715256,0,350
86,0.6567,10165.000000715256,0,350
87,0.6512,10435.000000715256,0,350
88,0.6575,10505.000000715256,0,350
89,0.6504,10570.000000715256,0,350
90,0.6636,10745.000000715256,0,175
