round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000071525574,0,115
2,0.1006,350.00000071525574,0,350
3,0.1002,410.00000071525574,0,350
4,0.1799,470.00000071525574,0,350
5,0.3506,650.0000007152557,0,300
6,0.3824,760.0000007152557,0,350
7,0.3818,820.0000007152557,0,350
8,0.4554,1000.0000007152557,0,350
9,0.4686,1110.0000007152557,0,350
10,0.4879,1170.0000007152557,0,350
11,0.518,1230.0000007152557,0,350
12,0.5223,1520.0000007152557,0,350
13,0.5497,1580.0000007152557,0,350
14,0.5587,1635.0000007152557,0,350
15,0.5881,1815.0000007152557,0,235
16,0.5893,1875.0000007152557,0,350
17,0.597,1935.0000007152557,0,350
18,0.6069,1995.0000007152557,0,350
19,0.6202,2050.0000007152557,0,80
20,0.6298,2155.0000007152557,0,140
21,0.6303,2215.0000007152557,0,350
22,0.637,2345.0000007152557,0,350
23,0.6396,2415.0000007152557,0,350
24,0.6421,2565.0000007152557,0,350
25,0.6468,2695.0000007152557,0,350
26,0.6485,2755.0000007152557,0,350
27,0.6516,2810.0000007152557,0,350
28,0.6573,2870.0000007152557,0,130
29,0.65,2925.0000007152557,0,350
30,0.6561,2980.0000007152557,0,240
31,0.6568,3035.0000007152557,0,85
32,0.6596,3090.0000007152557,0,150
33,0.6644,3145.0000007152557,0,350
34,0.6602,3200.0000007152557,0,155
35,0.6641,3260.0000007152557,0,155
36,0.6639,3315.0000007152557,0,275
37,0.6662,3370.0000007152557,0,175
38,0.6701,3435.0000007152557,0,225
39,0.6703,3490.0000007152557,0,105
40,0.6702,3550.0000007152557,0,350
41,0.6719,3635.0000007152557,0,255
42,0.672,3720.0000007152557,0,350
43,0.6749,3840.0000007152557,0,350
44,0.6775,3975.0000007152557,0,350
45,0.6768,4070.0000007152557,0,350
46,0.6778,4130.000000715256,0,350
47,0.6793,4190.000000715256,0,350
48,0.6835,4325.000000715256,0,350
49,0.6807,4480.000000715256,0,350
50,0.6797,4540.000000715256,0,350
51,0.686,4675.000000715256,0,350
52,0.6886,4735.000000715256,0,350
53,0.6843,4845.000000715256,0,350
54,0.686,4990.000000715256,0,350
55,0.6877,5055.000000715256,0,350
56,0.6894,5110.000000715256,0,350
57,0.6909,5230.000000715256,0,350
58,0.6922,5340.000000715256,0,350
59,0.688,5420.000000715256,0,350
60,0.6877,5580.000000715256,0,350
61,0.6925,5680.000000715256,0,350
62,0.6937,5930.000000715256,0,350
63,0.6884,5990.000000715256,0,350
64,0.6922,6045.000000715256,0,350
65,0.6907,6105.000000715256,0,145
66,0.6922,6280.000000715256,0,350
67,0.692,6380.000000715256,0,350
68,0.6942,6455.000000715256,0,350
69,0.6937,6515.000000715256,0,350
70,0.6912,6580.000000715256,0,85
71,0.6889,6640.000000715256,0,350
72,0.6886,6700.000000715256,0,175
73,0.6934,6760.000000715256,0,350
74,0.6934,6865.000000715256,0,350
75,0.6941,6975.000000715256,0,350
76,0.6987,7070.000000715256,0,350
77,0.6955,7145.000000715256,0,350
78,0.698,7255.000000715256,0,350
79,0.6972,7420.000000715256,0,350
80,0.6994,7495.000000715256,0,350
81,0.6993,7595.000000715256,0,340
82,0.7005,7655.000000715256,0,350
83,0.7014,7735.000000715256,0,195
84,0.6992,7800.000000715256,0,350
85,0.7013,7880.000000715256,0,350
86,0.7043,7945.000000715256,0,340
87,0.7033,8085.000000715256,0,350
88,0.7016,8160.000000715256,0,350
89,0.6994,8285.000000715256,0,350
90,0.6985,8355.000000715256,0,350
91,0.7037,8440.000000715256,0,350
92,0.7012,8550.000000715256,0,350
93,0.7013,8625.000000715256,0,340
94,0.7027,8695.000000715256,0,110
95,0.7012,8760.000000715256,0,350
96,0.6983,8820.000000715256,0,350
97,0.7036,8890.000000715256,0,120
98,0.7051,8955.000000715256,0,350
99,0.7024,9020.000000715256,0,350
100,0.7064,9110.000000715256,0,350
101,0.7056,9165.000000715256,0,350
102,0.7053,9225.000000715256,0,155
103,0.7058,9290.000000715256,0,350
104,0.7067,9355.000000715256,0,350
105,0.708,9465.000000715256,0,350
106,0.7086,9575.000000715256,0,350
107,0.7081,9700.000000715256,0,350
108,0.7096,9795.000000715256,0,350
109,0.7071,9890.000000715256,0,350
110,0.7075,10000.000000715256,0,350
111,0.71,10110.000000715256,0,350
112,0.7105,10205.000000715256,0,350
113,0.7088,10265.000000715256,0,350
114,0.7101,10350.000000715256,0,350
115,0.7057,10430.000000715256,0,350
116,0.7073,10555.000000715256,0,350
117,0.7068,10625.000000715256,0,350
118,0.7015,10700.000000715256,0,350
119,0.705,10780.000000715256,0,350
120,0.7079,10905.000000715256,0,350
121,0.7088,10970.000000715256,0,350
122,0.7073,11025.000000715256,0,350
123,0.7134,11095.000000715256,0,350
124,0.7084,11165.000000715256,0,350
125,0.7093,11365.000000715256,0,350
126,0.7088,11445.000000715256,0,350
127,0.7066,11515.000000715256,0,350
128,0.7079,11580.000000715256,0,350
129,0.7072,11650.000000715256,0,195
130,0.7095,11715.000000715256,0,350
131,0.7098,11795.000000715256,0,350
132,0.7082,11915.000000715256,0,350
133,0.7098,11975.000000715256,0,350
134,0.7113,12035.000000715256,0,350
135,0.7091,12095.000000715256,0,350
136,0.7123,12265.000000715256,0,350
137,0.7081,12335.000000715256,0,350
138,0.7089,12395.000000715256,0,350
139,0.7101,12515.000000715256,0,350
140,0.7098,12685.000000715256,0,350
141,0.7101,12750.000000715256,0,350
142,0.7108,12815.000000715256,0,275
143,0.7129,12890.000000715256,0,350
144,0.7094,13035.000000715256,0,350
145,0.7096,13100.000000715256,0,350
146,0.7068,13175.000000715256,0,350
147,0.7107,13245.000000715256,0,350
148,0.7083,13385.000000715256,0,350
149,0.71,13450.000000715256,0,350
150,0.5583,13515.000000715256,0,350
