Elapsed time (s),Accuracy (%),Method
66.0,10.003166665156684,Polaris
86.0,10.066499998490016,Polaris
106.0,10.12983333182335,Polaris
126.0,10.192571427345277,Polaris
146.0,10.243999998773848,Polaris
166.0,10.29542857020242,Polaris
186.0,10.34685714163099,Polaris
206.0,11.090499968767165,Polaris
226.0,12.400499968767162,Polaris
246.0,13.710499968767165,Polaris
266.0,15.93307685228494,Polaris
286.0,18.902307621515707,Polaris
306.0,21.871538390746476,Polaris
326.0,22.94090917110444,Polaris
346.0,19.577272807468077,Polaris
366.0,16.213636443831714,Polaris
386.0,18.285999844551068,Polaris
406.0,24.805999844551067,Polaris
426.0,31.325999844551067,Polaris
446.0,29.54377786975438,Polaris
466.0,25.686000091976602,Polaris
486.0,26.461999891107723,Polaris
506.0,31.029272618380453,Polaris
526.0,35.59654534565318,Polaris
546.0,34.33400006484985,Polaris
566.0,31.61400006484985,Polaris
586.0,29.250908985571428,Polaris
606.0,33.66909080375325,Polaris
626.0,38.087272621935064,Polaris
646.0,40.67490913105011,Polaris
666.0,38.99127276741375,Polaris
686.0,37.30763640377738,Polaris
706.0,38.05799993462996,Polaris
726.0,40.799818116448144,Polaris
746.0,43.541636298266326,Polaris
766.0,42.73145458594236,Polaris
786.0,41.033272767760536,Polaris
806.0,39.58644436507755,Polaris
826.0,42.91533325396644,Polaris
846.0,46.24422214285533,Polaris
866.0,45.783600033569336,Polaris
886.0,44.375600033569334,Polaris
906.0,44.24679993190765,Polaris
926.0,47.102799931907654,Polaris
946.0,49.95879993190765,Polaris
966.0,49.225111149999826,Polaris
986.0,47.594000038888716,Polaris
1006.0,48.06399994780801,Polaris
1026.0,50.25309085689892,Polaris
1046.0,52.44218176598983,Polaris
1066.0,51.31600004661083,Polaris
1086.0,49.36100004661084,Polaris
1106.0,50.80272721810775,Polaris
1126.0,53.09363630901684,Polaris
1146.0,55.130727339137685,Polaris
1166.0,52.34527279368314,Polaris
1186.0,49.559818248228595,Polaris
1206.0,48.61363628387451,Polaris
1226.0,51.95909082932906,Polaris
1246.0,55.30454537478361,Polaris
1266.0,55.606000052191995,Polaris
1286.0,53.41690914310109,Polaris
1306.0,51.22781823401018,Polaris
1326.0,52.56454540165988,Polaris
1346.0,54.782727219841696,Polaris
1366.0,56.88127273143421,Polaris
1386.0,56.706727276888756,Polaris
1406.0,56.53218182234331,Polaris
1426.0,56.60854543876649,Polaris
1446.0,57.27036362058466,Polaris
1466.0,57.93218180240285,Polaris
1486.0,57.850000016472556,Polaris
1506.0,57.15909092556347,Polaris
1526.0,56.468181834654374,Polaris
1546.0,57.479090874845326,Polaris
1566.0,58.915454511208964,Polaris
1586.0,60.236750020623205,Polaris
1606.0,59.3717500206232,Polaris
1626.0,58.58488887225257,Polaris
1646.0,59.28266665003035,Polaris
1666.0,59.98044442780812,Polaris
1686.0,59.4305454750928,Polaris
1706.0,58.56872729327461,Polaris
1726.0,57.79199997997284,Polaris
1746.0,58.63199997997284,Polaris
1766.0,59.47199997997284,Polaris
1786.0,60.09599999713898,Polaris
1806.0,60.21599999713898,Polaris
1826.0,60.33599999713898,Polaris
1846.0,60.94599997589807,Polaris
1866.0,61.956909066807164,Polaris
1886.0,62.96781815771626,Polaris
1906.0,63.03327273134751,Polaris
1926.0,62.862363640438424,Polaris
1946.0,62.73018180379002,Polaris
1966.0,63.33381816742638,Polaris
1986.0,63.93745453106274,Polaris
2006.0,64.39449999725818,Polaris
2026.0,64.50949999725819,Polaris
2046.0,64.45933334371779,Polaris
2066.0,64.02377778816223,Polaris
2086.0,63.59890909619765,Polaris
2106.0,63.377090914379465,Polaris
2126.0,63.155272732561286,Polaris
2146.0,63.17781816768646,Polaris
2166.0,63.77054544041374,Polaris
2186.0,64.363272713141,Polaris
2206.0,64.44000000823628,Polaris
2226.0,64.09454546278174,Polaris
2246.0,63.74909091732719,Polaris
2266.0,64.18666665156682,Polaris
2286.0,64.81999998490015,Polaris
2306.0,65.4533333182335,Polaris
2326.0,65.61199999904633,Polaris
2346.0,65.65199999904632,Polaris
2366.0,65.7359999780655,Polaris
2386.0,66.6559999780655,Polaris
2406.0,66.85600000927666,Polaris
2426.0,66.46690910018575,Polaris
2446.0,66.07781819109483,Polaris
2466.0,66.24145453825864,Polaris
2486.0,66.54327272007681,Polaris
2506.0,66.81636364286597,Polaris
2526.0,66.5436363701387,Polaris
2546.0,66.27090909741142,Polaris
2566.0,66.12799999618531,Polaris
2586.0,66.2879999961853,Polaris
2606.0,66.4479999961853,Polaris
2626.0,66.63599999497154,Polaris
2646.0,66.84690908588064,Polaris
2666.0,67.05781817678972,Polaris
2686.0,66.6258181959499,Polaris
2706.0,66.03309092322263,Polaris
2726.0,65.5589999575615,Polaris
2746.0,67.24218182190982,Polaris
2766.0,67.08581818554619,Polaris
2786.0,66.92945454918254,Polaris
2806.0,67.09599997806549,Polaris
2826.0,67.67280000534058,Polaris
2846.0,67.44880000534057,Polaris
2866.0,67.22480000534057,Polaris
2886.0,67.83279998054505,Polaris
2906.0,67.98488889821371,Polaris
2926.0,67.5937777871026,Polaris
2946.0,67.56399998060863,Polaris
2966.0,68.37733331394196,Polaris
2986.0,68.35600000548364,Polaris
3006.0,68.12600000548362,Polaris
3026.0,68.18057142557417,Polaris
