round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000095367432,0,115
2,0.1,350.0000009536743,0,350
3,0.1,405.0000009536743,0,350
4,0.1,470.0000009536743,0,350
5,0.1,625.0000009536743,0,165
6,0.1,790.0000009536743,0,350
7,0.1176,975.0000009536743,0,350
8,0.2556,1045.0000009536743,0,350
9,0.1826,1155.0000009536743,0,350
10,0.2706,1325.0000009536743,0,350
11,0.3382,1395.0000009536743,0,350
12,0.2968,1505.0000009536743,0,350
13,0.3397,1675.0000009536743,0,350
14,0.3732,1745.0000009536743,0,350
15,0.4314,1825.0000009536743,0,350
16,0.3797,1900.0000009536743,0,350
17,0.3953,2095.0000009536743,0,350
18,0.4426,2250.0000009536743,0,350
19,0.4668,2320.0000009536743,0,350
20,0.472,2435.0000009536743,0,340
21,0.4825,2515.0000009536743,0,350
22,0.4751,2670.0000009536743,0,350
23,0.4613,2785.0000009536743,0,350
24,0.5076,2865.0000009536743,0,350
25,0.5138,3020.0000009536743,0,350
26,0.5109,3135.0000009536743,0,350
27,0.5336,3215.0000009536743,0,350
28,0.5351,3370.0000009536743,0,350
29,0.546,3425.0000009536743,0,350
30,0.5616,3485.0000009536743,0,350
31,0.5679,3740.0000009536743,0,350
32,0.6052,3835.0000009536743,0,350
33,0.621,3895.0000009536743,0,350
34,0.6231,4090.0000009536743,0,350
35,0.6149,4185.000000953674,0,350
36,0.6433,4260.000000953674,0,350
37,0.6328,4440.000000953674,0,350
38,0.6464,4600.000000953674,0,350
39,0.6409,4710.000000953674,0,350
40,0.6448,4790.000000953674,0,350
41,0.6735,4950.000000953674,0,350
42,0.6642,5105.000000953674,0,350
43,0.6403,5235.000000953674,0,350
44,0.6613,5310.000000953674,0,350
45,0.6801,5455.000000953674,0,350
46,0.6761,5585.000000953674,0,350
47,0.6946,5655.000000953674,0,350
48,0.6939,5805.000000953674,0,350
49,0.6878,6005.000000953674,0,350
50,0.6988,6065.000000953674,0,350
51,0.6978,6155.000000953674,0,350
52,0.7103,6355.000000953674,0,350
53,0.6916,6415.000000953674,0,350
54,0.7113,6505.000000953674,0,350
55,0.7077,6640.000000953674,0,350
56,0.718,6725.000000953674,0,350
57,0.6932,6855.000000953674,0,350
58,0.712,6915.000000953674,0,350
59,0.7085,7065.000000953674,0,350
60,0.7024,7205.000000953674,0,350
61,0.7093,7295.000000953674,0,350
62,0.7175,7555.000000953674,0,350
63,0.73,7645.000000953674,0,350
64,0.732,7905.000000953674,0,350
65,0.7214,7995.000000953674,0,350
66,0.7282,8115.000000953674,0,350
67,0.7253,8255.000000953674,0,350
68,0.7333,8400.000000953674,0,350
69,0.7354,8495.000000953674,0,350
70,0.7298,8605.000000953674,0,350
71,0.7461,8750.000000953674,0,350
72,0.7351,8845.000000953674,0,350
73,0.7403,8995.000000953674,0,350
74,0.722,9100.000000953674,0,350
75,0.7358,9195.000000953674,0,350
76,0.7456,9375.000000953674,0,350
77,0.7417,9450.000000953674,0,350
78,0.7269,9545.000000953674,0,350
79,0.7431,9615.000000953674,0,350
80,0.7423,9800.000000953674,0,350
81,0.7446,9900.000000953674,0,350
82,0.7372,9965.000000953674,0,350
83,0.7439,10095.000000953674,0,350
84,0.7249,10155.000000953674,0,350
85,0.7582,10250.000000953674,0,350
86,0.7481,10330.000000953674,0,350
87,0.7534,10600.000000953674,0,350
88,0.7426,10680.000000953674,0,350
89,0.7452,10745.000000953674,0,350
90,0.7499,10950.000000953674,0,350
91,0.7367,11030.000000953674,0,350
92,0.7422,11095.000000953674,0,350
93,0.7512,11300.000000953674,0,350
94,0.7491,11380.000000953674,0,350
95,0.7581,11445.000000953674,0,350
96,0.7669,11565.000000953674,0,350
97,0.7418,11715.000000953674,0,350
98,0.7463,11795.000000953674,0,350
99,0.7578,11915.000000953674,0,350
100,0.7524,11975.000000953674,0,350
101,0.755,12130.000000953674,0,350
102,0.7556,12265.000000953674,0,350
103,0.7457,12335.000000953674,0,350
104,0.7589,12480.000000953674,0,350
105,0.7388,12615.000000953674,0,350
106,0.7561,12830.000000953674,0,350
107,0.7616,12965.000000953674,0,350
108,0.7534,13180.000000953674,0,350
109,0.7529,13255.000000953674,0,350
110,0.7632,13315.000000953674,0,350
111,0.7583,13385.000000953674,0,350
112,0.7602,13530.000000953674,0,350
113,0.765,13665.000000953674,0,350
114,0.7659,13755.000000953674,0,350
115,0.7689,13905.000000953674,0,350
116,0.7648,14105.000000953674,0,350
117,0.7723,14220.000000953674,0,350
118,0.7406,14280.000000953674,0,350
119,0.7452,14455.000000953674,0,350
120,0.7652,14570.000000953674,0,350
121,0.758,14630.000000953674,0,350
122,0.7523,14750.000000953674,0,285
123,0.7605,14870.000000953674,0,350
124,0.7669,14980.000000953674,0,350
125,0.7565,15130.000000953674,0,350
126,0.7602,15220.000000953674,0,350
127,0.7577,15280.000000953674,0,350
128,0.773,15395.000000953674,0,350
129,0.774,15505.000000953674,0,350
130,0.7632,15630.000000953674,0,350
131,0.7475,15745.000000953674,0,350
132,0.755,15855.000000953674,0,350
133,0.767,15970.000000953674,0,350
134,0.7746,16095.000000953674,0,350
135,0.7682,16205.000000953674,0,350
136,0.7617,16320.000000953674,0,350
137,0.7659,16445.000000953674,0,350
138,0.7735,16555.000000953674,0,350
139,0.7654,16675.000000953674,0,350
140,0.7697,16795.000000953674,0,350
141,0.7623,17025.000000953674,0,350
142,0.7617,17145.000000953674,0,350
143,0.7571,17205.000000953674,0,350
144,0.7739,17375.000000953674,0,350
145,0.7781,17495.000000953674,0,350
146,0.7687,17725.000000953674,0,350
147,0.7718,17845.000000953674,0,350
148,0.7653,17900.000000953674,0,350
149,0.7812,17995.000000953674,0,255
150,0.7773,18075.000000953674,0,350
