round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000071525574,0,115
2,0.1,350.00000071525574,0,350
3,0.1,410.00000071525574,0,350
4,0.1,540.0000007152557,0,350
5,0.1,700.0000007152557,0,350
6,0.1,760.0000007152557,0,350
7,0.1573,830.0000007152557,0,240
8,0.1243,975.0000007152557,0,350
9,0.1213,1110.0000007152557,0,350
10,0.28,1180.0000007152557,0,350
11,0.2774,1325.0000007152557,0,350
12,0.266,1460.0000007152557,0,350
13,0.1853,1530.0000007152557,0,350
14,0.3172,1675.0000007152557,0,350
15,0.2636,1810.0000007152557,0,350
16,0.3464,1895.0000007152557,0,350
17,0.3763,2025.0000007152557,0,350
18,0.4066,2245.0000007152557,0,350
19,0.4048,2375.0000007152557,0,350
20,0.3879,2485.0000007152557,0,350
21,0.4153,2595.0000007152557,0,350
22,0.4696,2715.0000007152557,0,350
23,0.463,2770.0000007152557,0,350
24,0.4289,2835.0000007152557,0,350
25,0.4572,2920.0000007152557,0,350
26,0.4806,3120.0000007152557,0,350
27,0.5001,3195.0000007152557,0,350
28,0.5446,3285.0000007152557,0,350
29,0.5495,3470.0000007152557,0,350
30,0.524,3545.0000007152557,0,350
31,0.4761,3635.0000007152557,0,350
32,0.5328,3775.0000007152557,0,350
33,0.5787,3895.0000007152557,0,350
34,0.5282,4125.000000715256,0,350
35,0.5753,4245.000000715256,0,350
36,0.5911,4300.000000715256,0,350
37,0.6066,4475.000000715256,0,350
38,0.5883,4595.000000715256,0,350
39,0.6074,4655.000000715256,0,350
40,0.645,4745.000000715256,0,150
41,0.6303,4825.000000715256,0,350
42,0.608,4945.000000715256,0,350
43,0.6168,5095.000000715256,0,350
44,0.6522,5175.000000715256,0,350
45,0.6161,5295.000000715256,0,350
46,0.6438,5525.000000715256,0,350
47,0.6335,5610.000000715256,0,350
48,0.6454,5670.000000715256,0,350
49,0.6726,5875.000000715256,0,350
50,0.6537,5960.000000715256,0,350
51,0.6568,6025.000000715256,0,350
52,0.684,6130.000000715256,0,195
53,0.6568,6375.000000715256,0,350
54,0.6724,6480.000000715256,0,350
55,0.6779,6555.000000715256,0,350
56,0.6812,6635.000000715256,0,155
57,0.6935,6725.000000715256,0,350
58,0.6926,6830.000000715256,0,350
59,0.705,6905.000000715256,0,350
60,0.6909,7075.000000715256,0,350
61,0.7012,7140.000000715256,0,350
62,0.7072,7255.000000715256,0,350
63,0.7073,7425.000000715256,0,350
64,0.7127,7490.000000715256,0,350
65,0.7019,7620.000000715256,0,350
66,0.7031,7840.000000715256,0,350
67,0.7185,7970.000000715256,0,350
68,0.7129,8045.000000715256,0,350
69,0.7055,8190.000000715256,0,350
70,0.7107,8320.000000715256,0,350
71,0.7283,8385.000000715256,0,350
72,0.7091,8440.000000715256,0,350
73,0.6994,8670.000000715256,0,350
74,0.7279,8790.000000715256,0,350
75,0.7306,8860.000000715256,0,350
76,0.7243,8955.000000715256,0,285
77,0.7309,9020.000000715256,0,350
78,0.7313,9210.000000715256,0,350
79,0.7351,9305.000000715256,0,350
80,0.7394,9370.000000715256,0,350
81,0.7226,9535.000000715256,0,165
82,0.7285,9640.000000715256,0,350
83,0.7356,9725.000000715256,0,350
84,0.7425,9875.000000715256,0,150
85,0.7536,9945.000000715256,0,350
86,0.7441,10075.000000715256,0,350
87,0.7448,10270.000000715256,0,350
88,0.7458,10325.000000715256,0,350
89,0.7423,10425.000000715256,0,350
90,0.7495,10620.000000715256,0,350
