round,accuracy,elapsed_time,comm_time,round_time
1,0.1,95.00000047683716,0,95
2,0.1,285.00000047683716,0,285
3,0.1,355.00000047683716,0,350
4,0.1,445.00000047683716,0,350
5,0.1,635.0000004768372,0,350
6,0.1,715.0000004768372,0,350
7,0.189,910.0000004768372,0,350
8,0.1884,990.0000004768372,0,350
9,0.1908,1065.0000004768372,0,350
10,0.3051,1320.0000004768372,0,350
11,0.3332,1415.0000004768372,0,350
12,0.3108,1510.0000004768372,0,350
13,0.3365,1670.0000004768372,0,350
14,0.368,1765.0000004768372,0,350
15,0.3837,1935.0000004768372,0,350
16,0.3959,2060.000000476837,0,350
17,0.3956,2165.000000476837,0,350
18,0.4231,2285.000000476837,0,350
19,0.4333,2415.000000476837,0,350
20,0.4146,2515.000000476837,0,350
21,0.4092,2635.000000476837,0,350
22,0.4472,2765.000000476837,0,350
23,0.4772,2915.000000476837,0,350
24,0.4721,3070.000000476837,0,350
25,0.4782,3135.000000476837,0,350
26,0.5119,3265.000000476837,0,350
27,0.5016,3420.000000476837,0,350
28,0.5219,3555.000000476837,0,350
29,0.5297,3770.000000476837,0,350
30,0.5305,3835.000000476837,0,350
31,0.563,3905.000000476837,0,350
32,0.5665,4120.000000476837,0,350
33,0.5815,4255.000000476837,0,350
34,0.5796,4410.000000476837,0,350
35,0.5923,4605.000000476837,0,350
36,0.6071,4685.000000476837,0,350
37,0.6154,4795.000000476837,0,350
38,0.6211,4955.000000476837,0,350
39,0.6297,5035.000000476837,0,350
40,0.6319,5145.000000476837,0,350
41,0.6313,5305.000000476837,0,350
42,0.6464,5385.000000476837,0,350
43,0.6561,5495.000000476837,0,350
44,0.6583,5655.000000476837,0,350
45,0.6561,5735.000000476837,0,350
46,0.6522,5845.000000476837,0,350
47,0.6718,6005.000000476837,0,350
48,0.678,6090.000000476837,0,350
49,0.6769,6195.000000476837,0,350
50,0.6848,6355.000000476837,0,350
51,0.686,6500.000000476837,0,350
52,0.6914,6620.000000476837,0,350
53,0.6866,6850.000000476837,0,350
54,0.6975,6970.000000476837,0,350
55,0.7048,7185.000000476837,0,350
56,0.6998,7320.000000476837,0,350
57,0.7062,7470.000000476837,0,350
58,0.7102,7555.000000476837,0,350
59,0.7044,7670.000000476837,0,350
60,0.7086,7820.000000476837,0,350
61,0.7053,7905.000000476837,0,350
62,0.7108,8020.000000476837,0,350
63,0.7091,8170.000000476837,0,350
64,0.7184,8255.000000476837,0,350
65,0.7173,8370.000000476837,0,350
66,0.7142,8540.000000476837,0,350
67,0.7227,8720.000000476837,0,350
68,0.7229,8835.000000476837,0,350
69,0.7194,8920.000000476837,0,350
70,0.7239,9070.000000476837,0,350
71,0.7197,9270.000000476837,0,350
72,0.7205,9345.000000476837,0,350
73,0.7207,9425.000000476837,0,350
74,0.7282,9620.000000476837,0,350
75,0.734,9770.000000476837,0,350
76,0.7305,9970.000000476837,0,350
77,0.7393,10115.000000476837,0,350
78,0.7334,10240.000000476837,0,350
79,0.7403,10345.000000476837,0,350
80,0.7349,10465.000000476837,0,350
81,0.7379,10590.000000476837,0,350
82,0.7391,10795.000000476837,0,350
83,0.7375,10905.000000476837,0,350
84,0.735,10990.000000476837,0,350
85,0.7427,11145.000000476837,0,350
86,0.7448,11290.000000476837,0,350
87,0.7378,11440.000000476837,0,350
88,0.7426,11550.000000476837,0,350
89,0.7402,11675.000000476837,0,350
90,0.7446,11890.000000476837,0,350
91,0.743,12025.000000476837,0,350
