round,accuracy,elapsed_time,comm_time,round_time
1,0.1,95.00000047683716,0,95
2,0.1007,210.00000047683716,0,195
3,0.1035,350.00000047683716,0,350
4,0.1307,445.00000047683716,0,350
5,0.3028,560.0000004768372,0,350
6,0.3385,700.0000004768372,0,350
7,0.3939,795.0000004768372,0,350
8,0.4213,910.0000004768372,0,350
9,0.437,995.0000004768372,0,350
10,0.4783,1145.0000004768372,0,350
11,0.5056,1230.0000004768372,0,350
12,0.5201,1345.0000004768372,0,350
13,0.5431,1495.0000004768372,0,350
14,0.5573,1585.0000004768372,0,350
15,0.578,1695.0000004768372,0,350
16,0.5751,1785.0000004768372,0,350
17,0.596,1935.0000004768372,0,350
18,0.5985,2045.0000004768372,0,350
19,0.622,2135.000000476837,0,350
20,0.6241,2220.000000476837,0,350
21,0.6354,2335.000000476837,0,350
22,0.6467,2415.000000476837,0,350
23,0.6534,2495.000000476837,0,350
24,0.6547,2575.000000476837,0,350
25,0.6622,2645.000000476837,0,260
26,0.6687,2710.000000476837,0,350
27,0.6752,2785.000000476837,0,350
28,0.6748,2855.000000476837,0,350
29,0.6824,2935.000000476837,0,350
30,0.6807,3030.000000476837,0,350
31,0.6918,3120.000000476837,0,350
32,0.6933,3205.000000476837,0,350
33,0.6926,3285.000000476837,0,350
34,0.6987,3380.000000476837,0,350
35,0.6962,3460.000000476837,0,350
36,0.703,3530.000000476837,0,350
37,0.7051,3615.000000476837,0,350
38,0.7049,3700.000000476837,0,350
39,0.7041,3795.000000476837,0,350
40,0.7072,3870.000000476837,0,350
41,0.7091,3935.000000476837,0,350
42,0.7148,3990.000000476837,0,350
43,0.7148,4050.000000476837,0,100
44,0.7102,4115.000000476837,0,350
45,0.7156,4220.000000476837,0,350
46,0.7179,4285.000000476837,0,350
47,0.7174,4360.000000476837,0,350
48,0.7183,4435.000000476837,0,350
49,0.7179,4535.000000476837,0,350
50,0.7237,4605.000000476837,0,350
51,0.7228,4670.000000476837,0,350
52,0.7252,4730.000000476837,0,350
53,0.725,4790.000000476837,0,350
54,0.7271,4865.000000476837,0,125
55,0.7292,4940.000000476837,0,350
56,0.7275,5005.000000476837,0,350
57,0.7296,5080.000000476837,0,350
58,0.73,5160.000000476837,0,350
59,0.7315,5225.000000476837,0,350
60,0.7334,5290.000000476837,0,350
61,0.7323,5365.000000476837,0,350
62,0.7322,5470.000000476837,0,350
63,0.7305,5555.000000476837,0,350
64,0.7324,5640.000000476837,0,350
65,0.7325,5745.000000476837,0,350
66,0.7348,5875.000000476837,0,350
67,0.7363,5955.000000476837,0,350
68,0.7379,6095.000000476837,0,350
69,0.7373,6205.000000476837,0,350
70,0.7366,6305.000000476837,0,350
71,0.7353,6385.000000476837,0,350
72,0.7394,6460.000000476837,0,350
73,0.7388,6655.000000476837,0,350
74,0.7405,6740.000000476837,0,350
75,0.7385,6810.000000476837,0,350
76,0.7406,7005.000000476837,0,350
77,0.7419,7090.000000476837,0,350
78,0.7399,7160.000000476837,0,350
79,0.7429,7335.000000476837,0,350
80,0.7418,7440.000000476837,0,350
81,0.7421,7510.000000476837,0,350
82,0.741,7600.000000476837,0,350
83,0.7441,7685.000000476837,0,350
84,0.7437,7790.000000476837,0,350
85,0.7441,7940.000000476837,0,350
86,0.7457,8035.000000476837,0,350
87,0.7427,8140.000000476837,0,350
88,0.7432,8290.000000476837,0,350
