round,accuracy,elapsed_time,comm_time,round_time
1,0.1,95.00000071525574,0,95
2,0.1,210.00000071525574,0,195
3,0.1,350.00000071525574,0,350
4,0.1,450.00000071525574,0,350
5,0.1008,560.0000007152557,0,350
6,0.1795,700.0000007152557,0,350
7,0.2192,800.0000007152557,0,350
8,0.2888,910.0000007152557,0,350
9,0.3346,1045.0000007152557,0,350
10,0.3504,1150.0000007152557,0,350
11,0.3644,1260.0000007152557,0,350
12,0.3894,1395.0000007152557,0,350
13,0.3964,1500.0000007152557,0,350
14,0.4336,1630.0000007152557,0,350
15,0.4221,1745.0000007152557,0,350
16,0.4306,1935.0000007152557,0,350
17,0.4428,2015.0000007152557,0,350
18,0.4699,2115.0000007152557,0,350
19,0.4937,2285.0000007152557,0,350
20,0.4982,2365.0000007152557,0,350
21,0.5171,2510.0000007152557,0,350
22,0.533,2635.0000007152557,0,350
23,0.5177,2715.0000007152557,0,350
24,0.548,2860.0000007152557,0,350
25,0.5517,3055.0000007152557,0,350
26,0.5733,3140.0000007152557,0,350
27,0.58,3210.0000007152557,0,350
28,0.5897,3405.0000007152557,0,350
29,0.5925,3555.0000007152557,0,350
30,0.5973,3630.0000007152557,0,350
31,0.6081,3765.0000007152557,0,350
32,0.623,3905.0000007152557,0,350
33,0.6269,3995.0000007152557,0,350
34,0.6357,4165.000000715256,0,350
35,0.6366,4255.000000715256,0,350
36,0.6446,4345.000000715256,0,350
37,0.6547,4515.000000715256,0,350
38,0.655,4595.000000715256,0,350
39,0.6642,4695.000000715256,0,350
40,0.6633,4865.000000715256,0,350
41,0.6802,4945.000000715256,0,350
42,0.6708,5045.000000715256,0,350
43,0.6762,5220.000000715256,0,350
44,0.6851,5355.000000715256,0,350
45,0.6846,5435.000000715256,0,350
46,0.6916,5705.000000715256,0,350
47,0.6993,5785.000000715256,0,350
48,0.6989,5985.000000715256,0,350
49,0.6955,6055.000000715256,0,350
50,0.7059,6160.000000715256,0,350
51,0.7007,6335.000000715256,0,350
52,0.7064,6495.000000715256,0,350
53,0.7016,6675.000000715256,0,350
54,0.7125,6790.000000715256,0,350
55,0.7108,6860.000000715256,0,350
56,0.7136,7025.000000715256,0,350
57,0.7179,7140.000000715256,0,350
58,0.7149,7245.000000715256,0,350
59,0.7155,7375.000000715256,0,350
60,0.7207,7540.000000715256,0,350
61,0.7185,7645.000000715256,0,350
62,0.7184,7725.000000715256,0,350
63,0.7203,7970.000000715256,0,350
64,0.7212,8075.000000715256,0,350
65,0.7264,8140.000000715256,0,350
66,0.7269,8350.000000715256,0,350
67,0.7244,8490.000000715256,0,350
68,0.7231,8670.000000715256,0,350
69,0.7256,8750.000000715256,0,350
70,0.7294,8840.000000715256,0,350
71,0.7252,9020.000000715256,0,350
72,0.7277,9100.000000715256,0,350
73,0.7305,9195.000000715256,0,350
74,0.7341,9370.000000715256,0,350
75,0.7343,9495.000000715256,0,350
76,0.73,9580.000000715256,0,350
77,0.7318,9720.000000715256,0,350
78,0.7337,9845.000000715256,0,350
79,0.7382,9955.000000715256,0,350
80,0.7353,10195.000000715256,0,350
81,0.7316,10305.000000715256,0,350
82,0.7295,10380.000000715256,0,350
83,0.7396,10545.000000715256,0,350
84,0.7409,10655.000000715256,0,350
85,0.7336,10730.000000715256,0,350
86,0.7389,10895.000000715256,0,350
87,0.7336,11005.000000715256,0,350
88,0.7453,11080.000000715256,0,350
89,0.7396,11260.000000715256,0,350
90,0.7441,11355.000000715256,0,350
