round,accuracy,elapsed_time,comm_time,round_time
1,0.1,90.0000011920929,0,90
2,0.1091,255.0000011920929,0,240
3,0.1029,350.0000011920929,0,350
4,0.1093,440.0000011920929,0,350
5,0.3136,605.0000011920929,0,350
6,0.3495,690.0000011920929,0,350
7,0.38,760.0000011920929,0,350
8,0.4089,820.0000011920929,0,350
9,0.3967,880.0000011920929,0,255
10,0.4586,950.0000011920929,0,200
11,0.4847,1040.000001192093,0,350
12,0.4958,1110.000001192093,0,350
13,0.5319,1170.000001192093,0,350
14,0.5529,1230.000001192093,0,350
15,0.5929,1290.000001192093,0,350
16,0.5984,1350.000001192093,0,350
17,0.5955,1410.000001192093,0,350
18,0.6175,1470.000001192093,0,350
19,0.6254,1530.000001192093,0,350
20,0.6441,1590.000001192093,0,350
21,0.6405,1700.000001192093,0,350
22,0.6536,1780.000001192093,0,350
23,0.6618,1845.000001192093,0,350
24,0.6615,1900.000001192093,0,350
25,0.671,1955.000001192093,0,350
26,0.6716,2010.000001192093,0,300
27,0.6752,2065.000001192093,0,350
28,0.6757,2130.000001192093,0,350
29,0.6807,2205.000001192093,0,350
30,0.6907,2280.000001192093,0,350
31,0.6907,2355.000001192093,0,350
32,0.6913,2415.000001192093,0,350
33,0.7027,2470.000001192093,0,350
34,0.695,2525.000001192093,0,350
35,0.6994,2580.000001192093,0,350
36,0.7018,2635.000001192093,0,350
37,0.7052,2690.000001192093,0,210
38,0.7087,2745.000001192093,0,350
39,0.71,2800.000001192093,0,350
40,0.7069,2855.000001192093,0,350
41,0.7083,2910.000001192093,0,350
42,0.7104,2965.000001192093,0,350
43,0.7168,3020.000001192093,0,95
44,0.7204,3075.000001192093,0,350
45,0.7151,3130.000001192093,0,280
46,0.7216,3185.000001192093,0,350
47,0.7247,3240.000001192093,0,105
48,0.7245,3300.000001192093,0,350
49,0.7243,3355.000001192093,0,350
50,0.7222,3415.000001192093,0,350
51,0.7271,3480.000001192093,0,350
52,0.7294,3540.000001192093,0,300
53,0.7246,3600.000001192093,0,350
54,0.7296,3665.000001192093,0,350
55,0.7298,3725.000001192093,0,350
56,0.7335,3780.000001192093,0,350
57,0.7335,3835.000001192093,0,350
58,0.7311,3890.000001192093,0,350
59,0.7339,3945.000001192093,0,350
60,0.7314,4000.000001192093,0,350
61,0.7359,4055.000001192093,0,350
62,0.7341,4110.000001192093,0,350
63,0.7384,4165.000001192093,0,350
64,0.7337,4220.000001192093,0,350
65,0.7332,4280.000001192093,0,350
66,0.7417,4345.000001192093,0,350
67,0.7385,4400.000001192093,0,200
68,0.7374,4455.000001192093,0,350
69,0.7367,4510.000001192093,0,350
70,0.7358,4570.000001192093,0,350
71,0.739,4625.000001192093,0,350
72,0.7457,4695.000001192093,0,350
73,0.7469,4760.000001192093,0,350
74,0.7421,4835.000001192093,0,115
75,0.7428,4900.000001192093,0,350
76,0.7471,4960.000001192093,0,350
77,0.7476,5020.000001192093,0,350
78,0.7457,5075.000001192093,0,350
79,0.7433,5130.000001192093,0,350
80,0.7459,5185.000001192093,0,350
81,0.7422,5240.000001192093,0,350
82,0.7482,5295.000001192093,0,350
83,0.7442,5350.000001192093,0,200
84,0.7475,5405.000001192093,0,350
85,0.7492,5460.000001192093,0,350
86,0.7496,5515.000001192093,0,185
87,0.7491,5580.000001192093,0,350
88,0.7475,5645.000001192093,0,350
89,0.7439,5715.000001192093,0,350
90,0.7435,5785.000001192093,0,350
91,0.7471,5850.000001192093,0,350
92,0.7519,5915.000001192093,0,350
93,0.752,5980.000001192093,0,350
94,0.7463,6045.000001192093,0,350
95,0.7484,6155.000001192093,0,350
96,0.7476,6225.000001192093,0,350
97,0.7549,6300.000001192093,0,350
98,0.7478,6365.000001192093,0,350
99,0.7517,6420.000001192093,0,350
100,0.7522,6475.000001192093,0,165
101,0.7523,6530.000001192093,0,350
102,0.7536,6595.000001192093,0,350
103,0.7559,6665.000001192093,0,350
104,0.7539,6730.000001192093,0,350
105,0.7536,6825.000001192093,0,350
106,0.7561,6895.000001192093,0,350
107,0.7545,6960.000001192093,0,350
108,0.7559,7025.000001192093,0,350
109,0.7587,7090.000001192093,0,350
110,0.7578,7180.000001192093,0,350
111,0.7564,7285.000001192093,0,350
112,0.7603,7355.000001192093,0,350
113,0.7572,7440.000001192093,0,350
114,0.7578,7530.000001192093,0,350
115,0.758,7600.000001192093,0,350
116,0.7588,7665.000001192093,0,350
117,0.7625,7730.000001192093,0,350
118,0.7587,7790.000001192093,0,350
119,0.7575,7850.000001192093,0,80
120,0.7578,7925.000001192093,0,350
121,0.7626,7990.000001192093,0,350
122,0.7605,8050.000001192093,0,350
123,0.7589,8110.000001192093,0,350
124,0.7617,8175.000001192093,0,350
125,0.7612,8235.000001192093,0,350
126,0.7624,8310.000001192093,0,350
127,0.7613,8400.000001192093,0,350
128,0.7655,8525.000001192093,0,350
129,0.7619,8595.000001192093,0,350
130,0.7631,8660.000001192093,0,350
131,0.7607,8750.000001192093,0,350
132,0.7616,8845.000001192093,0,270
133,0.7611,8925.000001192093,0,350
134,0.7658,8995.000001192093,0,350
135,0.7655,9055.000001192093,0,350
136,0.7653,9195.000001192093,0,350
137,0.7615,9265.000001192093,0,350
138,0.7655,9345.000001192093,0,350
139,0.7665,9405.000001192093,0,350
140,0.7673,9480.000001192093,0,350
141,0.7657,9550.000001192093,0,350
142,0.7652,9615.000001192093,0,350
