round,accuracy,elapsed_time,comm_time,round_time
1,0.0937,13.000000476837158,0,13
2,0.1121,25.000000476837158,0,20
3,0.1074,37.00000047683716,0,30
4,0.1014,51.00000047683716,0,51
5,0.1462,63.00000047683716,0,55
6,0.1044,74.00000047683716,0,70
7,0.1975,91.00000047683716,0,17
8,0.1928,102.00000047683716,0,70
9,0.2601,113.00000047683716,0,70
10,0.2424,124.00000047683716,0,70
11,0.3419,137.00000047683716,0,70
12,0.3261,150.00000047683716,0,70
13,0.3774,161.00000047683716,0,70
14,0.4043,172.00000047683716,0,13
15,0.3719,183.00000047683716,0,70
16,0.3614,194.00000047683716,0,70
17,0.399,206.00000047683716,0,12
18,0.3882,217.00000047683716,0,70
19,0.4337,229.00000047683716,0,12
20,0.3862,241.00000047683716,0,70
21,0.4238,253.00000047683716,0,70
22,0.4382,265.00000047683716,0,70
23,0.4036,276.00000047683716,0,70
24,0.4159,287.00000047683716,0,12
25,0.4057,298.00000047683716,0,70
26,0.4239,309.00000047683716,0,70
27,0.4279,320.00000047683716,0,70
28,0.4411,331.00000047683716,0,70
29,0.453,345.00000047683716,0,14
30,0.4116,356.00000047683716,0,70
31,0.4744,367.00000047683716,0,14
32,0.4495,378.00000047683716,0,70
33,0.4428,390.00000047683716,0,70
34,0.4426,401.00000047683716,0,70
35,0.4465,412.00000047683716,0,70
36,0.4644,437.00000047683716,0,70
37,0.4354,448.00000047683716,0,70
38,0.4794,459.00000047683716,0,15
39,0.4374,470.00000047683716,0,70
40,0.4617,481.00000047683716,0,70
41,0.4046,492.00000047683716,0,70
42,0.4344,503.00000047683716,0,23
43,0.4775,516.0000004768372,0,68
44,0.4569,527.0000004768372,0,70
45,0.4701,538.0000004768372,0,70
46,0.471,549.0000004768372,0,70
47,0.4726,560.0000004768372,0,70
48,0.4887,571.0000004768372,0,70
49,0.5029,582.0000004768372,0,70
50,0.4735,593.0000004768372,0,12
51,0.5032,605.0000004768372,0,15
52,0.5096,617.0000004768372,0,70
53,0.4878,628.0000004768372,0,70
54,0.478,639.0000004768372,0,70
55,0.4869,650.0000004768372,0,70
56,0.4986,661.0000004768372,0,70
57,0.5101,672.0000004768372,0,24
58,0.4826,683.0000004768372,0,15
