round,accuracy,elapsed_time,comm_time,round_time
1,0.1005,13.000000715255737,0,13
2,0.1372,25.000000715255737,0,20
3,0.1201,37.00000071525574,0,30
4,0.105,51.00000071525574,0,51
5,0.1428,63.00000071525574,0,55
6,0.1062,74.00000071525574,0,70
7,0.1939,85.00000071525574,0,12
8,0.2257,101.00000071525574,0,70
9,0.2439,113.00000071525574,0,70
10,0.2888,125.00000071525574,0,70
11,0.2627,144.00000071525574,0,70
12,0.3165,156.00000071525574,0,70
13,0.3429,168.00000071525574,0,45
14,0.3814,180.00000071525574,0,70
15,0.312,191.00000071525574,0,70
16,0.3015,202.00000071525574,0,70
17,0.3912,237.00000071525574,0,70
18,0.371,250.00000071525574,0,70
19,0.3641,261.00000071525574,0,70
20,0.3976,272.00000071525574,0,70
21,0.45,283.00000071525574,0,70
22,0.43,303.00000071525574,0,31
23,0.3839,314.00000071525574,0,70
24,0.4413,325.00000071525574,0,70
25,0.3483,336.00000071525574,0,70
26,0.3984,347.00000071525574,0,70
27,0.4609,358.00000071525574,0,70
28,0.438,374.00000071525574,0,70
29,0.4497,390.00000071525574,0,70
30,0.474,407.00000071525574,0,70
31,0.4311,418.00000071525574,0,70
32,0.4279,429.00000071525574,0,70
33,0.4664,440.00000071525574,0,31
34,0.4684,451.00000071525574,0,70
35,0.4575,465.00000071525574,0,70
36,0.4586,488.00000071525574,0,70
37,0.4767,499.00000071525574,0,70
38,0.5035,510.00000071525574,0,70
39,0.4516,521.0000007152557,0,70
40,0.4943,532.0000007152557,0,70
41,0.4386,544.0000007152557,0,15
42,0.466,580.0000007152557,0,70
43,0.4596,593.0000007152557,0,70
44,0.4632,604.0000007152557,0,70
45,0.4663,615.0000007152557,0,70
46,0.4799,626.0000007152557,0,14
47,0.5259,650.0000007152557,0,33
48,0.4816,673.0000007152557,0,70
49,0.5005,684.0000007152557,0,70
50,0.5143,695.0000007152557,0,70
51,0.4905,706.0000007152557,0,70
52,0.5406,717.0000007152557,0,22
53,0.4938,728.0000007152557,0,14
54,0.4792,739.0000007152557,0,26
55,0.4914,750.0000007152557,0,70
56,0.5294,761.0000007152557,0,70
57,0.452,772.0000007152557,0,33
58,0.5391,783.0000007152557,0,70
59,0.4907,794.0000007152557,0,24
60,0.5009,805.0000007152557,0,70
61,0.4988,816.0000007152557,0,70
62,0.5045,827.0000007152557,0,12
63,0.4524,838.0000007152557,0,19
64,0.4597,849.0000007152557,0,70
65,0.4574,860.0000007152557,0,21
66,0.5463,871.0000007152557,0,22
67,0.4709,882.0000007152557,0,19
68,0.5123,893.0000007152557,0,70
69,0.537,904.0000007152557,0,30
70,0.5336,915.0000007152557,0,12
71,0.4968,926.0000007152557,0,70
72,0.5473,936.0000007152557,0,22
73,0.5108,947.0000007152557,0,15
74,0.5081,957.0000007152557,0,31
75,0.4901,966.0000007152557,0,19
76,0.5103,977.0000007152557,0,15
77,0.458,981.0000007152557,0,21
78,0.4894,992.0000007152557,0,13
79,0.5003,1000.0000007152557,0,20
80,0.541,1010.0000007152557,0,18
81,0.402,1013.0000007152557,0,13
82,0.5201,1024.0000007152557,0,13
83,0.4815,1029.0000007152557,0,19
84,0.5109,1040.0000007152557,0,13
85,0.4751,1051.0000007152557,0,18
86,0.535,1062.0000007152557,0,30
87,0.5345,1073.0000007152557,0,13
88,0.5649,1084.0000007152557,0,35
89,0.5558,1095.0000007152557,0,13
90,0.532,1106.0000007152557,0,12
91,0.5152,1117.0000007152557,0,70
92,0.5551,1128.0000007152557,0,70
93,0.5714,1139.0000007152557,0,12
94,0.5549,1150.0000007152557,0,15
95,0.5492,1156.0000007152557,0,70
96,0.5197,1165.0000007152557,0,15
97,0.5605,1169.0000007152557,0,13
98,0.5666,1180.0000007152557,0,13
99,0.4841,1186.0000007152557,0,17
100,0.5584,1197.0000007152557,0,12
101,0.5076,1201.0000007152557,0,21
102,0.5641,1212.0000007152557,0,13
103,0.4773,1221.0000007152557,0,24
104,0.5501,1227.0000007152557,0,15
105,0.48,1234.0000007152557,0,13
106,0.5279,1240.0000007152557,0,13
107,0.5338,1249.0000007152557,0,15
108,0.5487,1253.0000007152557,0,13
109,0.5407,1262.0000007152557,0,13
110,0.5416,1268.0000007152557,0,15
111,0.5385,1275.0000007152557,0,13
112,0.5765,1280.0000007152557,0,12
113,0.5542,1290.0000007152557,0,15
114,0.5789,1292.0000007152557,0,12
115,0.5643,1303.0000007152557,0,12
116,0.5521,1305.0000007152557,0,15
117,0.5637,1316.0000007152557,0,12
118,0.5748,1327.0000007152557,0,16
119,0.563,1338.0000007152557,0,15
120,0.5575,1349.0000007152557,0,14
121,0.5716,1360.0000007152557,0,13
122,0.5024,1371.0000007152557,0,19
123,0.545,1382.0000007152557,0,70
124,0.5417,1393.0000007152557,0,70
125,0.5877,1404.0000007152557,0,70
126,0.5871,1415.0000007152557,0,12
127,0.551,1426.0000007152557,0,13
128,0.5472,1437.0000007152557,0,70
129,0.5397,1448.0000007152557,0,19
130,0.5755,1459.0000007152557,0,14
131,0.5306,1470.0000007152557,0,13
132,0.5919,1481.0000007152557,0,19
133,0.5901,1492.0000007152557,0,70
134,0.5327,1503.0000007152557,0,21
135,0.589,1514.0000007152557,0,12
136,0.5781,1525.0000007152557,0,70
137,0.5745,1536.0000007152557,0,21
138,0.5271,1547.0000007152557,0,70
139,0.5731,1558.0000007152557,0,12
140,0.5564,1569.0000007152557,0,70
141,0.5916,1572.0000007152557,0,22
142,0.5484,1582.0000007152557,0,13
143,0.5765,1586.0000007152557,0,14
144,0.5322,1597.0000007152557,0,12
145,0.5887,1601.0000007152557,0,19
146,0.5602,1612.0000007152557,0,14
147,0.5099,1623.0000007152557,0,21
148,0.5662,1634.0000007152557,0,17
149,0.5552,1645.0000007152557,0,21
150,0.5568,1656.0000007152557,0,15
151,0.5239,1667.0000007152557,0,13
152,0.5583,1678.0000007152557,0,70
153,0.5162,1689.0000007152557,0,19
154,0.5477,1700.0000007152557,0,29
155,0.4803,1711.0000007152557,0,31
156,0.5475,1722.0000007152557,0,70
157,0.4116,1733.0000007152557,0,21
158,0.5563,1744.0000007152557,0,17
159,0.5055,1755.0000007152557,0,19
160,0.5544,1765.0000007152557,0,70
161,0.5706,1770.0000007152557,0,15
162,0.5183,1781.0000007152557,0,13
163,0.5615,1785.0000007152557,0,17
164,0.5887,1793.0000007152557,0,12
165,0.59,1804.0000007152557,0,17
166,0.5519,1812.0000007152557,0,21
167,0.593,1818.0000007152557,0,14
168,0.5729,1827.0000007152557,0,15
169,0.5784,1837.0000007152557,0,19
170,0.5649,1842.0000007152557,0,15
171,0.5522,1853.0000007152557,0,13
172,0.5527,1859.0000007152557,0,19
173,0.5897,1867.0000007152557,0,14
174,0.5119,1874.0000007152557,0,15
175,0.5756,1879.0000007152557,0,12
176,0.5963,1889.0000007152557,0,15
177,0.5785,1891.0000007152557,0,12
178,0.5967,1902.0000007152557,0,13
179,0.5638,1904.0000007152557,0,15
180,0.5941,1915.0000007152557,0,12
181,0.5744,1920.0000007152557,0,18
182,0.5695,1927.0000007152557,0,12
183,0.5998,1937.0000007152557,0,17
184,0.5947,1941.0000007152557,0,14
185,0.5724,1950.0000007152557,0,13
186,0.5366,1954.0000007152557,0,13
187,0.5868,1964.0000007152557,0,14
188,0.5906,1967.0000007152557,0,13
189,0.6029,1976.0000007152557,0,12
190,0.5719,1980.0000007152557,0,13
191,0.5599,1988.0000007152557,0,12
192,0.5589,1997.0000007152557,0,17
193,0.5695,2000.0000007152557,0,12
194,0.532,2010.0000007152557,0,13
195,0.5625,2014.0000007152557,0,14
196,0.5948,2023.0000007152557,0,13
197,0.5706,2030.0000007152557,0,16
198,0.5741,2036.0000007152557,0,13
199,0.5685,2047.0000007152557,0,12
200,0.57,2058.0000007152557,0,14
