round,accuracy,elapsed_time,comm_time,round_time
1,0.1,13.000000476837158,0,13
2,0.1029,44.00000047683716,0,31
3,0.1,70.00000047683716,0,70
4,0.0999,83.00000047683716,0,70
5,0.1281,114.00000047683716,0,70
6,0.1277,140.00000047683716,0,70
7,0.1216,184.00000047683716,0,70
8,0.1814,210.00000047683716,0,70
9,0.2056,233.00000047683716,0,70
10,0.2161,255.00000047683716,0,70
11,0.3327,280.00000047683716,0,70
12,0.279,303.00000047683716,0,70
13,0.3103,350.00000047683716,0,70
14,0.3587,373.00000047683716,0,70
15,0.3653,420.00000047683716,0,70
16,0.3643,443.00000047683716,0,70
17,0.3974,456.00000047683716,0,70
18,0.3873,490.00000047683716,0,70
19,0.37,513.0000004768372,0,70
20,0.3499,524.0000004768372,0,11
21,0.4199,535.0000004768372,0,70
22,0.4078,546.0000004768372,0,11
23,0.4278,557.0000004768372,0,12
24,0.2189,560.0000004768372,0,70
25,0.4594,569.0000004768372,0,12
26,0.3452,571.0000004768372,0,11
27,0.4469,581.0000004768372,0,12
28,0.3131,583.0000004768372,0,12
29,0.4147,594.0000004768372,0,12
30,0.4503,596.0000004768372,0,13
31,0.4226,608.0000004768372,0,14
32,0.3976,611.0000004768372,0,15
33,0.44,625.0000004768372,0,17
34,0.4243,634.0000004768372,0,23
35,0.4372,646.0000004768372,0,12
36,0.4764,658.0000004768372,0,30
37,0.456,669.0000004768372,0,27
38,0.4563,680.0000004768372,0,12
39,0.4858,691.0000004768372,0,15
40,0.4723,702.0000004768372,0,70
41,0.4661,713.0000004768372,0,39
42,0.4777,721.0000004768372,0,30
43,0.4914,725.0000004768372,0,12
44,0.4869,736.0000004768372,0,14
45,0.4675,740.0000004768372,0,19
46,0.495,750.0000004768372,0,14
47,0.4949,753.0000004768372,0,13
48,0.4765,764.0000004768372,0,12
49,0.4869,765.0000004768372,0,14
50,0.5071,776.0000004768372,0,12
51,0.5052,778.0000004768372,0,14
52,0.5124,788.0000004768372,0,12
53,0.4899,792.0000004768372,0,14
54,0.5077,800.0000004768372,0,12
55,0.5002,806.0000004768372,0,14
56,0.5244,812.0000004768372,0,12
57,0.5115,820.0000004768372,0,14
58,0.5262,824.0000004768372,0,12
59,0.4821,833.0000004768372,0,13
60,0.5128,836.0000004768372,0,12
61,0.4957,847.0000004768372,0,12
62,0.532,850.0000004768372,0,15
63,0.517,859.0000004768372,0,12
64,0.5261,862.0000004768372,0,12
65,0.5184,871.0000004768372,0,12
66,0.5394,875.0000004768372,0,13
67,0.5269,883.0000004768372,0,12
68,0.5255,894.0000004768372,0,11
69,0.5391,895.0000004768372,0,19
70,0.5477,906.0000004768372,0,11
71,0.5077,907.0000004768372,0,12
72,0.5336,917.0000004768372,0,11
73,0.5387,919.0000004768372,0,12
74,0.5519,928.0000004768372,0,11
75,0.5396,931.0000004768372,0,12
76,0.538,939.0000004768372,0,11
77,0.5468,945.0000004768372,0,14
78,0.5497,951.0000004768372,0,12
79,0.5187,957.0000004768372,0,12
80,0.5453,963.0000004768372,0,12
81,0.5468,971.0000004768372,0,14
82,0.5357,977.0000004768372,0,14
83,0.519,988.0000004768372,0,12
84,0.5364,999.0000004768372,0,15
85,0.5403,1001.0000004768372,0,28
86,0.5568,1012.0000004768372,0,11
87,0.5414,1014.0000004768372,0,15
88,0.5566,1023.0000004768372,0,11
89,0.5321,1029.0000004768372,0,15
90,0.548,1034.0000004768372,0,11
91,0.5237,1044.0000004768372,0,15
92,0.5449,1045.0000004768372,0,11
93,0.5468,1056.0000004768372,0,12
94,0.5591,1056.0000004768372,0,12
95,0.5503,1067.0000004768372,0,11
96,0.5546,1069.0000004768372,0,13
97,0.5637,1078.0000004768372,0,11
98,0.5494,1082.0000004768372,0,13
99,0.5611,1092.0000004768372,0,14
100,0.5266,1094.0000004768372,0,12
101,0.5713,1105.0000004768372,0,11
102,0.564,1106.0000004768372,0,13
103,0.5586,1117.0000004768372,0,11
104,0.5532,1120.0000004768372,0,15
105,0.5599,1128.0000004768372,0,11
106,0.5501,1133.0000004768372,0,13
107,0.5644,1139.0000004768372,0,11
108,0.5245,1146.0000004768372,0,13
109,0.5631,1150.0000004768372,0,11
110,0.5566,1161.0000004768372,0,13
111,0.5636,1161.0000004768372,0,15
112,0.537,1172.0000004768372,0,11
113,0.5545,1183.0000004768372,0,14
114,0.5348,1191.0000004768372,0,30
115,0.559,1196.0000004768372,0,13
116,0.5537,1205.0000004768372,0,14
117,0.5528,1209.0000004768372,0,13
118,0.5403,1217.0000004768372,0,12
119,0.5533,1221.0000004768372,0,12
120,0.562,1230.0000004768372,0,13
121,0.5294,1241.0000004768372,0,12
122,0.5598,1252.0000004768372,0,12
123,0.5632,1263.0000004768372,0,12
124,0.5741,1274.0000004768372,0,14
125,0.5398,1285.0000004768372,0,18
126,0.5629,1291.0000004768372,0,70
127,0.5482,1297.0000004768372,0,12
128,0.5727,1305.0000004768372,0,14
129,0.5636,1309.0000004768372,0,12
130,0.5501,1320.0000004768372,0,12
131,0.5619,1321.0000004768372,0,15
132,0.5715,1332.0000004768372,0,12
133,0.576,1343.0000004768372,0,12
134,0.5654,1354.0000004768372,0,11
135,0.5816,1365.0000004768372,0,14
136,0.5627,1376.0000004768372,0,13
137,0.5737,1387.0000004768372,0,14
138,0.5541,1391.0000004768372,0,70
139,0.5665,1399.0000004768372,0,12
140,0.5274,1403.0000004768372,0,12
141,0.5671,1411.0000004768372,0,12
142,0.5697,1415.0000004768372,0,12
143,0.5719,1425.0000004768372,0,14
144,0.5643,1427.0000004768372,0,12
145,0.5595,1437.0000004768372,0,12
146,0.5631,1442.0000004768372,0,15
147,0.5864,1449.0000004768372,0,12
148,0.5765,1454.0000004768372,0,12
149,0.572,1461.0000004768372,0,12
150,0.5524,1467.0000004768372,0,13
