round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000047683716,0,115
2,0.1,350.00000047683716,0,350
3,0.1,410.00000047683716,0,350
4,0.1026,540.0000004768372,0,350
5,0.2355,700.0000004768372,0,350
6,0.1528,760.0000004768372,0,350
7,0.3113,820.0000004768372,0,240
8,0.3513,965.0000004768372,0,350
9,0.3433,1110.0000004768372,0,350
10,0.3856,1170.0000004768372,0,350
11,0.3714,1315.0000004768372,0,350
12,0.3949,1460.0000004768372,0,350
13,0.4081,1520.0000004768372,0,350
14,0.4271,1665.0000004768372,0,350
15,0.4431,1810.0000004768372,0,350
16,0.4433,1870.0000004768372,0,350
17,0.447,2015.0000004768372,0,350
18,0.4592,2220.000000476837,0,350
19,0.4683,2355.000000476837,0,350
20,0.4646,2420.000000476837,0,350
21,0.4767,2495.000000476837,0,110
22,0.4878,2640.000000476837,0,350
23,0.483,2705.000000476837,0,350
24,0.4948,2790.000000476837,0,350
25,0.5154,2965.000000476837,0,350
26,0.5135,3055.000000476837,0,350
27,0.5261,3140.000000476837,0,350
28,0.5273,3315.000000476837,0,350
29,0.5263,3380.000000476837,0,350
30,0.5513,3460.000000476837,0,350
31,0.5425,3535.000000476837,0,350
32,0.5551,3810.000000476837,0,350
33,0.5373,3885.000000476837,0,350
34,0.5621,3950.000000476837,0,350
35,0.5697,4060.000000476837,0,155
36,0.5657,4160.000000476837,0,350
37,0.5617,4255.000000476837,0,350
38,0.5778,4410.000000476837,0,350
39,0.574,4510.000000476837,0,350
40,0.5757,4605.000000476837,0,350
41,0.5837,4760.000000476837,0,350
42,0.5867,4880.000000476837,0,350
43,0.5866,5020.000000476837,0,350
44,0.5916,5080.000000476837,0,175
45,0.5926,5145.000000476837,0,350
46,0.5811,5230.000000476837,0,350
47,0.5917,5430.000000476837,0,350
48,0.5876,5580.000000476837,0,350
49,0.5952,5780.000000476837,0,350
50,0.5974,5885.000000476837,0,350
51,0.5857,5945.000000476837,0,350
52,0.5977,6020.000000476837,0,110
53,0.5985,6235.000000476837,0,350
54,0.5975,6295.000000476837,0,350
55,0.5969,6370.000000476837,0,350
56,0.6001,6445.000000476837,0,350
57,0.5999,6645.000000476837,0,350
58,0.6012,6715.000000476837,0,350
59,0.6064,6795.000000476837,0,350
60,0.6112,6995.000000476837,0,350
61,0.6107,7065.000000476837,0,350
62,0.5975,7145.000000476837,0,350
63,0.6111,7230.000000476837,0,350
64,0.609,7345.000000476837,0,350
65,0.6137,7495.000000476837,0,350
66,0.6056,7570.000000476837,0,350
67,0.6108,7695.000000476837,0,350
68,0.6113,7845.000000476837,0,350
69,0.6155,7920.000000476837,0,350
70,0.6173,8045.000000476837,0,350
71,0.6146,8105.000000476837,0,350
72,0.6167,8195.000000476837,0,350
73,0.6199,8395.000000476837,0,350
74,0.6091,8545.000000476837,0,350
75,0.6213,8745.000000476837,0,350
76,0.6211,8885.000000476837,0,350
77,0.6245,8960.000000476837,0,350
78,0.6293,9095.000000476837,0,350
79,0.6251,9215.000000476837,0,350
80,0.6205,9310.000000476837,0,350
81,0.6146,9380.000000476837,0,350
82,0.6257,9445.000000476837,0,350
83,0.6274,9565.000000476837,0,350
84,0.6222,9760.000000476837,0,350
85,0.6213,9845.000000476837,0,350
86,0.6207,10020.000000476837,0,350
87,0.6202,10115.000000476837,0,350
88,0.6307,10350.000000476837,0,350
89,0.6335,10465.000000476837,0,350
90,0.636,10535.000000476837,0,350
