round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000071525574,0,115
2,0.1003,350.00000071525574,0,350
3,0.1004,410.00000071525574,0,350
4,0.1938,470.00000071525574,0,350
5,0.3928,650.0000007152557,0,300
6,0.4275,760.0000007152557,0,350
7,0.4202,820.0000007152557,0,350
8,0.4721,1000.0000007152557,0,350
9,0.5025,1110.0000007152557,0,350
10,0.5377,1170.0000007152557,0,350
11,0.5588,1245.0000007152557,0,350
12,0.563,1520.0000007152557,0,350
13,0.5707,1595.0000007152557,0,350
14,0.5807,1650.0000007152557,0,350
15,0.5902,1830.0000007152557,0,235
16,0.6115,1890.0000007152557,0,350
17,0.6093,1950.0000007152557,0,350
18,0.6135,2005.0000007152557,0,350
19,0.6217,2060.0000007152557,0,70
20,0.63,2165.0000007152557,0,140
21,0.6314,2225.0000007152557,0,350
22,0.6287,2355.0000007152557,0,350
23,0.6397,2425.0000007152557,0,350
24,0.6487,2575.0000007152557,0,350
25,0.644,2705.0000007152557,0,350
26,0.6496,2765.0000007152557,0,350
27,0.6454,2820.0000007152557,0,350
28,0.6577,2880.0000007152557,0,130
29,0.6541,2935.0000007152557,0,350
30,0.6454,2990.0000007152557,0,240
31,0.6504,3045.0000007152557,0,120
32,0.6562,3100.0000007152557,0,105
33,0.6596,3155.0000007152557,0,350
34,0.6623,3210.0000007152557,0,95
35,0.6614,3270.0000007152557,0,115
36,0.6659,3330.0000007152557,0,225
37,0.6647,3390.0000007152557,0,155
38,0.6642,3450.0000007152557,0,350
39,0.6671,3505.0000007152557,0,275
40,0.662,3560.0000007152557,0,255
41,0.6668,3625.0000007152557,0,350
42,0.6694,3705.0000007152557,0,155
43,0.6738,3855.0000007152557,0,350
44,0.6705,3915.0000007152557,0,350
45,0.6733,4005.0000007152557,0,350
46,0.6781,4060.0000007152557,0,350
47,0.6737,4205.000000715256,0,150
48,0.6742,4265.000000715256,0,350
49,0.6785,4355.000000715256,0,350
50,0.6789,4425.000000715256,0,350
51,0.6793,4535.000000715256,0,235
52,0.6801,4615.000000715256,0,350
53,0.6848,4690.000000715256,0,350
54,0.6834,4810.000000715256,0,350
55,0.685,4885.000000715256,0,350
56,0.6833,4960.000000715256,0,150
57,0.6834,5030.000000715256,0,350
58,0.6832,5160.000000715256,0,350
59,0.6854,5310.000000715256,0,350
60,0.6889,5380.000000715256,0,350
61,0.6834,5455.000000715256,0,350
62,0.6841,5560.000000715256,0,350
63,0.6879,5660.000000715256,0,350
64,0.6885,5740.000000715256,0,350
65,0.6891,5810.000000715256,0,350
66,0.6908,6010.000000715256,0,350
67,0.6915,6090.000000715256,0,350
68,0.6906,6160.000000715256,0,350
69,0.6896,6360.000000715256,0,350
70,0.6871,6425.000000715256,0,350
71,0.6898,6490.000000715256,0,350
72,0.6886,6545.000000715256,0,350
73,0.6914,6605.000000715256,0,175
74,0.6937,6685.000000715256,0,135
75,0.6958,6775.000000715256,0,350
76,0.6964,6895.000000715256,0,350
77,0.6962,7035.000000715256,0,350
78,0.6941,7120.000000715256,0,350
79,0.6958,7180.000000715256,0,350
80,0.695,7240.000000715256,0,75
81,0.694,7295.000000715256,0,350
82,0.6953,7360.000000715256,0,100
83,0.6971,7420.000000715256,0,350
84,0.693,7480.000000715256,0,350
85,0.697,7540.000000715256,0,350
86,0.6992,7615.000000715256,0,195
87,0.6982,7675.000000715256,0,350
88,0.6959,7730.000000715256,0,350
89,0.6955,7790.000000715256,0,350
90,0.6975,7850.000000715256,0,350
91,0.697,7925.000000715256,0,350
92,0.7013,8010.000000715256,0,235
93,0.6998,8075.000000715256,0,350
94,0.7005,8135.000000715256,0,350
95,0.7053,8195.000000715256,0,350
96,0.6995,8250.000000715256,0,350
97,0.7031,8305.000000715256,0,350
98,0.7004,8365.000000715256,0,150
99,0.7021,8485.000000715256,0,350
100,0.7015,8655.000000715256,0,350
101,0.7038,8725.000000715256,0,350
102,0.7038,8835.000000715256,0,350
103,0.7028,8895.000000715256,0,350
104,0.7067,8960.000000715256,0,85
105,0.7056,9060.000000715256,0,350
106,0.7052,9120.000000715256,0,350
