round,accuracy,elapsed_time
1,0.1,115.00000047683716
2,0.1,350.00000047683716
3,0.1,405.00000047683716
4,0.1,470.00000047683716
5,0.1066,625.0000004768372
6,0.1,790.0000004768372
7,0.2833,975.0000004768372
8,0.3082,1045.0000004768372
9,0.3244,1155.0000004768372
10,0.3525,1325.0000004768372
11,0.3781,1395.0000004768372
12,0.3655,1505.0000004768372
13,0.3965,1675.0000004768372
14,0.4117,1745.0000004768372
15,0.4311,1825.0000004768372
16,0.4253,1900.0000004768372
17,0.4581,2095.000000476837
18,0.4792,2250.000000476837
19,0.4645,2320.000000476837
20,0.488,2435.000000476837
21,0.4895,2515.000000476837
22,0.4959,2670.000000476837
23,0.4862,2785.000000476837
24,0.4986,2865.000000476837
25,0.5275,3020.000000476837
26,0.5358,3135.000000476837
27,0.5529,3215.000000476837
28,0.5661,3370.000000476837
29,0.5641,3425.000000476837
30,0.5682,3485.000000476837
31,0.573,3740.000000476837
32,0.5852,3835.000000476837
33,0.5939,3895.000000476837
34,0.5886,4090.000000476837
35,0.606,4185.000000476837
36,0.6046,4260.000000476837
37,0.6046,4440.000000476837
38,0.6158,4600.000000476837
39,0.6199,4710.000000476837
40,0.6236,4790.000000476837
41,0.6224,4950.000000476837
42,0.6305,5105.000000476837
43,0.6349,5235.000000476837
44,0.6353,5310.000000476837
45,0.6401,5455.000000476837
46,0.6386,5585.000000476837
47,0.6406,5655.000000476837
48,0.638,5805.000000476837
49,0.6456,6005.000000476837
50,0.6439,6065.000000476837
51,0.6504,6155.000000476837
52,0.6526,6355.000000476837
53,0.6498,6415.000000476837
54,0.6565,6505.000000476837
55,0.6574,6640.000000476837
56,0.6593,6725.000000476837
57,0.6552,6855.000000476837
58,0.6588,6915.000000476837
59,0.6591,7065.000000476837
60,0.6626,7205.000000476837
61,0.6665,7295.000000476837
62,0.6673,7555.000000476837
63,0.6641,7645.000000476837
64,0.6733,7905.000000476837
65,0.6739,7995.000000476837
66,0.6734,8115.000000476837
67,0.6754,8255.000000476837
68,0.6724,8400.000000476837
69,0.6684,8495.000000476837
70,0.6778,8605.000000476837
71,0.6775,8750.000000476837
72,0.6851,8845.000000476837
73,0.6782,8995.000000476837
74,0.6741,9100.000000476837
75,0.6799,9195.000000476837
76,0.6842,9375.000000476837
77,0.6769,9450.000000476837
78,0.6807,9545.000000476837
79,0.6837,9615.000000476837
80,0.6857,9800.000000476837
81,0.6795,9900.000000476837
82,0.6826,9965.000000476837
83,0.6784,10095.000000476837
84,0.683,10155.000000476837
85,0.6865,10250.000000476837
86,0.6944,10330.000000476837
87,0.6826,10600.000000476837
88,0.687,10680.000000476837
89,0.6876,10745.000000476837
90,0.6908,10950.000000476837
91,0.6857,11030.000000476837
92,0.6883,11095.000000476837
93,0.6876,11300.000000476837
94,0.6857,11380.000000476837
95,0.6866,11445.000000476837
96,0.6956,11565.000000476837
97,0.6919,11715.000000476837
98,0.6975,11795.000000476837
99,0.6911,11915.000000476837
100,0.692,11975.000000476837
101,0.6975,12130.000000476837
102,0.7041,12265.000000476837
103,0.7021,12335.000000476837
104,0.6923,12480.000000476837
105,0.7033,12615.000000476837
106,0.699,12830.000000476837
107,0.6958,12965.000000476837
108,0.6972,13180.000000476837
109,0.6983,13255.000000476837
110,0.6955,13315.000000476837
111,0.7014,13385.000000476837
112,0.6992,13530.000000476837
113,0.7,13665.000000476837
114,0.706,13755.000000476837
115,0.7043,13905.000000476837
116,0.6931,14105.000000476837
117,0.7072,14220.000000476837
118,0.6888,14280.000000476837
119,0.7052,14455.000000476837
120,0.7057,14570.000000476837
121,0.7031,14630.000000476837
122,0.7078,14750.000000476837
123,0.7092,14870.000000476837
124,0.7019,14980.000000476837
125,0.7061,15130.000000476837
126,0.7085,15220.000000476837
127,0.7079,15280.000000476837
128,0.7051,15395.000000476837
129,0.7144,15505.000000476837
130,0.7086,15630.000000476837
131,0.7064,15745.000000476837
132,0.7057,15855.000000476837
133,0.6971,15970.000000476837
134,0.7131,16095.000000476837
135,0.6915,16205.000000476837
136,0.7151,16320.000000476837
137,0.7207,16445.000000476837
138,0.7141,16555.000000476837
139,0.7069,16675.000000476837
140,0.7087,16795.000000476837
141,0.7211,17025.000000476837
142,0.7158,17145.000000476837
143,0.7166,17205.000000476837
144,0.715,17375.000000476837
145,0.7127,17495.000000476837
146,0.7088,17725.000000476837
147,0.7059,17845.000000476837
148,0.7097,17900.000000476837
149,0.7178,17995.000000476837
150,0.7122,18075.000000476837
