round,accuracy,elapsed_time,comm_time,round_time
1,0.1,65.00000071525574,0,65
2,0.104,125.00000071525574,0,100
3,0.1878,220.00000071525574,0,150
4,0.2151,315.00000071525574,0,275
5,0.1746,375.00000071525574,0,350
6,0.4094,430.00000071525574,0,70
7,0.3727,485.00000071525574,0,350
8,0.4566,545.0000007152557,0,60
9,0.4495,600.0000007152557,0,350
10,0.5058,655.0000007152557,0,60
11,0.5094,710.0000007152557,0,350
12,0.5501,780.0000007152557,0,350
13,0.5438,835.0000007152557,0,350
14,0.5896,890.0000007152557,0,65
15,0.5895,950.0000007152557,0,350
16,0.5784,1005.0000007152557,0,350
17,0.6048,1060.0000007152557,0,350
18,0.6152,1115.0000007152557,0,350
19,0.6196,1170.0000007152557,0,350
20,0.6274,1230.0000007152557,0,350
21,0.6272,1285.0000007152557,0,350
22,0.6443,1340.0000007152557,0,350
23,0.6376,1395.0000007152557,0,350
24,0.6462,1450.0000007152557,0,350
25,0.6417,1505.0000007152557,0,350
26,0.6483,1560.0000007152557,0,350
27,0.6506,1615.0000007152557,0,105
28,0.6523,1670.0000007152557,0,350
29,0.655,1725.0000007152557,0,350
30,0.6558,1780.0000007152557,0,110
31,0.6627,1835.0000007152557,0,105
32,0.6657,1890.0000007152557,0,350
33,0.6621,1940.0000007152557,0,350
34,0.6581,1995.0000007152557,0,75
35,0.6658,2045.0000007152557,0,110
36,0.6634,2070.0000007152557,0,75
37,0.6674,2125.0000007152557,0,65
38,0.6676,2150.0000007152557,0,105
39,0.6708,2190.0000007152557,0,65
40,0.6663,2225.0000007152557,0,75
41,0.6729,2255.0000007152557,0,65
42,0.6716,2300.0000007152557,0,75
43,0.6719,2320.0000007152557,0,65
44,0.6742,2375.0000007152557,0,65
45,0.6766,2385.0000007152557,0,75
46,0.68,2440.0000007152557,0,65
47,0.6758,2495.0000007152557,0,70
48,0.6783,2550.0000007152557,0,65
49,0.681,2605.0000007152557,0,70
50,0.6869,2660.0000007152557,0,70
51,0.6808,2715.0000007152557,0,70
52,0.6794,2730.0000007152557,0,350
53,0.6744,2785.0000007152557,0,65
54,0.6811,2830.0000007152557,0,100
55,0.6804,2850.0000007152557,0,65
56,0.6841,2905.0000007152557,0,70
57,0.6792,2930.0000007152557,0,100
58,0.6882,2975.0000007152557,0,70
59,0.6858,3030.0000007152557,0,65
60,0.6867,3085.0000007152557,0,70
61,0.6939,3140.0000007152557,0,65
62,0.6893,3195.0000007152557,0,95
63,0.6853,3250.0000007152557,0,65
64,0.6914,3305.0000007152557,0,350
65,0.6897,3360.0000007152557,0,350
66,0.6946,3415.0000007152557,0,165
67,0.6884,3470.0000007152557,0,150
68,0.6902,3525.0000007152557,0,195
69,0.6934,3580.0000007152557,0,105
70,0.6963,3640.0000007152557,0,110
71,0.6915,3695.0000007152557,0,175
72,0.6966,3750.0000007152557,0,110
73,0.6951,3810.0000007152557,0,105
74,0.7009,3865.0000007152557,0,350
75,0.6925,3920.0000007152557,0,350
76,0.6982,3975.0000007152557,0,110
77,0.6926,4030.0000007152557,0,285
78,0.1307,4085.0000007152557,0,110
79,0.6996,4145.000000715256,0,350
80,0.6966,4230.000000715256,0,150
81,0.6966,4290.000000715256,0,350
82,0.7028,4355.000000715256,0,120
83,0.6992,4435.000000715256,0,350
84,0.701,4490.000000715256,0,350
85,0.6995,4545.000000715256,0,350
86,0.7046,4610.000000715256,0,120
87,0.7051,4670.000000715256,0,105
88,0.7008,4735.000000715256,0,350
89,0.6999,4790.000000715256,0,350
90,0.7061,4845.000000715256,0,350
91,0.7057,4905.000000715256,0,95
92,0.701,4960.000000715256,0,350
93,0.7036,5015.000000715256,0,350
94,0.707,5070.000000715256,0,110
95,0.7042,5125.000000715256,0,95
96,0.6999,5185.000000715256,0,350
97,0.7004,5255.000000715256,0,350
98,0.7046,5320.000000715256,0,350
99,0.7083,5380.000000715256,0,350
100,0.706,5445.000000715256,0,120
101,0.7066,5510.000000715256,0,350
102,0.7083,5570.000000715256,0,350
103,0.7049,5625.000000715256,0,350
104,0.7095,5685.000000715256,0,110
105,0.7063,5745.000000715256,0,275
106,0.7068,5805.000000715256,0,350
107,0.7077,5865.000000715256,0,95
108,0.7106,5935.000000715256,0,350
109,0.7123,6005.000000715256,0,195
110,0.7033,6060.000000715256,0,350
111,0.7107,6115.000000715256,0,95
112,0.7083,6170.000000715256,0,350
113,0.7085,6225.000000715256,0,350
114,0.708,6280.000000715256,0,110
115,0.7069,6335.000000715256,0,350
116,0.7049,6390.000000715256,0,350
117,0.7085,6450.000000715256,0,115
118,0.7078,6505.000000715256,0,350
119,0.7084,6560.000000715256,0,95
120,0.7121,6615.000000715256,0,110
121,0.7091,6670.000000715256,0,95
122,0.7108,6720.000000715256,0,350
123,0.7081,6775.000000715256,0,95
124,0.7108,6830.000000715256,0,155
125,0.7102,6885.000000715256,0,100
126,0.712,6940.000000715256,0,110
127,0.7144,7005.000000715256,0,225
128,0.7093,7060.000000715256,0,350
129,0.7109,7115.000000715256,0,95
130,0.7094,7175.000000715256,0,110
131,0.711,7230.000000715256,0,150
132,0.7142,7290.000000715256,0,350
133,0.7079,7345.000000715256,0,155
134,0.7112,7400.000000715256,0,85
135,0.7142,7455.000000715256,0,350
136,0.7138,7510.000000715256,0,105
137,0.7139,7565.000000715256,0,95
138,0.7145,7620.000000715256,0,350
139,0.7122,7680.000000715256,0,95
140,0.708,7735.000000715256,0,195
141,0.7156,7790.000000715256,0,75
142,0.7066,7845.000000715256,0,85
143,0.7081,7900.000000715256,0,120
144,0.7132,7955.000000715256,0,350
145,0.7084,8010.000000715256,0,80
146,0.7109,8065.000000715256,0,120
147,0.7105,8120.000000715256,0,140
148,0.7132,8180.000000715256,0,110
149,0.7117,8235.000000715256,0,350
150,0.7113,8295.000000715256,0,110
