round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000071525574,0,115
2,0.1,350.00000071525574,0,350
3,0.1,405.00000071525574,0,350
4,0.1,470.00000071525574,0,350
5,0.1,625.0000007152557,0,165
6,0.1,790.0000007152557,0,350
7,0.2394,975.0000007152557,0,350
8,0.3042,1045.0000007152557,0,350
9,0.3151,1155.0000007152557,0,350
10,0.3521,1325.0000007152557,0,350
11,0.3876,1395.0000007152557,0,350
12,0.3981,1505.0000007152557,0,350
13,0.4147,1675.0000007152557,0,350
14,0.4323,1745.0000007152557,0,350
15,0.4427,1825.0000007152557,0,350
16,0.4408,1900.0000007152557,0,350
17,0.455,2095.0000007152557,0,350
18,0.4753,2250.0000007152557,0,350
19,0.4697,2320.0000007152557,0,350
20,0.4746,2435.0000007152557,0,340
21,0.4842,2515.0000007152557,0,350
22,0.4929,2670.0000007152557,0,350
23,0.5028,2785.0000007152557,0,350
24,0.5067,2865.0000007152557,0,350
25,0.521,3020.0000007152557,0,350
26,0.513,3135.0000007152557,0,350
27,0.5173,3215.0000007152557,0,350
28,0.533,3370.0000007152557,0,350
29,0.5369,3425.0000007152557,0,350
30,0.5451,3485.0000007152557,0,350
31,0.5426,3740.0000007152557,0,350
32,0.55,3835.0000007152557,0,350
33,0.5584,3895.0000007152557,0,350
34,0.5601,4090.0000007152557,0,350
35,0.5617,4185.000000715256,0,350
36,0.5607,4260.000000715256,0,350
37,0.5673,4440.000000715256,0,350
38,0.5649,4600.000000715256,0,350
39,0.5767,4710.000000715256,0,350
40,0.584,4790.000000715256,0,350
41,0.5788,4950.000000715256,0,350
42,0.5859,5105.000000715256,0,350
43,0.5814,5235.000000715256,0,350
44,0.5847,5310.000000715256,0,350
45,0.5928,5455.000000715256,0,350
46,0.5944,5585.000000715256,0,350
47,0.6006,5655.000000715256,0,350
48,0.6005,5805.000000715256,0,350
49,0.5976,6005.000000715256,0,350
50,0.6024,6065.000000715256,0,350
51,0.6069,6155.000000715256,0,350
52,0.6063,6355.000000715256,0,350
53,0.6051,6415.000000715256,0,350
54,0.6074,6505.000000715256,0,350
55,0.6148,6640.000000715256,0,350
56,0.6085,6725.000000715256,0,350
57,0.6202,6855.000000715256,0,350
58,0.618,6915.000000715256,0,350
59,0.6131,7065.000000715256,0,350
60,0.6123,7205.000000715256,0,350
61,0.6182,7295.000000715256,0,350
62,0.617,7555.000000715256,0,350
63,0.6215,7645.000000715256,0,350
64,0.627,7905.000000715256,0,350
65,0.6249,7995.000000715256,0,350
66,0.6224,8115.000000715256,0,350
67,0.6287,8255.000000715256,0,350
68,0.6301,8400.000000715256,0,350
69,0.6236,8495.000000715256,0,350
70,0.625,8605.000000715256,0,350
71,0.6365,8750.000000715256,0,350
72,0.6277,8845.000000715256,0,350
73,0.6377,8995.000000715256,0,350
74,0.6336,9100.000000715256,0,350
75,0.6396,9195.000000715256,0,350
76,0.6343,9375.000000715256,0,350
77,0.6372,9450.000000715256,0,350
78,0.6344,9545.000000715256,0,350
79,0.6412,9615.000000715256,0,350
80,0.6432,9800.000000715256,0,350
81,0.6394,9900.000000715256,0,350
82,0.6353,9965.000000715256,0,350
83,0.6401,10095.000000715256,0,350
84,0.6466,10155.000000715256,0,350
85,0.6474,10250.000000715256,0,350
86,0.6411,10330.000000715256,0,350
87,0.6505,10600.000000715256,0,350
88,0.6458,10680.000000715256,0,350
89,0.6492,10745.000000715256,0,350
90,0.6426,10950.000000715256,0,350
91,0.6509,11030.000000715256,0,350
92,0.6509,11095.000000715256,0,350
93,0.6558,11300.000000715256,0,350
94,0.6525,11380.000000715256,0,350
95,0.6594,11445.000000715256,0,350
96,0.6561,11565.000000715256,0,350
97,0.6538,11715.000000715256,0,350
98,0.6531,11795.000000715256,0,350
99,0.649,11915.000000715256,0,350
100,0.6574,11975.000000715256,0,350
101,0.6541,12130.000000715256,0,350
102,0.6548,12265.000000715256,0,350
103,0.6574,12335.000000715256,0,350
104,0.6574,12480.000000715256,0,350
105,0.6608,12615.000000715256,0,350
106,0.6602,12830.000000715256,0,350
107,0.6618,12965.000000715256,0,350
108,0.6571,13180.000000715256,0,350
109,0.6618,13255.000000715256,0,350
110,0.6661,13315.000000715256,0,350
111,0.6664,13385.000000715256,0,350
112,0.657,13530.000000715256,0,350
113,0.6627,13665.000000715256,0,350
114,0.6684,13755.000000715256,0,350
115,0.6587,13905.000000715256,0,350
116,0.67,14105.000000715256,0,350
117,0.6631,14220.000000715256,0,350
118,0.6681,14280.000000715256,0,350
119,0.6606,14455.000000715256,0,350
120,0.6704,14570.000000715256,0,350
121,0.6638,14630.000000715256,0,350
122,0.6636,14750.000000715256,0,285
123,0.6722,14870.000000715256,0,350
124,0.6626,14980.000000715256,0,350
125,0.6649,15130.000000715256,0,350
126,0.6723,15220.000000715256,0,350
127,0.677,15280.000000715256,0,350
128,0.6729,15395.000000715256,0,350
129,0.6741,15505.000000715256,0,350
130,0.6734,15630.000000715256,0,350
131,0.677,15745.000000715256,0,350
132,0.6746,15855.000000715256,0,350
133,0.6848,15970.000000715256,0,350
134,0.67,16095.000000715256,0,350
135,0.6777,16205.000000715256,0,350
136,0.6766,16320.000000715256,0,350
137,0.6851,16445.000000715256,0,350
138,0.681,16555.000000715256,0,350
139,0.6819,16675.000000715256,0,350
140,0.6805,16795.000000715256,0,350
141,0.6836,17025.000000715256,0,350
142,0.6813,17145.000000715256,0,350
143,0.6769,17205.000000715256,0,350
144,0.6854,17375.000000715256,0,350
145,0.6759,17495.000000715256,0,350
146,0.6827,17725.000000715256,0,350
147,0.6839,17845.000000715256,0,350
148,0.6783,17900.000000715256,0,350
149,0.672,17995.000000715256,0,255
150,0.685,18075.000000715256,0,350
