round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000023841858,0,115
2,0.1106,350.0000002384186,0,350
3,0.1,410.0000002384186,0,350
4,0.1177,465.0000002384186,0,350
5,0.2653,650.0000002384186,0,300
6,0.2375,760.0000002384186,0,350
7,0.2928,815.0000002384186,0,350
8,0.4041,1000.0000002384186,0,350
9,0.4089,1110.0000002384186,0,350
10,0.4386,1165.0000002384186,0,350
11,0.4772,1280.0000002384186,0,115
12,0.4968,1515.0000002384186,0,350
13,0.4782,1585.0000002384186,0,350
14,0.4979,1645.0000002384186,0,350
15,0.5426,1820.0000002384186,0,235
16,0.5517,1880.0000002384186,0,350
17,0.5628,1940.0000002384186,0,350
18,0.5759,1995.0000002384186,0,350
19,0.5915,2050.0000002384186,0,350
20,0.6108,2155.0000002384186,0,140
21,0.5992,2215.0000002384186,0,350
22,0.5987,2345.0000002384186,0,350
23,0.6268,2415.0000002384186,0,350
24,0.627,2565.0000002384186,0,350
25,0.635,2695.0000002384186,0,350
26,0.6438,2755.0000002384186,0,350
27,0.6551,2815.0000002384186,0,350
28,0.6493,2870.0000002384186,0,145
29,0.6501,2925.0000002384186,0,350
30,0.6719,2980.0000002384186,0,240
31,0.6704,3035.0000002384186,0,150
32,0.672,3090.0000002384186,0,75
33,0.6771,3145.0000002384186,0,350
34,0.6841,3200.0000002384186,0,115
35,0.672,3255.0000002384186,0,115
36,0.6913,3310.0000002384186,0,90
37,0.6912,3365.0000002384186,0,80
38,0.6803,3420.0000002384186,0,65
39,0.6984,3475.0000002384186,0,275
40,0.6925,3530.0000002384186,0,255
41,0.69,3585.0000002384186,0,350
42,0.6928,3645.0000002384186,0,100
43,0.6965,3700.0000002384186,0,165
44,0.7103,3755.0000002384186,0,60
45,0.6976,3810.0000002384186,0,235
46,0.7118,3865.0000002384186,0,350
47,0.7091,3920.0000002384186,0,350
48,0.7111,3980.0000002384186,0,350
49,0.7057,4040.0000002384186,0,225
50,0.7216,4105.000000238419,0,350
51,0.7209,4165.000000238419,0,350
52,0.7185,4255.000000238419,0,350
53,0.7239,4315.000000238419,0,350
54,0.7198,4390.000000238419,0,350
55,0.7292,4450.000000238419,0,350
56,0.7243,4550.000000238419,0,350
57,0.729,4610.000000238419,0,350
58,0.728,4665.000000238419,0,350
59,0.7238,4720.000000238419,0,350
60,0.724,4775.000000238419,0,350
61,0.7307,4845.000000238419,0,70
62,0.7308,4905.000000238419,0,145
63,0.7331,5015.000000238419,0,350
64,0.7302,5125.000000238419,0,350
65,0.7286,5185.000000238419,0,350
