round,accuracy,elapsed_time,comm_time,round_time
1,0.1,65.00000095367432,0,65
2,0.1,125.00000095367432,0,100
3,0.1937,195.00000095367432,0,150
4,0.265,255.00000095367432,0,110
5,0.1634,310.0000009536743,0,275
6,0.1337,365.0000009536743,0,350
7,0.2877,415.0000009536743,0,350
8,0.4196,470.0000009536743,0,75
9,0.3891,525.0000009536743,0,110
10,0.2438,580.0000009536743,0,70
11,0.4418,635.0000009536743,0,100
12,0.4978,695.0000009536743,0,85
13,0.5301,755.0000009536743,0,165
14,0.5158,815.0000009536743,0,350
15,0.54,870.0000009536743,0,70
16,0.5702,925.0000009536743,0,60
17,0.5426,980.0000009536743,0,350
18,0.5716,1035.0000009536743,0,60
19,0.5739,1050.0000009536743,0,350
20,0.5952,1095.0000009536743,0,60
21,0.5985,1125.0000009536743,0,75
22,0.6167,1155.0000009536743,0,60
23,0.6179,1200.0000009536743,0,75
24,0.6235,1215.0000009536743,0,60
25,0.6282,1270.0000009536743,0,65
26,0.635,1275.0000009536743,0,75
27,0.6351,1330.0000009536743,0,60
28,0.6432,1385.0000009536743,0,65
29,0.6442,1440.0000009536743,0,120
30,0.6499,1495.0000009536743,0,60
31,0.6525,1550.0000009536743,0,60
32,0.6661,1605.0000009536743,0,70
33,0.6651,1660.0000009536743,0,350
34,0.6732,1715.0000009536743,0,70
35,0.6627,1770.0000009536743,0,350
36,0.6727,1825.0000009536743,0,70
37,0.6773,1860.0000009536743,0,350
38,0.6765,1895.0000009536743,0,70
39,0.6719,1950.0000009536743,0,60
40,0.6777,1965.0000009536743,0,90
41,0.6807,2020.0000009536743,0,60
42,0.6843,2075.0000009536743,0,75
43,0.6836,2130.0000009536743,0,60
44,0.6839,2185.0000009536743,0,70
45,0.682,2240.0000009536743,0,60
46,0.6907,2295.0000009536743,0,70
47,0.6877,2350.0000009536743,0,350
48,0.6862,2405.0000009536743,0,70
49,0.687,2460.0000009536743,0,350
50,0.6871,2515.0000009536743,0,70
51,0.6846,2570.0000009536743,0,60
52,0.6936,2625.0000009536743,0,70
53,0.6947,2680.0000009536743,0,350
54,0.6984,2735.0000009536743,0,70
55,0.6931,2790.0000009536743,0,60
56,0.6998,2845.0000009536743,0,70
57,0.6986,2900.0000009536743,0,350
58,0.7057,2955.0000009536743,0,70
59,0.7026,2990.0000009536743,0,350
60,0.7025,3025.0000009536743,0,70
61,0.7,3080.0000009536743,0,60
62,0.7011,3135.0000009536743,0,90
63,0.701,3190.0000009536743,0,60
64,0.7108,3245.0000009536743,0,240
65,0.6993,3300.0000009536743,0,60
66,0.708,3355.0000009536743,0,350
67,0.7136,3410.0000009536743,0,85
68,0.7066,3465.0000009536743,0,70
69,0.7137,3520.0000009536743,0,85
70,0.7138,3575.0000009536743,0,155
71,0.7145,3605.0000009536743,0,350
72,0.7123,3660.0000009536743,0,70
73,0.7176,3715.0000009536743,0,85
74,0.711,3770.0000009536743,0,75
75,0.7179,3825.0000009536743,0,85
76,0.7135,3880.0000009536743,0,75
77,0.7156,3935.0000009536743,0,350
78,0.7146,3990.0000009536743,0,75
79,0.7196,4045.0000009536743,0,85
80,0.7187,4100.000000953674,0,100
81,0.7123,4155.000000953674,0,350
82,0.7154,4210.000000953674,0,100
83,0.7096,4230.000000953674,0,350
84,0.5622,4285.000000953674,0,65
85,0.7153,4340.000000953674,0,95
86,0.7191,4400.000000953674,0,85
87,0.7181,4475.000000953674,0,75
88,0.7169,4550.000000953674,0,85
89,0.7165,4610.000000953674,0,350
90,0.7183,4665.000000953674,0,350
91,0.7264,4720.000000953674,0,350
92,0.7178,4750.000000953674,0,350
93,0.7264,4805.000000953674,0,60
94,0.7276,4835.000000953674,0,95
95,0.7243,4890.000000953674,0,60
96,0.7276,4945.000000953674,0,85
97,0.7294,5000.000000953674,0,65
98,0.7254,5055.000000953674,0,85
99,0.7273,5110.000000953674,0,70
100,0.7252,5155.000000953674,0,350
101,0.7263,5170.000000953674,0,60
102,0.7248,5225.000000953674,0,70
103,0.7248,5275.000000953674,0,105
104,0.719,5295.000000953674,0,70
105,0.7277,5350.000000953674,0,65
106,0.7219,5405.000000953674,0,105
107,0.7333,5460.000000953674,0,100
108,0.7259,5515.000000953674,0,150
109,0.7229,5570.000000953674,0,65
110,0.722,5580.000000953674,0,275
111,0.7306,5635.000000953674,0,65
112,0.7311,5650.000000953674,0,70
113,0.7344,5705.000000953674,0,65
114,0.7318,5760.000000953674,0,100
115,0.737,5815.000000953674,0,65
116,0.7379,5870.000000953674,0,165
117,0.7337,5925.000000953674,0,155
118,0.7242,5980.000000953674,0,75
119,0.7317,6035.000000953674,0,350
120,0.7277,6090.000000953674,0,350
121,0.7306,6145.000000953674,0,110
122,0.7258,6165.000000953674,0,350
123,0.7348,6220.000000953674,0,65
124,0.7418,6275.000000953674,0,110
125,0.735,6330.000000953674,0,60
126,0.7388,6385.000000953674,0,140
127,0.7401,6440.000000953674,0,150
128,0.7393,6495.000000953674,0,95
129,0.7365,6515.000000953674,0,350
130,0.733,6570.000000953674,0,75
131,0.7415,6625.000000953674,0,95
132,0.7282,6680.000000953674,0,75
133,0.7391,6735.000000953674,0,195
