round,accuracy,elapsed_time,comm_time,round_time
1,0.1,95.00000071525574,0,95
2,0.1,210.00000071525574,0,195
3,0.1,350.00000071525574,0,350
4,0.1,450.00000071525574,0,350
5,0.1018,560.0000007152557,0,350
6,0.2396,700.0000007152557,0,350
7,0.2506,795.0000007152557,0,350
8,0.2651,910.0000007152557,0,350
9,0.3351,1045.0000007152557,0,350
10,0.3224,1145.0000007152557,0,350
11,0.3471,1260.0000007152557,0,350
12,0.3773,1395.0000007152557,0,350
13,0.3762,1535.0000007152557,0,350
14,0.4162,1660.0000007152557,0,350
15,0.4154,1765.0000007152557,0,350
16,0.4246,2010.0000007152557,0,350
17,0.4254,2090.0000007152557,0,350
18,0.444,2205.0000007152557,0,350
19,0.4519,2360.0000007152557,0,350
20,0.4665,2440.0000007152557,0,350
21,0.4717,2585.0000007152557,0,350
22,0.4805,2710.0000007152557,0,350
23,0.4891,2790.0000007152557,0,350
24,0.4888,2935.0000007152557,0,350
25,0.5141,3140.0000007152557,0,350
26,0.522,3210.0000007152557,0,350
27,0.5287,3285.0000007152557,0,350
28,0.5446,3490.0000007152557,0,350
29,0.5517,3635.0000007152557,0,350
30,0.5609,3710.0000007152557,0,350
31,0.567,3865.0000007152557,0,350
32,0.5796,4030.0000007152557,0,350
33,0.5836,4105.000000715256,0,350
34,0.5918,4215.000000715256,0,350
35,0.5993,4380.000000715256,0,350
36,0.595,4455.000000715256,0,350
37,0.6055,4595.000000715256,0,350
38,0.6115,4690.000000715256,0,310
39,0.6153,4805.000000715256,0,350
40,0.6379,4945.000000715256,0,350
41,0.6351,5040.000000715256,0,350
42,0.6326,5155.000000715256,0,350
43,0.6291,5315.000000715256,0,350
44,0.6436,5390.000000715256,0,350
45,0.656,5505.000000715256,0,350
46,0.6489,5700.000000715256,0,350
47,0.6573,5855.000000715256,0,350
48,0.6606,6050.000000715256,0,350
49,0.6604,6170.000000715256,0,350
50,0.6678,6250.000000715256,0,350
51,0.6679,6400.000000715256,0,350
52,0.6718,6585.000000715256,0,350
53,0.6747,6750.000000715256,0,350
54,0.6827,6865.000000715256,0,350
55,0.6731,6935.000000715256,0,350
56,0.6834,7100.000000715256,0,350
57,0.6827,7220.000000715256,0,350
58,0.6882,7395.000000715256,0,350
59,0.6915,7480.000000715256,0,350
60,0.6922,7645.000000715256,0,350
61,0.6948,7775.000000715256,0,350
62,0.6947,7840.000000715256,0,350
63,0.7001,8095.000000715256,0,350
64,0.6975,8190.000000715256,0,350
65,0.7028,8270.000000715256,0,350
66,0.7023,8490.000000715256,0,350
67,0.7008,8620.000000715256,0,350
68,0.7057,8690.000000715256,0,350
69,0.7071,8840.000000715256,0,350
70,0.7059,8970.000000715256,0,350
71,0.6978,9045.000000715256,0,350
72,0.7071,9190.000000715256,0,350
73,0.7072,9305.000000715256,0,350
