round,accuracy,elapsed_time,comm_time,round_time
1,0.11,90.00000095367432,0,90
2,0.1001,315.0000009536743,0,295
3,0.1,385.0000009536743,0,350
4,0.1288,540.0000009536743,0,350
5,0.33,735.0000009536743,0,350
6,0.2375,800.0000009536743,0,350
7,0.359,890.0000009536743,0,350
8,0.389,950.0000009536743,0,350
9,0.4264,1010.0000009536743,0,195
10,0.4363,1085.0000009536743,0,350
11,0.4368,1150.0000009536743,0,350
12,0.468,1235.0000009536743,0,350
13,0.5078,1305.0000009536743,0,350
14,0.524,1365.0000009536743,0,350
15,0.552,1435.0000009536743,0,350
16,0.5461,1500.0000009536743,0,350
17,0.5657,1575.0000009536743,0,350
18,0.5943,1650.0000009536743,0,350
19,0.5966,1715.0000009536743,0,350
20,0.6213,1780.0000009536743,0,350
21,0.6202,1840.0000009536743,0,350
22,0.6259,1925.0000009536743,0,350
23,0.6372,1985.0000009536743,0,350
24,0.6447,2065.0000009536743,0,350
25,0.6541,2125.0000009536743,0,350
26,0.6525,2185.0000009536743,0,350
27,0.6533,2245.0000009536743,0,350
28,0.663,2300.0000009536743,0,350
29,0.668,2380.0000009536743,0,350
30,0.6742,2500.0000009536743,0,350
31,0.6725,2595.0000009536743,0,350
32,0.6664,2650.0000009536743,0,350
33,0.6845,2710.0000009536743,0,280
34,0.6842,2770.0000009536743,0,350
35,0.6958,2830.0000009536743,0,290
36,0.6945,2945.0000009536743,0,350
37,0.6956,3000.0000009536743,0,350
38,0.6965,3060.0000009536743,0,350
39,0.6976,3130.0000009536743,0,350
40,0.7023,3190.0000009536743,0,350
41,0.7038,3250.0000009536743,0,255
42,0.7038,3310.0000009536743,0,350
43,0.7106,3365.0000009536743,0,350
44,0.7043,3420.0000009536743,0,350
45,0.7089,3475.0000009536743,0,240
46,0.7123,3530.0000009536743,0,350
47,0.7095,3585.0000009536743,0,350
48,0.7071,3640.0000009536743,0,350
49,0.7124,3695.0000009536743,0,230
50,0.7159,3750.0000009536743,0,350
51,0.7144,3805.0000009536743,0,350
52,0.7171,3860.0000009536743,0,110
53,0.7191,3920.0000009536743,0,350
54,0.7196,3980.0000009536743,0,350
55,0.7175,4040.0000009536743,0,195
56,0.7222,4100.000000953674,0,350
57,0.7234,4160.000000953674,0,350
58,0.7236,4215.000000953674,0,350
59,0.7264,4275.000000953674,0,350
60,0.7259,4330.000000953674,0,350
61,0.7269,4385.000000953674,0,350
62,0.7264,4440.000000953674,0,350
63,0.7244,4495.000000953674,0,95
64,0.7293,4550.000000953674,0,350
65,0.732,4605.000000953674,0,105
66,0.7295,4660.000000953674,0,350
67,0.7348,4715.000000953674,0,105
68,0.7339,4770.000000953674,0,120
69,0.7309,4830.000000953674,0,350
70,0.7297,4890.000000953674,0,280
71,0.7353,4965.000000953674,0,350
72,0.7328,5040.000000953674,0,350
73,0.732,5105.000000953674,0,350
74,0.7361,5165.000000953674,0,350
75,0.7343,5225.000000953674,0,350
76,0.7355,5285.000000953674,0,350
77,0.7366,5340.000000953674,0,350
78,0.7367,5400.000000953674,0,350
79,0.7376,5460.000000953674,0,350
80,0.7379,5570.000000953674,0,350
81,0.7354,5650.000000953674,0,350
82,0.7345,5725.000000953674,0,350
83,0.7405,5810.000000953674,0,350
84,0.7377,5875.000000953674,0,350
85,0.7415,5940.000000953674,0,350
86,0.7415,6005.000000953674,0,350
87,0.7389,6075.000000953674,0,350
88,0.7385,6140.000000953674,0,350
89,0.7377,6225.000000953674,0,350
90,0.7414,6290.000000953674,0,350
91,0.7426,6355.000000953674,0,350
92,0.7433,6425.000000953674,0,350
93,0.7428,6490.000000953674,0,350
94,0.7436,6575.000000953674,0,350
95,0.7465,6640.000000953674,0,350
96,0.7441,6710.000000953674,0,350
97,0.7442,6815.000000953674,0,350
98,0.7455,6885.000000953674,0,350
99,0.7482,6945.000000953674,0,350
100,0.7473,7005.000000953674,0,350
101,0.7474,7065.000000953674,0,350
102,0.7473,7125.000000953674,0,95
103,0.7472,7190.000000953674,0,350
104,0.7498,7250.000000953674,0,350
105,0.7516,7320.000000953674,0,350
106,0.7497,7400.000000953674,0,350
107,0.7471,7475.000000953674,0,350
108,0.7478,7560.000000953674,0,350
109,0.7505,7620.000000953674,0,350
110,0.7477,7685.000000953674,0,350
111,0.75,7750.000000953674,0,350
112,0.7502,7815.000000953674,0,350
113,0.75,7885.000000953674,0,350
114,0.7526,7970.000000953674,0,350
115,0.7526,8035.000000953674,0,350
116,0.7532,8100.000000953674,0,350
117,0.7518,8165.000000953674,0,350
118,0.7522,8230.000000953674,0,350
119,0.7559,8290.000000953674,0,350
120,0.7557,8360.000000953674,0,160
121,0.7556,8425.000000953674,0,350
122,0.7558,8505.000000953674,0,350
123,0.755,8590.000000953674,0,350
124,0.7538,8685.000000953674,0,350
125,0.7553,8765.000000953674,0,350
126,0.7589,8845.000000953674,0,350
127,0.7556,8915.000000953674,0,350
128,0.7562,8975.000000953674,0,350
129,0.7532,9035.000000953674,0,350
130,0.7553,9110.000000953674,0,195
131,0.7569,9190.000000953674,0,350
132,0.7586,9265.000000953674,0,350
133,0.7582,9330.000000953674,0,350
134,0.758,9415.000000953674,0,350
135,0.7576,9495.000000953674,0,350
136,0.7573,9565.000000953674,0,350
137,0.758,9625.000000953674,0,350
138,0.7595,9685.000000953674,0,350
139,0.7581,9755.000000953674,0,160
140,0.7627,9820.000000953674,0,350
141,0.7575,9880.000000953674,0,350
142,0.7597,9935.000000953674,0,350
143,0.7609,9995.000000953674,0,350
144,0.7582,10075.000000953674,0,350
