round,accuracy,elapsed_time,comm_time,round_time
1,0.1,95.00000071525574,0,95
2,0.1,285.00000071525574,0,285
3,0.1,355.00000071525574,0,350
4,0.1,445.00000071525574,0,350
5,0.1,635.0000007152557,0,350
6,0.1,715.0000007152557,0,350
7,0.2187,910.0000007152557,0,350
8,0.2953,990.0000007152557,0,350
9,0.3173,1065.0000007152557,0,350
10,0.3266,1320.0000007152557,0,350
11,0.3491,1415.0000007152557,0,350
12,0.379,1510.0000007152557,0,350
13,0.3905,1670.0000007152557,0,350
14,0.4073,1765.0000007152557,0,350
15,0.4269,1935.0000007152557,0,350
16,0.4468,2060.0000007152557,0,350
17,0.4535,2165.0000007152557,0,350
18,0.4814,2285.0000007152557,0,350
19,0.4815,2415.0000007152557,0,350
20,0.5111,2515.0000007152557,0,350
21,0.502,2635.0000007152557,0,350
22,0.5168,2765.0000007152557,0,350
23,0.5398,2915.0000007152557,0,350
24,0.5521,3070.0000007152557,0,350
25,0.552,3135.0000007152557,0,350
26,0.578,3265.0000007152557,0,350
27,0.5844,3420.0000007152557,0,350
28,0.5919,3555.0000007152557,0,350
29,0.5981,3770.0000007152557,0,350
30,0.6082,3835.0000007152557,0,350
31,0.6116,3905.0000007152557,0,350
32,0.6254,4120.000000715256,0,350
33,0.6308,4255.000000715256,0,350
34,0.6395,4410.000000715256,0,350
35,0.6435,4605.000000715256,0,350
36,0.652,4685.000000715256,0,350
37,0.6573,4795.000000715256,0,350
38,0.6552,4955.000000715256,0,350
39,0.667,5035.000000715256,0,350
40,0.6705,5145.000000715256,0,350
41,0.6713,5305.000000715256,0,350
42,0.6722,5385.000000715256,0,350
43,0.6784,5495.000000715256,0,350
44,0.684,5655.000000715256,0,350
45,0.6866,5735.000000715256,0,350
46,0.687,5845.000000715256,0,350
47,0.6899,6005.000000715256,0,350
48,0.6934,6090.000000715256,0,350
49,0.699,6195.000000715256,0,350
50,0.6964,6355.000000715256,0,350
51,0.6964,6500.000000715256,0,350
52,0.6999,6620.000000715256,0,350
53,0.7034,6850.000000715256,0,350
54,0.7088,6970.000000715256,0,350
55,0.7119,7185.000000715256,0,350
56,0.7053,7320.000000715256,0,350
57,0.7117,7470.000000715256,0,350
58,0.7139,7555.000000715256,0,350
59,0.7193,7670.000000715256,0,350
60,0.719,7820.000000715256,0,350
61,0.7134,7905.000000715256,0,350
62,0.7209,8020.000000715256,0,350
63,0.7195,8170.000000715256,0,350
64,0.719,8255.000000715256,0,350
65,0.723,8370.000000715256,0,350
66,0.7251,8540.000000715256,0,350
67,0.7256,8720.000000715256,0,350
68,0.7278,8835.000000715256,0,350
69,0.7336,8920.000000715256,0,350
70,0.7291,9070.000000715256,0,350
71,0.7296,9270.000000715256,0,350
72,0.7335,9345.000000715256,0,350
73,0.7341,9425.000000715256,0,350
74,0.7359,9620.000000715256,0,350
75,0.7338,9770.000000715256,0,350
76,0.7378,9970.000000715256,0,350
77,0.7382,10115.000000715256,0,350
78,0.7372,10240.000000715256,0,350
79,0.7385,10345.000000715256,0,350
80,0.7409,10465.000000715256,0,350
81,0.7385,10590.000000715256,0,350
82,0.7454,10795.000000715256,0,350
83,0.7425,10905.000000715256,0,350
84,0.7413,10990.000000715256,0,350
85,0.7444,11145.000000715256,0,350
86,0.7464,11290.000000715256,0,350
87,0.7465,11440.000000715256,0,350
