round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000071525574,0,115
2,0.1,350.00000071525574,0,350
3,0.1,410.00000071525574,0,350
4,0.1,540.0000007152557,0,350
5,0.1202,700.0000007152557,0,350
6,0.1129,760.0000007152557,0,350
7,0.1952,820.0000007152557,0,240
8,0.2928,965.0000007152557,0,350
9,0.2846,1110.0000007152557,0,350
10,0.3038,1170.0000007152557,0,350
11,0.3747,1315.0000007152557,0,350
12,0.3786,1460.0000007152557,0,350
13,0.3721,1520.0000007152557,0,350
14,0.3626,1665.0000007152557,0,350
15,0.4177,1810.0000007152557,0,350
16,0.3929,1875.0000007152557,0,350
17,0.4315,2015.0000007152557,0,350
18,0.4577,2225.0000007152557,0,350
19,0.4205,2365.0000007152557,0,350
20,0.46,2420.0000007152557,0,350
21,0.4781,2495.0000007152557,0,110
22,0.4799,2610.0000007152557,0,350
23,0.489,2715.0000007152557,0,350
24,0.5134,2795.0000007152557,0,350
25,0.5222,2885.0000007152557,0,350
26,0.5296,3050.0000007152557,0,350
27,0.5211,3145.0000007152557,0,350
28,0.5574,3235.0000007152557,0,350
29,0.5724,3495.0000007152557,0,350
30,0.5567,3555.0000007152557,0,350
31,0.576,3610.0000007152557,0,350
32,0.5757,3845.0000007152557,0,350
33,0.5884,3905.0000007152557,0,350
34,0.5733,3960.0000007152557,0,350
35,0.5978,4015.0000007152557,0,350
36,0.6044,4165.000000715256,0,155
37,0.5971,4310.000000715256,0,350
38,0.6175,4370.000000715256,0,350
39,0.629,4515.000000715256,0,350
40,0.635,4720.000000715256,0,350
41,0.6417,4780.000000715256,0,350
42,0.636,4865.000000715256,0,350
43,0.6401,5070.000000715256,0,350
44,0.6454,5185.000000715256,0,350
45,0.6526,5245.000000715256,0,350
46,0.6579,5345.000000715256,0,150
47,0.6551,5425.000000715256,0,350
48,0.6596,5545.000000715256,0,350
49,0.66,5695.000000715256,0,350
50,0.6702,5760.000000715256,0,350
51,0.6615,5895.000000715256,0,350
52,0.664,5975.000000715256,0,350
53,0.6659,6110.000000715256,0,350
54,0.6748,6210.000000715256,0,350
55,0.6813,6300.000000715256,0,350
56,0.6789,6385.000000715256,0,350
57,0.6745,6560.000000715256,0,350
58,0.6803,6710.000000715256,0,350
59,0.6867,6910.000000715256,0,350
60,0.6823,7060.000000715256,0,350
61,0.694,7135.000000715256,0,350
62,0.6932,7260.000000715256,0,350
63,0.6917,7380.000000715256,0,350
64,0.692,7440.000000715256,0,350
65,0.7012,7610.000000715256,0,350
66,0.6869,7730.000000715256,0,350
67,0.7006,7790.000000715256,0,350
68,0.7051,7880.000000715256,0,350
69,0.6986,7960.000000715256,0,350
70,0.7047,8140.000000715256,0,350
71,0.6973,8230.000000715256,0,350
72,0.7054,8490.000000715256,0,350
73,0.6933,8550.000000715256,0,350
74,0.7073,8605.000000715256,0,350
75,0.7056,8750.000000715256,0,195
76,0.7094,8900.000000715256,0,350
77,0.7076,8965.000000715256,0,350
78,0.709,9050.000000715256,0,150
79,0.7161,9250.000000715256,0,350
80,0.7203,9365.000000715256,0,350
81,0.7141,9425.000000715256,0,350
82,0.719,9515.000000715256,0,145
83,0.7129,9595.000000715256,0,285
84,0.7182,9715.000000715256,0,350
85,0.7221,9790.000000715256,0,350
86,0.7301,9865.000000715256,0,350
87,0.7189,10065.000000715256,0,350
88,0.7284,10215.000000715256,0,350
89,0.7321,10270.000000715256,0,350
90,0.7235,10415.000000715256,0,350
91,0.7281,10500.000000715256,0,350
92,0.732,10620.000000715256,0,350
93,0.7244,10765.000000715256,0,350
94,0.7321,10840.000000715256,0,350
95,0.7159,10970.000000715256,0,350
96,0.7362,11115.000000715256,0,350
97,0.7354,11190.000000715256,0,350
98,0.7306,11320.000000715256,0,350
99,0.7312,11540.000000715256,0,350
100,0.7336,11670.000000715256,0,350
101,0.7351,11725.000000715256,0,350
102,0.7345,11870.000000715256,0,155
103,0.7359,11930.000000715256,0,350
104,0.7223,12075.000000715256,0,350
105,0.7366,12135.000000715256,0,350
106,0.7296,12255.000000715256,0,350
107,0.7362,12325.000000715256,0,350
108,0.74,12475.000000715256,0,350
109,0.7365,12535.000000715256,0,350
110,0.7406,12605.000000715256,0,350
111,0.7367,12690.000000715256,0,350
112,0.7452,12885.000000715256,0,350
113,0.7473,12955.000000715256,0,350
114,0.7383,13040.000000715256,0,350
115,0.7384,13115.000000715256,0,350
116,0.7311,13235.000000715256,0,350
117,0.7374,13305.000000715256,0,350
118,0.5467,13455.000000715256,0,350
119,0.7379,13585.000000715256,0,350
120,0.7374,13655.000000715256,0,350
121,0.738,13715.000000715256,0,350
122,0.7448,13830.000000715256,0,350
123,0.7433,13935.000000715256,0,350
124,0.7477,14035.000000715256,0,350
