round,accuracy,elapsed_time,comm_time,round_time
1,0.1,65.00000047683716,0,65
2,0.1001,125.00000047683716,0,100
3,0.115,220.00000047683716,0,150
4,0.2106,280.00000047683716,0,275
5,0.2576,350.00000047683716,0,350
6,0.2404,405.00000047683716,0,350
7,0.4095,460.00000047683716,0,65
8,0.3899,515.0000004768372,0,350
9,0.4436,575.0000004768372,0,65
10,0.4697,630.0000004768372,0,100
11,0.49,685.0000004768372,0,65
12,0.5019,740.0000004768372,0,100
13,0.5014,795.0000004768372,0,350
14,0.5277,840.0000004768372,0,350
15,0.5371,880.0000004768372,0,85
16,0.5571,935.0000004768372,0,85
17,0.5665,990.0000004768372,0,100
18,0.5761,1045.0000004768372,0,85
19,0.5792,1100.0000004768372,0,225
20,0.5902,1155.0000004768372,0,85
21,0.6045,1210.0000004768372,0,85
22,0.6079,1265.0000004768372,0,85
23,0.6177,1320.0000004768372,0,85
24,0.6137,1375.0000004768372,0,350
25,0.626,1430.0000004768372,0,85
26,0.6184,1485.0000004768372,0,350
27,0.6351,1540.0000004768372,0,85
28,0.6349,1595.0000004768372,0,85
29,0.6432,1650.0000004768372,0,85
30,0.6415,1705.0000004768372,0,85
31,0.6509,1735.0000004768372,0,350
32,0.6487,1790.0000004768372,0,85
33,0.6521,1845.0000004768372,0,85
34,0.6549,1900.0000004768372,0,85
35,0.6638,1955.0000004768372,0,85
36,0.6593,2015.0000004768372,0,85
37,0.6649,2075.000000476837,0,85
38,0.6704,2130.000000476837,0,350
39,0.6742,2185.000000476837,0,70
40,0.6639,2240.000000476837,0,350
41,0.6746,2295.000000476837,0,350
42,0.6714,2325.000000476837,0,350
43,0.6738,2365.000000476837,0,70
44,0.6708,2420.000000476837,0,85
45,0.6777,2475.000000476837,0,70
46,0.6775,2505.000000476837,0,150
47,0.6748,2545.000000476837,0,70
48,0.6771,2590.000000476837,0,85
49,0.6799,2645.000000476837,0,70
50,0.6788,2700.000000476837,0,85
51,0.6797,2755.000000476837,0,70
52,0.6836,2810.000000476837,0,85
53,0.6893,2865.000000476837,0,70
54,0.6881,2920.000000476837,0,350
55,0.6843,2975.000000476837,0,70
56,0.687,3030.000000476837,0,85
57,0.6877,3085.000000476837,0,70
58,0.6884,3115.000000476837,0,350
59,0.6958,3170.000000476837,0,70
60,0.6866,3225.000000476837,0,110
61,0.6931,3280.000000476837,0,70
62,0.6947,3335.000000476837,0,85
63,0.7049,3390.000000476837,0,75
64,0.698,3445.000000476837,0,350
65,0.7002,3500.000000476837,0,65
66,0.7001,3530.000000476837,0,350
67,0.7044,3565.000000476837,0,65
68,0.7019,3615.000000476837,0,85
69,0.7005,3630.000000476837,0,65
70,0.7033,3685.000000476837,0,65
71,0.7057,3700.000000476837,0,85
72,0.7097,3755.000000476837,0,65
73,0.7088,3810.000000476837,0,95
74,0.7134,3865.000000476837,0,65
75,0.7065,3920.000000476837,0,70
76,0.7119,3975.000000476837,0,65
77,0.7095,4030.000000476837,0,300
78,0.7148,4085.000000476837,0,350
79,0.7125,4140.000000476837,0,95
80,0.7138,4195.000000476837,0,350
81,0.7154,4250.000000476837,0,95
82,0.7131,4305.000000476837,0,60
83,0.7175,4360.000000476837,0,95
84,0.7144,4415.000000476837,0,350
85,0.7105,4470.000000476837,0,85
86,0.7179,4530.000000476837,0,350
87,0.718,4585.000000476837,0,350
88,0.7189,4640.000000476837,0,350
89,0.7221,4695.000000476837,0,350
90,0.7281,4760.000000476837,0,75
91,0.7211,4820.000000476837,0,350
92,0.7203,4880.000000476837,0,350
93,0.7207,4935.000000476837,0,350
94,0.7243,4990.000000476837,0,350
95,0.7208,5045.000000476837,0,350
96,0.7269,5100.000000476837,0,90
97,0.7247,5155.000000476837,0,350
98,0.7268,5210.000000476837,0,350
99,0.7279,5265.000000476837,0,110
100,0.728,5320.000000476837,0,350
101,0.7232,5375.000000476837,0,350
102,0.7241,5420.000000476837,0,155
103,0.7274,5475.000000476837,0,70
104,0.727,5510.000000476837,0,110
105,0.7292,5565.000000476837,0,70
106,0.7281,5620.000000476837,0,90
107,0.7329,5675.000000476837,0,80
108,0.7329,5730.000000476837,0,90
109,0.7271,5785.000000476837,0,80
110,0.7341,5840.000000476837,0,350
111,0.7306,5895.000000476837,0,80
112,0.7324,5950.000000476837,0,150
113,0.7392,6005.000000476837,0,175
114,0.7324,6060.000000476837,0,90
115,0.7338,6115.000000476837,0,350
116,0.7373,6170.000000476837,0,90
117,0.7338,6225.000000476837,0,65
118,0.7325,6280.000000476837,0,350
119,0.7355,6335.000000476837,0,350
120,0.7318,6390.000000476837,0,340
121,0.7384,6445.000000476837,0,80
122,0.7312,6500.000000476837,0,90
123,0.7394,6555.000000476837,0,80
124,0.7281,6610.000000476837,0,90
125,0.7336,6635.000000476837,0,350
126,0.734,6690.000000476837,0,75
127,0.7368,6745.000000476837,0,90
128,0.7377,6800.000000476837,0,70
129,0.7346,6860.000000476837,0,90
130,0.7399,6915.000000476837,0,175
131,0.7379,6975.000000476837,0,285
132,0.7385,7035.000000476837,0,350
133,0.744,7095.000000476837,0,350
134,0.7386,7150.000000476837,0,110
135,0.7436,7205.000000476837,0,350
136,0.7421,7260.000000476837,0,350
137,0.7372,7315.000000476837,0,350
138,0.7383,7375.000000476837,0,110
139,0.7393,7430.000000476837,0,85
140,0.7412,7490.000000476837,0,350
141,0.7386,7545.000000476837,0,350
142,0.7421,7600.000000476837,0,65
143,0.7408,7655.000000476837,0,110
144,0.746,7710.000000476837,0,95
145,0.7465,7765.000000476837,0,350
146,0.7456,7820.000000476837,0,95
147,0.7453,7885.000000476837,0,110
148,0.7419,7950.000000476837,0,350
149,0.7402,8005.000000476837,0,350
150,0.7426,8060.000000476837,0,275
