round,accuracy,elapsed_time,comm_time,round_time
1,0.1,65.00000047683716,0,65
2,0.1,125.00000047683716,0,100
3,0.1638,195.00000047683716,0,150
4,0.3666,255.00000047683716,0,110
5,0.2267,315.00000047683716,0,275
6,0.1428,370.00000047683716,0,350
7,0.4311,425.00000047683716,0,110
8,0.402,480.00000047683716,0,350
9,0.4769,535.0000004768372,0,120
10,0.4658,590.0000004768372,0,105
11,0.5202,645.0000004768372,0,110
12,0.5088,700.0000004768372,0,105
13,0.5522,755.0000004768372,0,350
14,0.5477,810.0000004768372,0,105
15,0.5726,865.0000004768372,0,110
16,0.5463,915.0000004768372,0,350
17,0.5835,970.0000004768372,0,100
18,0.5911,1025.0000004768372,0,110
19,0.6001,1080.0000004768372,0,100
20,0.6057,1135.0000004768372,0,105
21,0.6171,1190.0000004768372,0,100
22,0.6177,1240.0000004768372,0,350
23,0.6211,1290.0000004768372,0,100
24,0.6297,1345.0000004768372,0,70
25,0.6284,1400.0000004768372,0,105
26,0.6319,1455.0000004768372,0,70
27,0.6414,1510.0000004768372,0,235
28,0.6458,1565.0000004768372,0,70
29,0.6511,1620.0000004768372,0,100
30,0.6491,1675.0000004768372,0,70
31,0.6551,1720.0000004768372,0,350
32,0.6612,1745.0000004768372,0,70
33,0.6669,1800.0000004768372,0,75
34,0.6662,1820.0000004768372,0,100
35,0.6684,1875.0000004768372,0,70
36,0.66,1930.0000004768372,0,75
37,0.6726,1985.0000004768372,0,70
38,0.6728,2040.0000004768372,0,70
39,0.6674,2095.000000476837,0,70
40,0.6781,2150.000000476837,0,70
41,0.6781,2205.000000476837,0,350
42,0.686,2260.000000476837,0,70
43,0.6861,2280.000000476837,0,350
44,0.6842,2330.000000476837,0,70
45,0.679,2350.000000476837,0,70
46,0.6846,2400.000000476837,0,70
47,0.6956,2420.000000476837,0,70
48,0.6916,2470.000000476837,0,70
49,0.6965,2525.000000476837,0,70
50,0.6946,2550.000000476837,0,130
51,0.6931,2605.000000476837,0,70
52,0.6957,2660.000000476837,0,70
53,0.7017,2715.000000476837,0,70
54,0.7014,2770.000000476837,0,70
55,0.698,2825.000000476837,0,70
56,0.6925,2875.000000476837,0,350
57,0.7051,2930.000000476837,0,70
58,0.6946,2985.000000476837,0,70
59,0.7047,3040.000000476837,0,70
60,0.7014,3095.000000476837,0,70
61,0.7017,3150.000000476837,0,75
62,0.7063,3175.000000476837,0,350
63,0.7007,3225.000000476837,0,75
64,0.6926,3245.000000476837,0,70
65,0.707,3300.000000476837,0,70
66,0.6992,3355.000000476837,0,75
67,0.7115,3410.000000476837,0,70
68,0.6972,3465.000000476837,0,70
69,0.7107,3520.000000476837,0,70
70,0.7067,3575.000000476837,0,70
71,0.7093,3630.000000476837,0,350
72,0.7078,3685.000000476837,0,70
73,0.7146,3740.000000476837,0,70
74,0.7134,3795.000000476837,0,350
75,0.7053,3850.000000476837,0,70
76,0.7105,3905.000000476837,0,70
