Elapsed time (s),Accuracy (%),Method
66.0,10.034499975323678,Polaris
86.0,10.724499975323678,Polaris
106.0,11.414499975323677,Polaris
126.0,12.112285684040614,Polaris
146.0,12.9579999697549,Polaris
166.0,13.803714255469185,Polaris
186.0,14.64942854118347,Polaris
206.0,18.89833308180174,Polaris
226.0,25.931666415135073,Polaris
246.0,32.96499974846841,Polaris
266.0,33.50650017058849,Polaris
286.0,28.736500170588492,Polaris
306.0,23.966500170588493,Polaris
326.0,21.14600004382567,Polaris
346.0,19.920545498371123,Polaris
366.0,18.695090952916576,Polaris
386.0,26.054363296422117,Polaris
406.0,35.559817841876665,Polaris
426.0,44.527272772138765,Polaris
446.0,43.272727317593315,Polaris
466.0,42.01818186304786,Polaris
486.0,41.901454454682096,Polaris
506.0,44.439636272863915,Polaris
526.0,46.977818091045734,Polaris
546.0,48.279999989596284,Polaris
566.0,48.57090908050537,Polaris
586.0,48.86181817141446,Polaris
606.0,49.80727268760855,Polaris
626.0,50.916363596699455,Polaris
646.0,52.009999971389774,Polaris
666.0,52.80999997138978,Polaris
686.0,53.60999997138977,Polaris
706.0,53.860181855115016,Polaris
726.0,52.827454582387745,Polaris
746.0,51.79472730966047,Polaris
766.0,52.31999993562698,Polaris
786.0,54.119999935626986,Polaris
806.0,55.91999993562698,Polaris
826.0,56.51800001378493,Polaris
846.0,56.132545468330385,Polaris
866.0,55.74709092287583,Polaris
886.0,56.4030908763192,Polaris
906.0,57.31945451268283,Polaris
926.0,58.19436363324252,Polaris
946.0,58.28163636051524,Polaris
966.0,58.368909087787976,Polaris
986.0,58.569636346990414,Polaris
1006.0,59.03509089244496,Polaris
1026.0,59.50054543789951,Polaris
1046.0,59.60000000715255,Polaris
1066.0,59.400000007152556,Polaris
1086.0,59.20000000715255,Polaris
1106.0,59.32599998595498,Polaris
1126.0,59.71872725868226,Polaris
1146.0,60.11145453140953,Polaris
1166.0,60.44599998855591,Polaris
1186.0,60.76599998855592,Polaris
1206.0,61.08599998855592,Polaris
1226.0,61.0976363659772,Polaris
1246.0,61.03218182052266,Polaris
1266.0,60.97683332844576,Polaris
1286.0,61.11349999511242,Polaris
1306.0,61.25016666177909,Polaris
1326.0,61.37436364039508,Polaris
1346.0,61.261636367667805,Polaris
1366.0,61.14890909494053,Polaris
1386.0,61.088545452334664,Polaris
