round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000095367432,0,115
2,0.1,350.0000009536743,0,350
3,0.1,405.0000009536743,0,350
4,0.1,470.0000009536743,0,350
5,0.139,625.0000009536743,0,165
6,0.1,790.0000009536743,0,350
7,0.3017,975.0000009536743,0,350
8,0.3328,1045.0000009536743,0,350
9,0.3364,1155.0000009536743,0,350
10,0.3599,1325.0000009536743,0,350
11,0.3831,1395.0000009536743,0,350
12,0.4034,1505.0000009536743,0,350
13,0.4257,1675.0000009536743,0,350
14,0.4371,1745.0000009536743,0,350
15,0.4492,1825.0000009536743,0,350
16,0.4634,1900.0000009536743,0,350
17,0.473,2095.0000009536743,0,350
18,0.486,2250.0000009536743,0,350
19,0.4997,2320.0000009536743,0,350
20,0.5113,2435.0000009536743,0,340
21,0.5168,2515.0000009536743,0,350
22,0.5333,2670.0000009536743,0,350
23,0.5411,2785.0000009536743,0,350
24,0.5477,2865.0000009536743,0,350
25,0.5711,3020.0000009536743,0,350
26,0.3119,3135.0000009536743,0,350
27,0.5651,3215.0000009536743,0,350
28,0.5656,3370.0000009536743,0,350
29,0.5807,3425.0000009536743,0,350
30,0.5921,3485.0000009536743,0,350
31,0.5881,3740.0000009536743,0,350
32,0.5948,3835.0000009536743,0,350
33,0.5969,3895.0000009536743,0,350
34,0.5938,4090.0000009536743,0,350
35,0.5943,4185.000000953674,0,350
36,0.6024,4260.000000953674,0,350
37,0.6159,4440.000000953674,0,350
38,0.6151,4600.000000953674,0,350
39,0.6196,4710.000000953674,0,350
40,0.6189,4790.000000953674,0,350
41,0.6205,4950.000000953674,0,350
42,0.6223,5105.000000953674,0,350
43,0.6236,5235.000000953674,0,350
44,0.6306,5310.000000953674,0,350
45,0.6356,5455.000000953674,0,350
46,0.6339,5585.000000953674,0,350
47,0.6317,5655.000000953674,0,350
48,0.6344,5805.000000953674,0,350
49,0.6357,6005.000000953674,0,350
50,0.6362,6065.000000953674,0,350
51,0.6384,6155.000000953674,0,350
52,0.6442,6355.000000953674,0,350
53,0.644,6415.000000953674,0,350
54,0.6484,6505.000000953674,0,350
55,0.6433,6640.000000953674,0,350
56,0.6435,6725.000000953674,0,350
57,0.6464,6855.000000953674,0,350
58,0.6504,6915.000000953674,0,350
59,0.6482,7065.000000953674,0,350
60,0.658,7205.000000953674,0,350
61,0.656,7295.000000953674,0,350
62,0.6588,7555.000000953674,0,350
63,0.6545,7645.000000953674,0,350
64,0.6492,7905.000000953674,0,350
65,0.6562,7995.000000953674,0,350
66,0.6554,8115.000000953674,0,350
67,0.6547,8255.000000953674,0,350
68,0.6537,8400.000000953674,0,350
69,0.6591,8495.000000953674,0,350
70,0.6594,8605.000000953674,0,350
71,0.6578,8750.000000953674,0,350
72,0.6614,8845.000000953674,0,350
73,0.6661,8995.000000953674,0,350
74,0.6646,9100.000000953674,0,350
75,0.6662,9195.000000953674,0,350
76,0.6623,9375.000000953674,0,350
77,0.6621,9450.000000953674,0,350
78,0.663,9545.000000953674,0,350
79,0.6677,9615.000000953674,0,350
80,0.6667,9800.000000953674,0,350
81,0.6616,9900.000000953674,0,350
82,0.6769,9965.000000953674,0,350
83,0.6723,10095.000000953674,0,350
84,0.6703,10155.000000953674,0,350
85,0.6706,10250.000000953674,0,350
86,0.679,10330.000000953674,0,350
87,0.6784,10600.000000953674,0,350
88,0.6707,10680.000000953674,0,350
89,0.6768,10745.000000953674,0,350
90,0.6749,10950.000000953674,0,350
91,0.6715,11030.000000953674,0,350
92,0.6793,11095.000000953674,0,350
93,0.675,11300.000000953674,0,350
94,0.6795,11380.000000953674,0,350
95,0.6676,11445.000000953674,0,350
96,0.6782,11565.000000953674,0,350
97,0.6823,11715.000000953674,0,350
98,0.6747,11795.000000953674,0,350
99,0.685,11915.000000953674,0,350
100,0.6803,11975.000000953674,0,350
101,0.6867,12130.000000953674,0,350
102,0.6808,12265.000000953674,0,350
103,0.6906,12335.000000953674,0,350
104,0.6763,12480.000000953674,0,350
105,0.6874,12615.000000953674,0,350
106,0.6828,12830.000000953674,0,350
107,0.6919,12965.000000953674,0,350
108,0.6896,13180.000000953674,0,350
109,0.6847,13255.000000953674,0,350
110,0.6871,13315.000000953674,0,350
111,0.6788,13385.000000953674,0,350
112,0.6864,13530.000000953674,0,350
113,0.6848,13665.000000953674,0,350
114,0.6863,13755.000000953674,0,350
115,0.6931,13905.000000953674,0,350
116,0.691,14105.000000953674,0,350
117,0.6845,14220.000000953674,0,350
118,0.687,14280.000000953674,0,350
119,0.6904,14455.000000953674,0,350
120,0.685,14570.000000953674,0,350
121,0.6853,14630.000000953674,0,350
122,0.6845,14750.000000953674,0,285
123,0.6929,14870.000000953674,0,350
124,0.685,14980.000000953674,0,350
125,0.6817,15130.000000953674,0,350
126,0.6912,15220.000000953674,0,350
127,0.6912,15280.000000953674,0,350
128,0.6938,15395.000000953674,0,350
129,0.6874,15505.000000953674,0,350
130,0.6972,15630.000000953674,0,350
131,0.7042,15745.000000953674,0,350
132,0.6879,15855.000000953674,0,350
133,0.6977,15970.000000953674,0,350
134,0.6897,16095.000000953674,0,350
135,0.6946,16205.000000953674,0,350
136,0.6911,16320.000000953674,0,350
137,0.7012,16445.000000953674,0,350
138,0.6942,16555.000000953674,0,350
139,0.692,16675.000000953674,0,350
140,0.6883,16795.000000953674,0,350
141,0.7026,17025.000000953674,0,350
142,0.7008,17145.000000953674,0,350
143,0.6956,17205.000000953674,0,350
144,0.6957,17375.000000953674,0,350
145,0.699,17495.000000953674,0,350
146,0.7068,17725.000000953674,0,350
147,0.697,17845.000000953674,0,350
148,0.7017,17900.000000953674,0,350
149,0.7002,17995.000000953674,0,255
150,0.7007,18075.000000953674,0,350
