round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000071525574,0,115
2,0.1,350.00000071525574,0,350
3,0.1206,410.00000071525574,0,350
4,0.1813,470.00000071525574,0,350
5,0.3622,650.0000007152557,0,300
6,0.3913,760.0000007152557,0,350
7,0.4058,825.0000007152557,0,350
8,0.4624,1000.0000007152557,0,350
9,0.4773,1110.0000007152557,0,350
10,0.5002,1175.0000007152557,0,350
11,0.5176,1235.0000007152557,0,350
12,0.5395,1525.0000007152557,0,350
13,0.5452,1585.0000007152557,0,350
14,0.5682,1640.0000007152557,0,350
15,0.5888,1820.0000007152557,0,235
16,0.5963,1895.0000007152557,0,350
17,0.6034,1970.0000007152557,0,350
18,0.605,2025.0000007152557,0,350
19,0.617,2110.0000007152557,0,140
20,0.6191,2185.0000007152557,0,350
21,0.6244,2245.0000007152557,0,350
22,0.6393,2375.0000007152557,0,350
23,0.6325,2490.0000007152557,0,350
24,0.6416,2595.0000007152557,0,350
25,0.6438,2725.0000007152557,0,350
26,0.6477,2790.0000007152557,0,350
27,0.6421,2845.0000007152557,0,350
28,0.6541,2900.0000007152557,0,130
29,0.6504,2955.0000007152557,0,350
30,0.6526,3010.0000007152557,0,240
31,0.654,3065.0000007152557,0,80
32,0.662,3120.0000007152557,0,65
33,0.6586,3180.0000007152557,0,350
34,0.664,3240.0000007152557,0,120
35,0.6556,3295.0000007152557,0,275
36,0.6629,3360.0000007152557,0,350
37,0.6684,3435.0000007152557,0,255
38,0.6657,3490.0000007152557,0,350
39,0.6708,3545.0000007152557,0,350
40,0.6665,3605.0000007152557,0,75
41,0.6684,3710.0000007152557,0,350
42,0.6708,3840.0000007152557,0,350
43,0.669,3955.0000007152557,0,350
44,0.6725,4060.0000007152557,0,350
45,0.6739,4175.000000715256,0,350
46,0.6718,4265.000000715256,0,350
47,0.6752,4330.000000715256,0,350
48,0.6783,4410.000000715256,0,350
49,0.6761,4525.000000715256,0,350
50,0.6816,4615.000000715256,0,350
51,0.6782,4720.000000715256,0,350
52,0.6833,4775.000000715256,0,350
53,0.6775,4965.000000715256,0,350
54,0.6755,5070.000000715256,0,350
55,0.6806,5130.000000715256,0,350
56,0.6814,5190.000000715256,0,195
57,0.6812,5270.000000715256,0,165
58,0.6835,5375.000000715256,0,350
59,0.6867,5465.000000715256,0,350
60,0.6793,5530.000000715256,0,350
61,0.6846,5620.000000715256,0,350
62,0.687,5675.000000715256,0,350
63,0.6871,5790.000000715256,0,350
64,0.6874,5855.000000715256,0,350
65,0.6861,5970.000000715256,0,350
66,0.6867,6120.000000715256,0,350
67,0.6884,6205.000000715256,0,350
68,0.6872,6265.000000715256,0,350
69,0.6897,6325.000000715256,0,350
70,0.6876,6385.000000715256,0,115
71,0.6857,6470.000000715256,0,350
72,0.689,6530.000000715256,0,350
73,0.687,6595.000000715256,0,65
74,0.6915,6655.000000715256,0,350
75,0.6893,6715.000000715256,0,350
76,0.6865,6790.000000715256,0,350
77,0.6915,6880.000000715256,0,350
78,0.6915,7005.000000715256,0,350
79,0.1845,7065.000000715256,0,350
80,0.6457,7120.000000715256,0,350
81,0.6924,7175.000000715256,0,350
82,0.6932,7230.000000715256,0,110
83,0.6923,7330.000000715256,0,100
84,0.6895,7390.000000715256,0,350
85,0.6932,7450.000000715256,0,350
86,0.6883,7510.000000715256,0,350
87,0.6931,7570.000000715256,0,350
88,0.6927,7625.000000715256,0,350
89,0.694,7685.000000715256,0,350
90,0.6947,7745.000000715256,0,285
91,0.6924,7805.000000715256,0,350
92,0.6946,7865.000000715256,0,90
93,0.6946,7920.000000715256,0,350
94,0.693,7980.000000715256,0,350
95,0.6963,8050.000000715256,0,175
96,0.6995,8155.000000715256,0,350
97,0.6954,8240.000000715256,0,350
98,0.698,8330.000000715256,0,350
99,0.6978,8390.000000715256,0,350
100,0.6944,8505.000000715256,0,350
101,0.703,8680.000000715256,0,350
102,0.7021,8740.000000715256,0,350
103,0.7014,8855.000000715256,0,350
104,0.6997,9030.000000715256,0,350
105,0.7003,9090.000000715256,0,350
106,0.7011,9205.000000715256,0,350
107,0.701,9270.000000715256,0,350
108,0.7017,9380.000000715256,0,350
109,0.7027,9440.000000715256,0,350
110,0.1872,9555.000000715256,0,225
111,0.5906,9670.000000715256,0,350
112,0.6883,9735.000000715256,0,350
113,0.6955,9845.000000715256,0,350
114,0.6989,9930.000000715256,0,350
115,0.6981,10020.000000715256,0,350
116,0.6985,10085.000000715256,0,350
117,0.7,10145.000000715256,0,165
118,0.6997,10205.000000715256,0,350
119,0.7006,10265.000000715256,0,145
120,0.6967,10325.000000715256,0,350
121,0.7001,10380.000000715256,0,350
122,0.7008,10435.000000715256,0,350
123,0.697,10490.000000715256,0,285
124,0.6987,10550.000000715256,0,165
125,0.7026,10610.000000715256,0,350
126,0.6968,10670.000000715256,0,115
127,0.6972,10730.000000715256,0,350
128,0.6967,10785.000000715256,0,350
129,0.699,10845.000000715256,0,350
130,0.7008,10905.000000715256,0,350
131,0.7047,10980.000000715256,0,350
132,0.7037,11080.000000715256,0,165
133,0.702,11140.000000715256,0,350
134,0.7017,11195.000000715256,0,350
135,0.7013,11265.000000715256,0,350
136,0.7027,11335.000000715256,0,350
137,0.7016,11430.000000715256,0,225
138,0.7008,11490.000000715256,0,350
139,0.7004,11595.000000715256,0,350
140,0.7022,11655.000000715256,0,350
141,0.7012,11760.000000715256,0,350
142,0.703,11840.000000715256,0,350
143,0.7015,11900.000000715256,0,350
144,0.7023,11960.000000715256,0,350
145,0.7029,12015.000000715256,0,350
146,0.7058,12080.000000715256,0,65
147,0.7062,12140.000000715256,0,350
148,0.7037,12200.000000715256,0,350
149,0.7029,12260.000000715256,0,350
