round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000071525574,0,115
2,0.1,350.00000071525574,0,350
3,0.1,410.00000071525574,0,350
4,0.1,540.0000007152557,0,350
5,0.2652,700.0000007152557,0,350
6,0.1363,760.0000007152557,0,350
7,0.3161,820.0000007152557,0,350
8,0.3644,965.0000007152557,0,350
9,0.3706,1110.0000007152557,0,350
10,0.3881,1170.0000007152557,0,350
11,0.4147,1315.0000007152557,0,350
12,0.4287,1460.0000007152557,0,350
13,0.4316,1520.0000007152557,0,350
14,0.4459,1665.0000007152557,0,350
15,0.4504,1810.0000007152557,0,350
16,0.459,1975.0000007152557,0,350
17,0.4807,2035.0000007152557,0,350
18,0.4781,2325.0000007152557,0,350
19,0.4847,2385.0000007152557,0,350
20,0.4949,2480.0000007152557,0,350
21,0.5175,2630.0000007152557,0,150
22,0.5064,2735.0000007152557,0,350
23,0.5249,2800.0000007152557,0,350
24,0.532,2980.0000007152557,0,350
25,0.5344,3040.0000007152557,0,350
26,0.5404,3125.0000007152557,0,350
27,0.5476,3215.0000007152557,0,350
28,0.5469,3390.0000007152557,0,350
29,0.5617,3475.0000007152557,0,350
30,0.5665,3565.0000007152557,0,350
31,0.5763,3740.0000007152557,0,350
32,0.5731,3825.0000007152557,0,350
33,0.582,3915.0000007152557,0,350
34,0.5854,4110.000000715256,0,350
35,0.5856,4215.000000715256,0,350
36,0.587,4290.000000715256,0,350
37,0.5998,4460.000000715256,0,350
38,0.5939,4565.000000715256,0,350
39,0.5993,4640.000000715256,0,350
40,0.6028,4720.000000715256,0,120
41,0.6008,4810.000000715256,0,350
42,0.6154,4895.000000715256,0,350
43,0.6094,5035.000000715256,0,350
44,0.6158,5150.000000715256,0,350
45,0.6146,5245.000000715256,0,350
46,0.6128,5385.000000715256,0,350
47,0.618,5500.000000715256,0,350
48,0.617,5595.000000715256,0,350
49,0.6213,5735.000000715256,0,350
50,0.6267,5850.000000715256,0,350
51,0.6252,5945.000000715256,0,350
52,0.6259,6085.000000715256,0,350
53,0.6275,6295.000000715256,0,350
54,0.6294,6370.000000715256,0,350
55,0.6294,6435.000000715256,0,350
56,0.6283,6500.000000715256,0,350
57,0.6277,6620.000000715256,0,195
58,0.6319,6720.000000715256,0,350
59,0.6412,6785.000000715256,0,350
60,0.6343,6970.000000715256,0,350
61,0.642,7135.000000715256,0,350
62,0.6437,7320.000000715256,0,350
63,0.6488,7395.000000715256,0,350
64,0.6411,7485.000000715256,0,350
65,0.6508,7545.000000715256,0,350
66,0.6472,7635.000000715256,0,155
67,0.648,7745.000000715256,0,350
68,0.6444,7835.000000715256,0,350
69,0.6469,7900.000000715256,0,350
70,0.6528,8095.000000715256,0,350
71,0.651,8185.000000715256,0,350
72,0.6502,8250.000000715256,0,350
73,0.6582,8320.000000715256,0,350
74,0.6466,8485.000000715256,0,350
75,0.6535,8600.000000715256,0,350
76,0.663,8670.000000715256,0,350
77,0.6546,8745.000000715256,0,350
78,0.6552,8950.000000715256,0,350
79,0.6606,9095.000000715256,0,350
80,0.6593,9290.000000715256,0,350
81,0.6581,9350.000000715256,0,350
82,0.6573,9445.000000715256,0,350
83,0.6625,9700.000000715256,0,350
84,0.6627,9795.000000715256,0,350
85,0.6672,9870.000000715256,0,350
86,0.6588,10050.000000715256,0,350
87,0.6707,10220.000000715256,0,350
88,0.669,10290.000000715256,0,350
89,0.667,10400.000000715256,0,350
90,0.6657,10465.000000715256,0,350
