round,accuracy,elapsed_time
1,0.1,115.00000071525574
2,0.1,350.00000071525574
3,0.1,405.00000071525574
4,0.1001,470.00000071525574
5,0.1093,625.0000007152557
6,0.1,790.0000007152557
7,0.2417,975.0000007152557
8,0.3267,1045.0000007152557
9,0.2964,1155.0000007152557
10,0.3658,1325.0000007152557
11,0.3874,1395.0000007152557
12,0.4021,1505.0000007152557
13,0.4275,1675.0000007152557
14,0.4422,1745.0000007152557
15,0.4509,1825.0000007152557
16,0.4601,1900.0000007152557
17,0.4663,2095.0000007152557
18,0.4841,2250.0000007152557
19,0.4899,2320.0000007152557
20,0.5161,2435.0000007152557
21,0.5203,2515.0000007152557
22,0.5281,2670.0000007152557
23,0.5391,2785.0000007152557
24,0.5534,2865.0000007152557
25,0.5557,3020.0000007152557
26,0.5607,3135.0000007152557
27,0.5806,3215.0000007152557
28,0.5811,3370.0000007152557
29,0.596,3425.0000007152557
30,0.6055,3485.0000007152557
31,0.5946,3740.0000007152557
32,0.5926,3835.0000007152557
33,0.6029,3895.0000007152557
34,0.6176,4090.0000007152557
35,0.6155,4185.000000715256
36,0.6158,4260.000000715256
37,0.6184,4440.000000715256
38,0.6238,4600.000000715256
39,0.6307,4710.000000715256
40,0.6338,4790.000000715256
41,0.6337,4950.000000715256
42,0.6308,5105.000000715256
43,0.6455,5235.000000715256
44,0.6482,5310.000000715256
45,0.6492,5455.000000715256
46,0.6508,5585.000000715256
47,0.6483,5655.000000715256
48,0.6532,5805.000000715256
49,0.6505,6005.000000715256
50,0.6533,6065.000000715256
51,0.6599,6155.000000715256
52,0.6525,6355.000000715256
53,0.6648,6415.000000715256
54,0.6614,6505.000000715256
55,0.6669,6640.000000715256
56,0.6655,6725.000000715256
57,0.6678,6855.000000715256
58,0.6664,6915.000000715256
59,0.6711,7065.000000715256
60,0.6582,7205.000000715256
61,0.663,7295.000000715256
62,0.6758,7555.000000715256
63,0.6706,7645.000000715256
64,0.6732,7905.000000715256
65,0.6612,7995.000000715256
66,0.6759,8115.000000715256
67,0.6781,8255.000000715256
68,0.6664,8400.000000715256
69,0.6826,8495.000000715256
70,0.6752,8605.000000715256
71,0.6779,8750.000000715256
72,0.6833,8845.000000715256
73,0.6784,8995.000000715256
74,0.6788,9100.000000715256
75,0.679,9195.000000715256
76,0.6732,9375.000000715256
77,0.6813,9450.000000715256
78,0.6859,9545.000000715256
79,0.684,9615.000000715256
80,0.6903,9800.000000715256
81,0.6784,9900.000000715256
82,0.6925,9965.000000715256
83,0.6894,10095.000000715256
84,0.6844,10155.000000715256
85,0.6858,10250.000000715256
86,0.6889,10330.000000715256
87,0.6856,10600.000000715256
88,0.6962,10680.000000715256
89,0.695,10745.000000715256
90,0.688,10950.000000715256
91,0.6891,11030.000000715256
92,0.6941,11095.000000715256
93,0.6889,11300.000000715256
94,0.6922,11380.000000715256
95,0.6925,11445.000000715256
96,0.6962,11565.000000715256
97,0.6997,11715.000000715256
98,0.7004,11795.000000715256
99,0.6995,11915.000000715256
100,0.6958,11975.000000715256
101,0.6971,12130.000000715256
102,0.6949,12265.000000715256
103,0.7071,12335.000000715256
104,0.6958,12480.000000715256
105,0.7001,12615.000000715256
106,0.6963,12830.000000715256
107,0.7023,12965.000000715256
108,0.7081,13180.000000715256
109,0.7004,13255.000000715256
110,0.7035,13315.000000715256
111,0.6968,13385.000000715256
112,0.7011,13530.000000715256
113,0.7043,13665.000000715256
114,0.7049,13755.000000715256
115,0.7071,13905.000000715256
116,0.6944,14105.000000715256
117,0.699,14220.000000715256
118,0.7065,14280.000000715256
119,0.7037,14455.000000715256
120,0.7084,14570.000000715256
121,0.709,14630.000000715256
122,0.6959,14750.000000715256
123,0.7079,14870.000000715256
124,0.7006,14980.000000715256
125,0.7067,15130.000000715256
126,0.708,15220.000000715256
127,0.7096,15280.000000715256
128,0.6992,15395.000000715256
129,0.7095,15505.000000715256
130,0.7115,15630.000000715256
131,0.7055,15745.000000715256
132,0.7132,15855.000000715256
133,0.7177,15970.000000715256
134,0.7161,16095.000000715256
135,0.7103,16205.000000715256
136,0.7165,16320.000000715256
137,0.72,16445.000000715256
138,0.7065,16555.000000715256
139,0.7097,16675.000000715256
140,0.7142,16795.000000715256
141,0.7126,17025.000000715256
142,0.714,17145.000000715256
143,0.7128,17205.000000715256
144,0.7167,17375.000000715256
145,0.7175,17495.000000715256
146,0.7143,17725.000000715256
147,0.7164,17845.000000715256
148,0.7133,17900.000000715256
149,0.7095,17995.000000715256
150,0.7189,18075.000000715256
