round,accuracy,elapsed_time,comm_time,round_time
1,0.1,65.00000047683716,0,65
2,0.1004,125.00000047683716,0,100
3,0.1033,195.00000047683716,0,150
4,0.2325,255.00000047683716,0,100
5,0.1534,315.00000047683716,0,275
6,0.1057,370.00000047683716,0,350
7,0.3058,425.00000047683716,0,100
8,0.3124,480.00000047683716,0,350
9,0.3779,535.0000004768372,0,100
10,0.3631,590.0000004768372,0,70
11,0.3725,645.0000004768372,0,235
12,0.3938,700.0000004768372,0,70
13,0.4507,745.0000004768372,0,350
14,0.4361,790.0000004768372,0,90
15,0.4725,845.0000004768372,0,95
16,0.4587,880.0000004768372,0,100
17,0.4971,935.0000004768372,0,85
18,0.5293,985.0000004768372,0,105
19,0.5301,1020.0000004768372,0,85
20,0.5097,1075.0000004768372,0,70
21,0.5449,1130.0000004768372,0,105
22,0.5518,1185.0000004768372,0,70
23,0.56,1240.0000004768372,0,85
24,0.561,1295.0000004768372,0,70
25,0.5752,1350.0000004768372,0,350
26,0.5795,1405.0000004768372,0,70
27,0.5974,1460.0000004768372,0,350
28,0.6053,1515.0000004768372,0,70
29,0.6084,1570.0000004768372,0,85
30,0.6161,1625.0000004768372,0,70
31,0.6262,1680.0000004768372,0,85
32,0.6331,1735.0000004768372,0,350
33,0.6292,1790.0000004768372,0,350
34,0.6354,1845.0000004768372,0,350
35,0.6399,1900.0000004768372,0,85
36,0.642,1955.0000004768372,0,350
37,0.6613,2010.0000004768372,0,110
38,0.6562,2065.000000476837,0,70
39,0.6648,2095.000000476837,0,350
40,0.6561,2135.000000476837,0,70
41,0.6636,2180.000000476837,0,85
42,0.668,2205.000000476837,0,70
43,0.6647,2260.000000476837,0,60
44,0.6787,2275.000000476837,0,85
45,0.6586,2320.000000476837,0,60
46,0.6826,2365.000000476837,0,90
47,0.6776,2380.000000476837,0,60
48,0.6873,2435.000000476837,0,65
49,0.6887,2455.000000476837,0,90
50,0.6891,2510.000000476837,0,65
51,0.6903,2565.000000476837,0,60
52,0.6999,2620.000000476837,0,65
53,0.6863,2675.000000476837,0,60
54,0.7084,2730.000000476837,0,65
55,0.6982,2785.000000476837,0,60
56,0.6944,2840.000000476837,0,350
57,0.6999,2860.000000476837,0,350
58,0.7095,2905.000000476837,0,65
59,0.6991,2925.000000476837,0,65
60,0.7095,2970.000000476837,0,65
61,0.6968,2990.000000476837,0,65
62,0.7152,3035.000000476837,0,65
63,0.7031,3090.000000476837,0,60
64,0.7142,3145.000000476837,0,65
65,0.7119,3200.000000476837,0,60
66,0.7176,3255.000000476837,0,65
67,0.7139,3310.000000476837,0,60
68,0.7267,3365.000000476837,0,350
69,0.7247,3420.000000476837,0,240
70,0.7266,3475.000000476837,0,60
71,0.7292,3530.000000476837,0,65
72,0.7294,3585.000000476837,0,60
73,0.7272,3640.000000476837,0,350
74,0.7268,3695.000000476837,0,60
75,0.7311,3750.000000476837,0,75
76,0.736,3805.000000476837,0,105
77,0.7276,3860.000000476837,0,350
78,0.7355,3915.000000476837,0,350
79,0.7317,3970.000000476837,0,350
80,0.7308,4025.000000476837,0,350
81,0.7344,4080.000000476837,0,105
82,0.7339,4135.000000476837,0,350
83,0.7377,4190.000000476837,0,350
84,0.7293,4245.000000476837,0,65
85,0.7406,4300.000000476837,0,105
86,0.7353,4355.000000476837,0,65
87,0.7385,4410.000000476837,0,105
88,0.734,4430.000000476837,0,350
89,0.7367,4485.000000476837,0,75
90,0.7457,4540.000000476837,0,105
91,0.7423,4595.000000476837,0,150
92,0.7443,4650.000000476837,0,65
93,0.745,4705.000000476837,0,75
94,0.7437,4760.000000476837,0,350
95,0.7414,4815.000000476837,0,350
96,0.7407,4870.000000476837,0,340
97,0.7516,4925.000000476837,0,75
98,0.7432,4980.000000476837,0,65
99,0.7478,5035.000000476837,0,195
100,0.743,5055.000000476837,0,350
101,0.7356,5110.000000476837,0,60
102,0.747,5165.000000476837,0,75
103,0.7386,5220.000000476837,0,110
104,0.7441,5275.000000476837,0,65
105,0.7441,5330.000000476837,0,60
106,0.7536,5385.000000476837,0,65
107,0.7441,5440.000000476837,0,350
108,0.7523,5460.000000476837,0,350
109,0.7447,5515.000000476837,0,65
110,0.7474,5535.000000476837,0,90
111,0.7498,5590.000000476837,0,60
112,0.7568,5645.000000476837,0,65
113,0.7532,5700.000000476837,0,80
114,0.7503,5755.000000476837,0,60
115,0.758,5810.000000476837,0,120
116,0.7544,5865.000000476837,0,350
117,0.7519,5920.000000476837,0,350
118,0.7491,5980.000000476837,0,225
119,0.7532,6095.000000476837,0,115
120,0.7535,6160.000000476837,0,350
121,0.7531,6215.000000476837,0,350
122,0.7505,6270.000000476837,0,350
123,0.7532,6325.000000476837,0,105
124,0.7512,6380.000000476837,0,350
125,0.7597,6435.000000476837,0,95
126,0.7589,6490.000000476837,0,60
127,0.758,6545.000000476837,0,350
128,0.7569,6600.000000476837,0,60
129,0.7558,6655.000000476837,0,350
130,0.7504,6710.000000476837,0,95
131,0.7563,6765.000000476837,0,350
132,0.7538,6820.000000476837,0,60
133,0.757,6880.000000476837,0,60
134,0.7567,6935.000000476837,0,350
135,0.7583,6990.000000476837,0,350
136,0.7531,7045.000000476837,0,225
137,0.7587,7100.000000476837,0,70
138,0.7563,7155.000000476837,0,100
139,0.7602,7210.000000476837,0,350
140,0.7583,7265.000000476837,0,350
141,0.7621,7320.000000476837,0,75
142,0.7581,7375.000000476837,0,350
143,0.7602,7430.000000476837,0,100
144,0.759,7470.000000476837,0,350
145,0.7589,7505.000000476837,0,75
146,0.7568,7560.000000476837,0,70
147,0.7652,7615.000000476837,0,75
148,0.7575,7670.000000476837,0,150
149,0.762,7730.000000476837,0,240
150,0.7581,7785.000000476837,0,70
