round,accuracy,elapsed_time,comm_time,round_time
1,0.1,115.00000047683716,0,115
2,0.1,350.00000047683716,0,350
3,0.1,420.00000047683716,0,350
4,0.1522,480.00000047683716,0,350
5,0.168,650.0000004768372,0,300
6,0.2696,770.0000004768372,0,350
7,0.2813,830.0000004768372,0,350
8,0.3198,1000.0000004768372,0,350
9,0.352,1120.0000004768372,0,350
10,0.3617,1180.0000004768372,0,350
11,0.4144,1300.0000004768372,0,350
12,0.4105,1530.0000004768372,0,350
13,0.4556,1650.0000004768372,0,350
14,0.4379,1705.0000004768372,0,350
15,0.5223,1880.0000004768372,0,350
16,0.5202,1940.0000004768372,0,350
17,0.5711,2005.0000004768372,0,350
18,0.5596,2060.000000476837,0,350
19,0.5869,2125.000000476837,0,120
20,0.5759,2205.000000476837,0,140
21,0.6279,2275.000000476837,0,350
22,0.6122,2410.000000476837,0,350
23,0.6035,2490.000000476837,0,350
24,0.6176,2625.000000476837,0,350
25,0.6178,2760.000000476837,0,350
26,0.6297,2820.000000476837,0,350
27,0.6431,2890.000000476837,0,350
28,0.6604,2945.000000476837,0,150
29,0.6656,3000.000000476837,0,350
30,0.6412,3055.000000476837,0,240
31,0.6595,3110.000000476837,0,70
32,0.6833,3165.000000476837,0,115
33,0.6806,3200.000000476837,0,350
34,0.664,3255.000000476837,0,85
35,0.6805,3310.000000476837,0,65
36,0.6821,3365.000000476837,0,115
37,0.6928,3430.000000476837,0,65
38,0.6947,3485.000000476837,0,175
39,0.6944,3540.000000476837,0,350
40,0.6886,3595.000000476837,0,350
41,0.6949,3650.000000476837,0,350
42,0.7083,3710.000000476837,0,350
43,0.6889,3765.000000476837,0,255
44,0.7198,3820.000000476837,0,275
45,0.6977,3885.000000476837,0,145
46,0.707,3945.000000476837,0,350
47,0.7095,4015.000000476837,0,350
48,0.5341,4105.000000476837,0,350
49,0.6873,4170.000000476837,0,350
50,0.6996,4230.000000476837,0,90
51,0.718,4295.000000476837,0,350
52,0.7082,4365.000000476837,0,350
53,0.697,4435.000000476837,0,350
54,0.7094,4500.000000476837,0,140
55,0.7198,4585.000000476837,0,350
56,0.7151,4650.000000476837,0,350
57,0.7186,4715.000000476837,0,350
