round,accuracy,elapsed_time
1,0.01,115.00000047683716
2,0.01,350.00000047683716
3,0.01,405.00000047683716
4,0.0111,470.00000047683716
5,0.0467,625.0000004768372
6,0.0105,790.0000004768372
7,0.1117,975.0000004768372
8,0.1298,1045.0000004768372
9,0.1493,1155.0000004768372
10,0.1697,1325.0000004768372
11,0.1885,1395.0000004768372
12,0.2034,1505.0000004768372
13,0.2185,1675.0000004768372
14,0.226,1745.0000004768372
15,0.2482,1825.0000004768372
16,0.2397,1900.0000004768372
17,0.2584,2095.000000476837
18,0.2648,2250.000000476837
19,0.271,2320.000000476837
20,0.2748,2435.000000476837
21,0.291,2515.000000476837
22,0.295,2670.000000476837
23,0.2941,2785.000000476837
24,0.3049,2865.000000476837
25,0.3175,3020.000000476837
26,0.3093,3135.000000476837
27,0.314,3215.000000476837
28,0.3244,3370.000000476837
29,0.3225,3425.000000476837
30,0.327,3485.000000476837
31,0.3276,3740.000000476837
32,0.3381,3835.000000476837
33,0.3402,3895.000000476837
34,0.338,4090.000000476837
35,0.3352,4185.000000476837
36,0.3547,4260.000000476837
37,0.3551,4440.000000476837
38,0.3418,4600.000000476837
39,0.3603,4710.000000476837
40,0.3597,4790.000000476837
41,0.3547,4950.000000476837
42,0.3625,5105.000000476837
43,0.3569,5235.000000476837
44,0.3633,5310.000000476837
45,0.3679,5455.000000476837
46,0.3656,5585.000000476837
47,0.3717,5655.000000476837
48,0.3638,5805.000000476837
49,0.3721,6005.000000476837
50,0.3665,6065.000000476837
51,0.3799,6155.000000476837
52,0.37,6355.000000476837
53,0.3789,6415.000000476837
54,0.3784,6505.000000476837
55,0.3811,6640.000000476837
56,0.3785,6725.000000476837
57,0.3882,6855.000000476837
58,0.3839,6915.000000476837
59,0.3871,7065.000000476837
60,0.3827,7205.000000476837
61,0.3851,7295.000000476837
62,0.3939,7555.000000476837
63,0.3948,7645.000000476837
64,0.3888,7905.000000476837
65,0.3957,7995.000000476837
66,0.391,8115.000000476837
67,0.3947,8255.000000476837
68,0.3923,8400.000000476837
69,0.3961,8495.000000476837
70,0.3982,8605.000000476837
71,0.3922,8750.000000476837
72,0.3988,8845.000000476837
73,0.4003,8995.000000476837
74,0.3953,9100.000000476837
75,0.4005,9195.000000476837
76,0.4009,9375.000000476837
77,0.407,9450.000000476837
78,0.3994,9545.000000476837
79,0.4001,9615.000000476837
80,0.4,9800.000000476837
81,0.4037,9900.000000476837
82,0.4046,9965.000000476837
83,0.4044,10095.000000476837
84,0.4019,10155.000000476837
85,0.3997,10250.000000476837
86,0.4053,10330.000000476837
87,0.4118,10600.000000476837
88,0.4026,10680.000000476837
89,0.4066,10745.000000476837
90,0.4091,10950.000000476837
91,0.4048,11030.000000476837
92,0.4073,11095.000000476837
93,0.4106,11300.000000476837
94,0.4093,11380.000000476837
95,0.4125,11445.000000476837
96,0.3316,11565.000000476837
97,0.412,11715.000000476837
98,0.4241,11795.000000476837
99,0.4059,11915.000000476837
100,0.414,11975.000000476837
101,0.4091,12130.000000476837
102,0.4104,12265.000000476837
103,0.4081,12335.000000476837
104,0.4122,12480.000000476837
105,0.3507,12615.000000476837
106,0.4167,12830.000000476837
107,0.4142,12965.000000476837
108,0.4113,13180.000000476837
109,0.4162,13255.000000476837
110,0.4155,13315.000000476837
111,0.4189,13385.000000476837
112,0.418,13530.000000476837
113,0.4182,13665.000000476837
114,0.4188,13755.000000476837
115,0.4238,13905.000000476837
116,0.425,14105.000000476837
117,0.4207,14220.000000476837
118,0.4195,14280.000000476837
119,0.4224,14455.000000476837
120,0.4191,14570.000000476837
121,0.4263,14630.000000476837
122,0.4233,14750.000000476837
123,0.4209,14870.000000476837
124,0.4253,14980.000000476837
125,0.4273,15130.000000476837
126,0.428,15220.000000476837
127,0.4293,15280.000000476837
128,0.4294,15395.000000476837
129,0.4244,15505.000000476837
130,0.4227,15630.000000476837
131,0.4256,15745.000000476837
132,0.4263,15855.000000476837
133,0.4272,15970.000000476837
134,0.4283,16095.000000476837
135,0.431,16205.000000476837
136,0.4265,16320.000000476837
137,0.4282,16445.000000476837
138,0.4306,16555.000000476837
139,0.4296,16675.000000476837
140,0.4265,16795.000000476837
141,0.4333,17025.000000476837
142,0.4412,17145.000000476837
143,0.4324,17205.000000476837
144,0.4269,17375.000000476837
145,0.4273,17495.000000476837
