round,accuracy,elapsed_time,comm_time,round_time
1,0.01,115.00000023841858,0,115
2,0.0106,350.0000002384186,0,350
3,0.0163,410.0000002384186,0,350
4,0.0418,470.0000002384186,0,350
5,0.1116,650.0000002384186,0,300
6,0.1277,760.0000002384186,0,350
7,0.1407,825.0000002384186,0,350
8,0.1857,1000.0000002384186,0,350
9,0.1936,1110.0000002384186,0,350
10,0.2207,1175.0000002384186,0,350
11,0.2279,1310.0000002384186,0,350
12,0.2429,1525.0000002384186,0,350
13,0.2598,1640.0000002384186,0,350
14,0.2689,1695.0000002384186,0,350
15,0.2832,1875.0000002384186,0,235
16,0.2829,1935.0000002384186,0,350
17,0.2943,2005.0000002384186,0,350
18,0.3018,2060.0000002384186,0,350
19,0.3105,2115.0000002384186,0,90
20,0.3152,2190.0000002384186,0,145
21,0.3311,2255.0000002384186,0,350
22,0.3283,2405.0000002384186,0,350
23,0.333,2540.0000002384186,0,350
24,0.3434,2605.0000002384186,0,350
25,0.3431,2755.0000002384186,0,350
26,0.3536,2815.0000002384186,0,350
27,0.3532,2890.0000002384186,0,350
28,0.3589,2950.0000002384186,0,150
29,0.3562,3005.0000002384186,0,350
30,0.3638,3060.0000002384186,0,65
31,0.3667,3115.0000002384186,0,80
32,0.3698,3190.0000002384186,0,350
33,0.3739,3260.0000002384186,0,110
34,0.3749,3335.0000002384186,0,275
35,0.379,3390.0000002384186,0,350
36,0.385,3445.0000002384186,0,350
37,0.3743,3500.0000002384186,0,75
38,0.3837,3680.0000002384186,0,235
39,0.3847,3795.0000002384186,0,350
40,0.3897,3885.0000002384186,0,350
41,0.3876,4030.0000002384186,0,350
42,0.392,4135.000000238419,0,350
43,0.3937,4235.000000238419,0,350
44,0.3928,4380.000000238419,0,350
45,0.3918,4485.000000238419,0,350
46,0.3926,4585.000000238419,0,350
47,0.3943,4650.000000238419,0,350
48,0.3997,4730.000000238419,0,350
49,0.3991,4790.000000238419,0,350
50,0.3985,4855.000000238419,0,350
51,0.4019,4935.000000238419,0,350
52,0.404,4995.000000238419,0,350
53,0.4033,5050.000000238419,0,350
54,0.3974,5105.000000238419,0,350
55,0.4012,5180.000000238419,0,75
56,0.4051,5255.000000238419,0,130
57,0.4044,5330.000000238419,0,350
58,0.4083,5390.000000238419,0,350
59,0.4086,5445.000000238419,0,350
60,0.409,5500.000000238419,0,350
61,0.4086,5555.000000238419,0,60
62,0.4111,5610.000000238419,0,350
63,0.4114,5665.000000238419,0,75
64,0.4111,5725.000000238419,0,350
65,0.41,5780.000000238419,0,105
66,0.4143,5835.000000238419,0,350
67,0.413,5890.000000238419,0,350
68,0.4152,5945.000000238419,0,350
69,0.4117,6000.000000238419,0,75
70,0.4152,6055.000000238419,0,145
71,0.4137,6110.000000238419,0,120
72,0.4166,6175.000000238419,0,350
73,0.4135,6235.000000238419,0,120
74,0.4172,6300.000000238419,0,100
75,0.4154,6365.000000238419,0,350
76,0.4186,6425.000000238419,0,350
77,0.4188,6480.000000238419,0,350
78,0.4164,6540.000000238419,0,65
79,0.4172,6595.000000238419,0,350
80,0.4198,6650.000000238419,0,350
81,0.4184,6705.000000238419,0,350
82,0.4253,6760.000000238419,0,175
83,0.4232,6815.000000238419,0,80
84,0.4238,6875.000000238419,0,350
85,0.4264,6925.000000238419,0,350
86,0.4264,6980.000000238419,0,90
87,0.426,7035.000000238419,0,105
88,0.4282,7090.000000238419,0,90
89,0.4249,7150.000000238419,0,105
90,0.428,7210.000000238419,0,135
91,0.4272,7270.000000238419,0,150
92,0.4284,7330.000000238419,0,350
93,0.4235,7390.000000238419,0,135
94,0.426,7445.000000238419,0,350
95,0.4214,7500.000000238419,0,350
96,0.4239,7560.000000238419,0,105
97,0.4266,7620.000000238419,0,350
98,0.4273,7690.000000238419,0,350
99,0.4287,7745.000000238419,0,350
100,0.432,7800.000000238419,0,350
101,0.4331,7855.000000238419,0,110
102,0.4304,7910.000000238419,0,350
103,0.4312,7965.000000238419,0,110
104,0.4301,8025.000000238419,0,195
105,0.4285,8085.000000238419,0,350
106,0.4303,8150.000000238419,0,65
107,0.4277,8205.000000238419,0,350
108,0.4282,8260.000000238419,0,65
109,0.4317,8315.000000238419,0,350
110,0.4313,8370.000000238419,0,70
111,0.4336,8430.000000238419,0,350
112,0.4329,8490.000000238419,0,150
113,0.432,8550.000000238419,0,95
114,0.4325,8610.000000238419,0,350
115,0.4329,8665.000000238419,0,350
116,0.4339,8720.000000238419,0,350
117,0.4379,8775.000000238419,0,350
118,0.4352,8830.000000238419,0,350
119,0.4388,8885.000000238419,0,350
120,0.4377,8940.000000238419,0,350
121,0.4368,9000.000000238419,0,165
122,0.437,9070.000000238419,0,350
123,0.4383,9130.000000238419,0,350
124,0.4377,9190.000000238419,0,165
125,0.4374,9245.000000238419,0,350
126,0.4386,9305.000000238419,0,350
127,0.4385,9360.000000238419,0,165
128,0.4391,9420.000000238419,0,350
129,0.4381,9480.000000238419,0,110
130,0.4374,9535.000000238419,0,145
131,0.4391,9590.000000238419,0,350
132,0.4372,9645.000000238419,0,150
133,0.4398,9700.000000238419,0,350
134,0.4435,9755.000000238419,0,110
135,0.4393,9810.000000238419,0,150
136,0.4398,9870.000000238419,0,120
137,0.4407,9935.000000238419,0,105
138,0.4397,9995.000000238419,0,350
139,0.3743,10050.000000238419,0,350
140,0.4369,10105.000000238419,0,350
141,0.4399,10160.000000238419,0,150
142,0.4437,10220.000000238419,0,350
143,0.4401,10275.000000238419,0,350
144,0.439,10330.000000238419,0,150
145,0.4411,10385.000000238419,0,120
