round,accuracy,elapsed_time,comm_time,round_time
1,0.01,65.00000047683716,0,65
2,0.011,125.00000047683716,0,100
3,0.0359,185.00000047683716,0,150
4,0.1386,245.00000047683716,0,100
5,0.0882,300.00000047683716,0,275
6,0.0405,355.00000047683716,0,350
7,0.2315,410.00000047683716,0,70
8,0.2554,465.00000047683716,0,115
9,0.2907,520.0000004768372,0,70
10,0.293,600.0000004768372,0,350
11,0.3215,670.0000004768372,0,350
12,0.3241,725.0000004768372,0,350
13,0.3635,790.0000004768372,0,70
14,0.361,845.0000004768372,0,350
15,0.3721,900.0000004768372,0,350
16,0.3855,955.0000004768372,0,350
17,0.3992,1010.0000004768372,0,150
18,0.4071,1065.0000004768372,0,110
19,0.4081,1120.0000004768372,0,350
20,0.4165,1175.0000004768372,0,110
21,0.4223,1230.0000004768372,0,70
22,0.4284,1285.0000004768372,0,350
23,0.4342,1340.0000004768372,0,70
24,0.4362,1395.0000004768372,0,350
25,0.443,1450.0000004768372,0,150
26,0.4454,1505.0000004768372,0,350
27,0.4469,1560.0000004768372,0,70
28,0.4533,1615.0000004768372,0,150
29,0.453,1670.0000004768372,0,350
30,0.458,1725.0000004768372,0,275
31,0.4592,1780.0000004768372,0,110
32,0.461,1835.0000004768372,0,120
33,0.4585,1890.0000004768372,0,70
34,0.4673,1945.0000004768372,0,350
35,0.4648,2000.0000004768372,0,75
36,0.4713,2055.000000476837,0,95
37,0.4727,2110.000000476837,0,115
38,0.4714,2165.000000476837,0,95
39,0.4704,2185.000000476837,0,350
40,0.4741,2240.000000476837,0,70
41,0.4729,2295.000000476837,0,95
42,0.4785,2350.000000476837,0,150
43,0.4827,2405.000000476837,0,115
44,0.4857,2460.000000476837,0,120
45,0.4788,2480.000000476837,0,110
46,0.4811,2535.000000476837,0,70
47,0.4841,2580.000000476837,0,120
48,0.4831,2605.000000476837,0,70
49,0.484,2660.000000476837,0,75
50,0.4893,2715.000000476837,0,115
51,0.4901,2735.000000476837,0,110
52,0.4914,2790.000000476837,0,65
53,0.484,2845.000000476837,0,120
54,0.4904,2900.000000476837,0,115
55,0.4916,2955.000000476837,0,150
56,0.4928,3010.000000476837,0,70
57,0.4941,3065.000000476837,0,240
58,0.4927,3120.000000476837,0,150
59,0.4985,3175.000000476837,0,110
60,0.5003,3230.000000476837,0,115
61,0.4986,3285.000000476837,0,350
62,0.4986,3345.000000476837,0,150
63,0.4999,3400.000000476837,0,350
64,0.5045,3460.000000476837,0,150
65,0.4985,3515.000000476837,0,350
66,0.5032,3570.000000476837,0,115
67,0.503,3625.000000476837,0,150
68,0.5001,3685.000000476837,0,130
69,0.5045,3740.000000476837,0,115
70,0.5037,3795.000000476837,0,150
71,0.5049,3850.000000476837,0,130
72,0.5056,3905.000000476837,0,115
73,0.509,3960.000000476837,0,350
74,0.5027,4020.000000476837,0,150
75,0.509,4075.000000476837,0,195
76,0.5076,4135.000000476837,0,145
77,0.5069,4190.000000476837,0,150
78,0.5106,4250.000000476837,0,150
79,0.5077,4305.000000476837,0,350
80,0.51,4360.000000476837,0,120
81,0.5063,4415.000000476837,0,115
82,0.5121,4470.000000476837,0,145
83,0.5137,4530.000000476837,0,350
84,0.5116,4590.000000476837,0,120
85,0.5066,4655.000000476837,0,350
86,0.5107,4710.000000476837,0,350
87,0.5093,4770.000000476837,0,75
88,0.5108,4825.000000476837,0,350
89,0.5124,4880.000000476837,0,195
90,0.5105,4935.000000476837,0,340
91,0.5142,4990.000000476837,0,350
92,0.5134,5050.000000476837,0,120
93,0.5178,5105.000000476837,0,195
94,0.5134,5160.000000476837,0,130
95,0.5153,5220.000000476837,0,80
96,0.516,5275.000000476837,0,155
97,0.5195,5330.000000476837,0,350
98,0.5188,5385.000000476837,0,350
99,0.5151,5440.000000476837,0,155
100,0.5178,5495.000000476837,0,150
101,0.5223,5550.000000476837,0,115
102,0.521,5605.000000476837,0,195
103,0.523,5665.000000476837,0,115
104,0.5245,5735.000000476837,0,110
105,0.5199,5795.000000476837,0,155
106,0.5199,5850.000000476837,0,350
107,0.5262,5910.000000476837,0,60
108,0.5226,5965.000000476837,0,155
109,0.5233,6020.000000476837,0,350
110,0.5212,6080.000000476837,0,115
111,0.5219,6140.000000476837,0,300
112,0.5216,6195.000000476837,0,150
113,0.5246,6250.000000476837,0,225
114,0.5225,6305.000000476837,0,350
115,0.526,6375.000000476837,0,350
116,0.5256,6430.000000476837,0,350
117,0.5221,6485.000000476837,0,235
118,0.5257,6540.000000476837,0,240
119,0.5264,6595.000000476837,0,350
120,0.5275,6655.000000476837,0,350
121,0.5278,6710.000000476837,0,350
122,0.5271,6770.000000476837,0,235
123,0.5266,6830.000000476837,0,110
124,0.5305,6890.000000476837,0,350
125,0.5254,6965.000000476837,0,150
126,0.5214,7040.000000476837,0,350
127,0.5218,7110.000000476837,0,350
128,0.5262,7175.000000476837,0,75
129,0.5247,7230.000000476837,0,350
130,0.5265,7290.000000476837,0,350
131,0.5265,7345.000000476837,0,350
132,0.5313,7405.000000476837,0,135
133,0.528,7465.000000476837,0,155
134,0.5299,7530.000000476837,0,350
135,0.5244,7585.000000476837,0,350
136,0.5333,7640.000000476837,0,240
137,0.5308,7695.000000476837,0,70
138,0.5328,7750.000000476837,0,135
139,0.5306,7805.000000476837,0,195
140,0.533,7860.000000476837,0,195
141,0.5315,7915.000000476837,0,350
