round,accuracy,elapsed_time,comm_time,round_time
1,0.0163,13.000000238418579,0,13
2,0.0205,25.00000023841858,0,20
3,0.0426,36.00000023841858,0,30
4,0.0544,55.00000023841858,0,55
5,0.0372,70.00000023841858,0,70
6,0.0953,83.00000023841858,0,13
7,0.1069,95.00000023841858,0,70
8,0.1032,106.00000023841858,0,70
9,0.107,117.00000023841858,0,70
10,0.0908,128.00000023841858,0,70
11,0.1152,139.00000023841858,0,20
12,0.1268,163.00000023841858,0,57
13,0.1215,176.00000023841858,0,70
14,0.1346,187.00000023841858,0,70
15,0.1471,198.00000023841858,0,70
16,0.1262,209.00000023841858,0,70
17,0.142,220.00000023841858,0,70
18,0.1429,237.00000023841858,0,70
19,0.1423,279.0000002384186,0,70
20,0.1549,290.0000002384186,0,70
21,0.1514,301.0000002384186,0,70
22,0.1584,312.0000002384186,0,70
23,0.1722,324.0000002384186,0,13
24,0.1645,336.0000002384186,0,12
25,0.1807,360.0000002384186,0,70
26,0.1672,371.0000002384186,0,70
27,0.1698,382.0000002384186,0,70
28,0.1695,393.0000002384186,0,70
29,0.1764,405.0000002384186,0,60
30,0.1811,419.0000002384186,0,26
31,0.1767,441.0000002384186,0,70
32,0.1972,452.0000002384186,0,70
33,0.1953,463.0000002384186,0,70
34,0.1913,474.0000002384186,0,70
35,0.1986,485.0000002384186,0,12
36,0.1936,496.0000002384186,0,70
37,0.2063,507.0000002384186,0,16
38,0.2093,518.0000002384186,0,39
39,0.2116,529.0000002384186,0,70
40,0.2069,540.0000002384186,0,70
41,0.215,551.0000002384186,0,70
42,0.2134,565.0000002384186,0,70
43,0.2103,577.0000002384186,0,70
44,0.2123,588.0000002384186,0,70
45,0.2162,599.0000002384186,0,70
46,0.22,610.0000002384186,0,70
47,0.2229,621.0000002384186,0,70
48,0.2174,632.0000002384186,0,70
49,0.2336,644.0000002384186,0,70
50,0.2292,655.0000002384186,0,33
51,0.2204,667.0000002384186,0,70
52,0.2322,678.0000002384186,0,31
53,0.2229,689.0000002384186,0,13
54,0.2356,700.0000002384186,0,70
55,0.2297,711.0000002384186,0,70
56,0.2408,722.0000002384186,0,70
57,0.2474,733.0000002384186,0,70
58,0.2389,744.0000002384186,0,12
59,0.2399,755.0000002384186,0,70
60,0.2477,766.0000002384186,0,70
61,0.2455,777.0000002384186,0,12
62,0.2561,788.0000002384186,0,70
63,0.2572,800.0000002384186,0,55
64,0.2515,811.0000002384186,0,31
65,0.2567,822.0000002384186,0,70
66,0.257,834.0000002384186,0,12
67,0.2591,845.0000002384186,0,70
68,0.2605,856.0000002384186,0,24
69,0.1175,867.0000002384186,0,70
70,0.2553,878.0000002384186,0,33
71,0.2607,889.0000002384186,0,70
72,0.2625,901.0000002384186,0,15
73,0.2662,913.0000002384186,0,24
74,0.2702,924.0000002384186,0,70
75,0.2715,935.0000002384186,0,39
76,0.2682,946.0000002384186,0,70
77,0.2683,948.0000002384186,0,70
78,0.2765,959.0000002384186,0,12
79,0.2712,966.0000002384186,0,20
80,0.2654,973.0000002384186,0,14
81,0.2746,978.0000002384186,0,12
82,0.2798,989.0000002384186,0,12
83,0.279,1000.0000002384186,0,18
84,0.2788,1011.0000002384186,0,12
85,0.2815,1022.0000002384186,0,15
86,0.2755,1033.0000002384186,0,21
87,0.2836,1044.0000002384186,0,70
88,0.2842,1055.0000002384186,0,15
89,0.2886,1066.0000002384186,0,13
90,0.2845,1077.0000002384186,0,70
91,0.2804,1081.0000002384186,0,23
92,0.2778,1092.0000002384186,0,14
93,0.2868,1103.0000002384186,0,17
94,0.2861,1114.0000002384186,0,21
95,0.2882,1125.0000002384186,0,15
96,0.2839,1136.0000002384186,0,13
97,0.296,1147.0000002384186,0,15
98,0.2906,1158.0000002384186,0,70
99,0.2975,1169.0000002384186,0,14
100,0.2901,1180.0000002384186,0,15
101,0.2901,1184.0000002384186,0,70
102,0.2893,1193.0000002384186,0,13
103,0.2975,1200.0000002384186,0,16
104,0.2903,1207.0000002384186,0,14
105,0.2928,1213.0000002384186,0,13
106,0.296,1223.0000002384186,0,16
107,0.2957,1230.0000002384186,0,17
108,0.3004,1239.0000002384186,0,16
109,0.3022,1245.0000002384186,0,15
110,0.298,1253.0000002384186,0,14
111,0.3007,1259.0000002384186,0,14
112,0.2989,1267.0000002384186,0,14
113,0.2961,1274.0000002384186,0,15
114,0.3032,1282.0000002384186,0,15
115,0.308,1291.0000002384186,0,17
116,0.3065,1296.0000002384186,0,14
117,0.3034,1307.0000002384186,0,13
118,0.3086,1311.0000002384186,0,17
119,0.3088,1321.0000002384186,0,14
120,0.114,1325.0000002384186,0,14
121,0.3059,1336.0000002384186,0,15
122,0.108,1347.0000002384186,0,15
123,0.3036,1359.0000002384186,0,23
124,0.3011,1375.0000002384186,0,28
125,0.304,1389.0000002384186,0,30
126,0.3054,1400.0000002384186,0,70
127,0.3117,1411.0000002384186,0,28
128,0.2974,1422.0000002384186,0,70
129,0.1154,1433.0000002384186,0,70
130,0.2995,1445.0000002384186,0,70
131,0.3033,1457.0000002384186,0,24
132,0.301,1468.0000002384186,0,70
133,0.3003,1479.0000002384186,0,15
134,0.3057,1490.0000002384186,0,24
135,0.3097,1501.0000002384186,0,70
136,0.3016,1512.0000002384186,0,70
137,0.3077,1523.0000002384186,0,13
138,0.3102,1534.0000002384186,0,70
