round,accuracy,elapsed_time,comm_time,round_time
1,0.01,115.00000071525574,0,115
2,0.0145,350.00000071525574,0,350
3,0.0137,415.00000071525574,0,350
4,0.0571,495.00000071525574,0,350
5,0.1299,650.0000007152557,0,300
6,0.1382,765.0000007152557,0,350
7,0.1573,845.0000007152557,0,350
8,0.1837,1000.0000007152557,0,350
9,0.2047,1115.0000007152557,0,350
10,0.2323,1195.0000007152557,0,350
11,0.2422,1255.0000007152557,0,350
12,0.2564,1545.0000007152557,0,350
13,0.2735,1605.0000007152557,0,350
14,0.2837,1665.0000007152557,0,350
15,0.2926,1840.0000007152557,0,235
16,0.3069,1900.0000007152557,0,350
17,0.3155,1970.0000007152557,0,350
18,0.3181,2025.0000007152557,0,350
19,0.3234,2080.0000007152557,0,90
20,0.3332,2185.0000007152557,0,140
21,0.3493,2245.0000007152557,0,350
22,0.3486,2375.0000007152557,0,350
23,0.3585,2445.0000007152557,0,350
24,0.3616,2595.0000007152557,0,350
25,0.3635,2725.0000007152557,0,350
26,0.368,2785.0000007152557,0,350
27,0.368,2845.0000007152557,0,350
28,0.3767,2910.0000007152557,0,130
29,0.3782,2965.0000007152557,0,350
30,0.3802,3020.0000007152557,0,240
31,0.3815,3075.0000007152557,0,105
32,0.3901,3145.0000007152557,0,350
33,0.3876,3215.0000007152557,0,95
34,0.3958,3280.0000007152557,0,255
35,0.3959,3340.0000007152557,0,275
36,0.3985,3395.0000007152557,0,350
37,0.3978,3450.0000007152557,0,120
38,0.4041,3630.0000007152557,0,350
39,0.4052,3745.0000007152557,0,350
40,0.4047,3805.0000007152557,0,350
41,0.4069,3930.0000007152557,0,300
42,0.412,3990.0000007152557,0,350
43,0.4118,4100.000000715256,0,350
44,0.4151,4160.000000715256,0,350
45,0.4145,4340.000000715256,0,350
46,0.4167,4450.000000715256,0,350
47,0.4203,4510.000000715256,0,350
48,0.4192,4565.000000715256,0,350
49,0.4195,4620.000000715256,0,165
50,0.4234,4690.000000715256,0,350
51,0.4247,4760.000000715256,0,350
52,0.4274,4835.000000715256,0,80
53,0.0265,4900.000000715256,0,350
54,0.3751,4970.000000715256,0,350
55,0.4175,5030.000000715256,0,350
56,0.4266,5100.000000715256,0,350
57,0.4225,5155.000000715256,0,135
58,0.4265,5215.000000715256,0,350
59,0.4297,5275.000000715256,0,350
60,0.4268,5330.000000715256,0,350
61,0.4326,5385.000000715256,0,350
62,0.4345,5440.000000715256,0,65
63,0.4351,5495.000000715256,0,350
64,0.4307,5550.000000715256,0,350
65,0.4296,5605.000000715256,0,70
66,0.4316,5660.000000715256,0,95
67,0.434,5715.000000715256,0,60
68,0.4334,5770.000000715256,0,350
69,0.4363,5825.000000715256,0,105
70,0.4352,5880.000000715256,0,110
71,0.433,5935.000000715256,0,350
72,0.4397,5990.000000715256,0,350
73,0.4381,6045.000000715256,0,350
74,0.4394,6100.000000715256,0,90
75,0.4413,6155.000000715256,0,85
76,0.4378,6210.000000715256,0,130
77,0.439,6270.000000715256,0,350
78,0.441,6385.000000715256,0,350
79,0.4456,6445.000000715256,0,350
80,0.4456,6505.000000715256,0,350
81,0.4381,6565.000000715256,0,350
82,0.4409,6620.000000715256,0,175
83,0.441,6675.000000715256,0,100
84,0.4468,6735.000000715256,0,350
85,0.4437,6795.000000715256,0,75
86,0.4424,6850.000000715256,0,350
87,0.4482,6905.000000715256,0,350
88,0.4473,6960.000000715256,0,350
89,0.4463,7015.000000715256,0,350
90,0.4478,7070.000000715256,0,350
91,0.4456,7125.000000715256,0,65
92,0.4465,7180.000000715256,0,350
93,0.4483,7235.000000715256,0,120
94,0.4453,7290.000000715256,0,255
95,0.4472,7345.000000715256,0,150
96,0.4508,7400.000000715256,0,350
97,0.4482,7455.000000715256,0,75
98,0.4519,7510.000000715256,0,80
99,0.4487,7565.000000715256,0,85
100,0.4488,7620.000000715256,0,275
101,0.4471,7675.000000715256,0,150
102,0.4503,7745.000000715256,0,70
103,0.4475,7825.000000715256,0,165
104,0.4505,7905.000000715256,0,350
105,0.4521,7970.000000715256,0,350
106,0.3673,8035.000000715256,0,350
107,0.4434,8095.000000715256,0,350
108,0.449,8175.000000715256,0,350
109,0.4529,8235.000000715256,0,145
110,0.4538,8295.000000715256,0,350
111,0.4538,8360.000000715256,0,110
112,0.4555,8415.000000715256,0,350
113,0.45,8470.000000715256,0,350
114,0.4519,8525.000000715256,0,350
115,0.454,8580.000000715256,0,145
116,0.4544,8635.000000715256,0,60
117,0.4508,8690.000000715256,0,350
118,0.4539,8745.000000715256,0,150
119,0.4527,8800.000000715256,0,350
120,0.4518,8860.000000715256,0,115
121,0.4549,8915.000000715256,0,285
122,0.4553,8970.000000715256,0,75
123,0.4593,9025.000000715256,0,350
124,0.4582,9065.000000715256,0,350
125,0.4588,9125.000000715256,0,65
126,0.4604,9180.000000715256,0,150
127,0.4593,9240.000000715256,0,150
128,0.462,9300.000000715256,0,115
129,0.4582,9365.000000715256,0,140
130,0.4595,9430.000000715256,0,150
131,0.456,9495.000000715256,0,350
132,0.4624,9560.000000715256,0,350
133,0.4588,9620.000000715256,0,350
134,0.456,9675.000000715256,0,350
135,0.4612,9740.000000715256,0,140
136,0.4601,9795.000000715256,0,350
137,0.4587,9850.000000715256,0,350
138,0.4606,9905.000000715256,0,140
139,0.4572,9965.000000715256,0,145
140,0.461,10020.000000715256,0,350
141,0.4625,10080.000000715256,0,140
142,0.4579,10140.000000715256,0,145
143,0.4661,10200.000000715256,0,175
144,0.4667,10265.000000715256,0,350
