round,accuracy,elapsed_time,comm_time,round_time
1,0.01,65.00000047683716,0,65
2,0.0114,125.00000047683716,0,100
3,0.047,185.00000047683716,0,150
4,0.1127,245.00000047683716,0,100
5,0.0887,305.00000047683716,0,275
6,0.0431,360.00000047683716,0,350
7,0.1738,415.00000047683716,0,115
8,0.1775,470.00000047683716,0,95
9,0.1983,525.0000004768372,0,350
10,0.2281,580.0000004768372,0,95
11,0.2306,635.0000004768372,0,285
12,0.2464,675.0000004768372,0,350
13,0.262,730.0000004768372,0,80
14,0.278,785.0000004768372,0,100
15,0.2846,840.0000004768372,0,80
16,0.3006,880.0000004768372,0,195
17,0.2981,920.0000004768372,0,80
18,0.3192,975.0000004768372,0,65
19,0.3139,1000.0000004768372,0,95
20,0.3344,1040.0000004768372,0,65
21,0.3302,1080.0000004768372,0,80
22,0.342,1105.0000004768372,0,65
23,0.3369,1160.0000004768372,0,80
24,0.3503,1170.0000004768372,0,65
25,0.3476,1225.0000004768372,0,65
26,0.3614,1240.0000004768372,0,80
27,0.3581,1295.0000004768372,0,65
28,0.3647,1350.0000004768372,0,105
29,0.3718,1410.0000004768372,0,65
30,0.3791,1465.0000004768372,0,195
31,0.3807,1520.0000004768372,0,65
32,0.376,1575.0000004768372,0,350
33,0.3853,1630.0000004768372,0,65
34,0.3822,1685.0000004768372,0,340
35,0.3831,1700.0000004768372,0,350
36,0.3872,1755.0000004768372,0,65
37,0.3883,1790.0000004768372,0,105
38,0.3899,1820.0000004768372,0,65
39,0.3931,1855.0000004768372,0,65
40,0.3911,1910.0000004768372,0,65
41,0.3946,1965.0000004768372,0,105
42,0.3949,2015.0000004768372,0,195
43,0.4023,2070.000000476837,0,65
44,0.3987,2095.000000476837,0,105
45,0.4,2135.000000476837,0,65
46,0.4044,2175.000000476837,0,80
47,0.405,2200.000000476837,0,65
48,0.2779,2255.000000476837,0,80
49,0.4048,2265.000000476837,0,65
50,0.4108,2320.000000476837,0,65
51,0.4087,2380.000000476837,0,70
52,0.4097,2440.000000476837,0,65
53,0.41,2500.000000476837,0,165
54,0.4158,2560.000000476837,0,65
55,0.4051,2615.000000476837,0,350
56,0.4144,2670.000000476837,0,65
57,0.4175,2725.000000476837,0,350
58,0.4154,2780.000000476837,0,165
59,0.4186,2835.000000476837,0,75
60,0.426,2890.000000476837,0,65
61,0.4215,2945.000000476837,0,70
62,0.425,3005.000000476837,0,105
63,0.421,3060.000000476837,0,350
64,0.4233,3120.000000476837,0,105
65,0.4181,3175.000000476837,0,350
66,0.4252,3225.000000476837,0,350
67,0.4207,3280.000000476837,0,95
68,0.427,3335.000000476837,0,105
69,0.4302,3390.000000476837,0,95
70,0.4308,3445.000000476837,0,195
71,0.4304,3500.000000476837,0,95
72,0.4357,3555.000000476837,0,350
73,0.4302,3615.000000476837,0,175
74,0.4337,3670.000000476837,0,140
75,0.4319,3730.000000476837,0,155
76,0.4382,3790.000000476837,0,120
77,0.4331,3845.000000476837,0,175
78,0.4369,3900.000000476837,0,350
79,0.4374,3955.000000476837,0,95
80,0.4387,4010.000000476837,0,140
81,0.4342,4050.000000476837,0,350
82,0.4372,4105.000000476837,0,75
83,0.4369,4160.000000476837,0,140
84,0.438,4205.000000476837,0,155
85,0.4399,4260.000000476837,0,90
86,0.4399,4315.000000476837,0,140
87,0.4405,4370.000000476837,0,100
88,0.4388,4425.000000476837,0,195
89,0.439,4480.000000476837,0,100
90,0.445,4535.000000476837,0,70
91,0.4441,4595.000000476837,0,100
92,0.4424,4665.000000476837,0,350
93,0.4464,4725.000000476837,0,350
94,0.4446,4790.000000476837,0,70
95,0.4427,4850.000000476837,0,350
96,0.4469,4905.000000476837,0,350
97,0.4406,4960.000000476837,0,350
98,0.4493,5020.000000476837,0,80
99,0.4509,5075.000000476837,0,100
100,0.4486,5130.000000476837,0,350
101,0.4496,5185.000000476837,0,100
102,0.4543,5240.000000476837,0,90
103,0.452,5295.000000476837,0,350
104,0.4578,5350.000000476837,0,85
105,0.4515,5405.000000476837,0,350
106,0.4523,5460.000000476837,0,155
107,0.4548,5515.000000476837,0,150
108,0.4534,5570.000000476837,0,140
109,0.4535,5625.000000476837,0,65
110,0.4518,5685.000000476837,0,165
111,0.4527,5740.000000476837,0,350
112,0.4533,5800.000000476837,0,60
113,0.4569,5855.000000476837,0,195
114,0.4525,5910.000000476837,0,150
115,0.4552,5970.000000476837,0,350
116,0.4557,6030.000000476837,0,350
117,0.4586,6090.000000476837,0,85
118,0.4539,6160.000000476837,0,105
119,0.4533,6220.000000476837,0,350
120,0.4562,6280.000000476837,0,350
121,0.4548,6350.000000476837,0,350
122,0.4575,6405.000000476837,0,165
123,0.4606,6460.000000476837,0,350
124,0.4581,6520.000000476837,0,350
125,0.4603,6580.000000476837,0,110
126,0.4568,6640.000000476837,0,350
127,0.4594,6720.000000476837,0,110
128,0.4576,6780.000000476837,0,130
129,0.4565,6880.000000476837,0,350
130,0.462,6940.000000476837,0,350
131,0.4612,7000.000000476837,0,80
132,0.4597,7060.000000476837,0,110
133,0.4616,7115.000000476837,0,350
134,0.4603,7170.000000476837,0,350
135,0.4572,7225.000000476837,0,75
136,0.4632,7280.000000476837,0,350
137,0.4617,7335.000000476837,0,225
138,0.4634,7390.000000476837,0,155
139,0.4659,7450.000000476837,0,195
140,0.4632,7505.000000476837,0,150
141,0.4633,7560.000000476837,0,235
142,0.4638,7615.000000476837,0,80
143,0.4675,7675.000000476837,0,150
144,0.4665,7730.000000476837,0,350
145,0.467,7800.000000476837,0,350
146,0.4687,7865.000000476837,0,350
147,0.465,7950.000000476837,0,350
148,0.4693,8015.000000476837,0,350
149,0.4715,8070.000000476837,0,350
150,0.4662,8130.000000476837,0,85
151,0.4646,8185.000000476837,0,350
152,0.4698,8240.000000476837,0,255
153,0.4665,8295.000000476837,0,80
154,0.466,8350.000000476837,0,350
155,0.4695,8405.000000476837,0,350
156,0.4676,8460.000000476837,0,150
157,0.4697,8515.000000476837,0,135
158,0.4675,8555.000000476837,0,240
159,0.4677,8610.000000476837,0,65
160,0.4701,8670.000000476837,0,135
161,0.4751,8725.000000476837,0,150
162,0.4708,8780.000000476837,0,150
163,0.4691,8840.000000476837,0,165
164,0.4682,8905.000000476837,0,350
165,0.4658,8960.000000476837,0,350
166,0.4708,9030.000000476837,0,165
167,0.4678,9090.000000476837,0,350
168,0.4688,9175.000000476837,0,85
169,0.4683,9240.000000476837,0,350
170,0.4692,9295.000000476837,0,350
171,0.467,9350.000000476837,0,80
172,0.471,9405.000000476837,0,150
173,0.4691,9460.000000476837,0,350
174,0.4708,9515.000000476837,0,105
175,0.4697,9570.000000476837,0,145
176,0.471,9625.000000476837,0,120
177,0.4681,9700.000000476837,0,350
178,0.4715,9760.000000476837,0,145
179,0.4677,9815.000000476837,0,350
180,0.4698,9875.000000476837,0,105
181,0.4721,9930.000000476837,0,350
182,0.4695,9985.000000476837,0,350
183,0.4681,10040.000000476837,0,120
184,0.4661,10095.000000476837,0,145
185,0.4683,10150.000000476837,0,105
186,0.4687,10205.000000476837,0,350
187,0.4676,10260.000000476837,0,145
188,0.4709,10315.000000476837,0,175
189,0.474,10370.000000476837,0,90
190,0.4713,10430.000000476837,0,120
