round,accuracy,elapsed_time,comm_time,round_time
1,0.01,115.00000047683716,0,115
2,0.01,350.00000047683716,0,350
3,0.01,410.00000047683716,0,350
4,0.0139,540.0000004768372,0,350
5,0.0988,700.0000004768372,0,350
6,0.0576,760.0000004768372,0,350
7,0.1279,830.0000004768372,0,350
8,0.1525,975.0000004768372,0,350
9,0.1638,1110.0000004768372,0,350
10,0.1874,1180.0000004768372,0,350
11,0.1974,1325.0000004768372,0,350
12,0.214,1460.0000004768372,0,350
13,0.2153,1530.0000004768372,0,350
14,0.2365,1675.0000004768372,0,350
15,0.251,1810.0000004768372,0,350
16,0.2469,1880.0000004768372,0,350
17,0.2596,2025.0000004768372,0,350
18,0.2598,2230.000000476837,0,350
19,0.2788,2365.000000476837,0,350
20,0.2819,2420.000000476837,0,350
21,0.2929,2570.000000476837,0,150
22,0.2956,2635.000000476837,0,350
23,0.3014,2715.000000476837,0,350
24,0.2961,2775.000000476837,0,350
25,0.304,2920.000000476837,0,350
26,0.3188,3035.000000476837,0,350
27,0.3133,3125.000000476837,0,350
28,0.316,3270.000000476837,0,350
29,0.323,3385.000000476837,0,350
30,0.3234,3560.000000476837,0,350
31,0.3314,3630.000000476837,0,350
32,0.3304,3735.000000476837,0,350
33,0.3372,3910.000000476837,0,350
34,0.3428,4065.000000476837,0,350
35,0.3453,4175.000000476837,0,350
36,0.3444,4260.000000476837,0,350
37,0.3517,4415.000000476837,0,350
38,0.3551,4480.000000476837,0,350
39,0.3531,4535.000000476837,0,350
40,0.355,4635.000000476837,0,350
41,0.3575,4830.000000476837,0,350
42,0.3495,4890.000000476837,0,350
43,0.3675,4985.000000476837,0,350
44,0.3567,5130.000000476837,0,350
45,0.3629,5240.000000476837,0,350
46,0.3648,5335.000000476837,0,350
47,0.3693,5480.000000476837,0,350
48,0.3708,5655.000000476837,0,350
49,0.3689,5830.000000476837,0,350
50,0.37,5940.000000476837,0,350
51,0.3716,6005.000000476837,0,350
52,0.3714,6180.000000476837,0,350
53,0.3779,6290.000000476837,0,350
54,0.3698,6355.000000476837,0,350
55,0.3837,6530.000000476837,0,350
56,0.3853,6635.000000476837,0,350
57,0.3838,6695.000000476837,0,350
58,0.3836,6790.000000476837,0,350
59,0.3798,6880.000000476837,0,350
60,0.384,7045.000000476837,0,350
61,0.3813,7230.000000476837,0,350
62,0.3866,7385.000000476837,0,350
63,0.3873,7450.000000476837,0,350
64,0.3953,7580.000000476837,0,350
65,0.3892,7735.000000476837,0,350
66,0.3873,7800.000000476837,0,350
67,0.3954,7930.000000476837,0,350
68,0.39,8085.000000476837,0,350
69,0.3922,8150.000000476837,0,350
70,0.3912,8270.000000476837,0,350
71,0.3964,8435.000000476837,0,350
72,0.3974,8510.000000476837,0,350
73,0.3977,8705.000000476837,0,350
74,0.393,8825.000000476837,0,350
75,0.3959,8880.000000476837,0,350
76,0.3956,8955.000000476837,0,175
77,0.3998,9055.000000476837,0,350
78,0.404,9175.000000476837,0,350
79,0.4007,9230.000000476837,0,350
80,0.4006,9350.000000476837,0,350
81,0.4041,9500.000000476837,0,350
82,0.4041,9580.000000476837,0,350
83,0.4055,9700.000000476837,0,350
84,0.4007,9850.000000476837,0,350
85,0.4084,9930.000000476837,0,350
86,0.4016,10050.000000476837,0,350
87,0.4119,10145.000000476837,0,350
88,0.4134,10225.000000476837,0,350
89,0.4041,10330.000000476837,0,350
90,0.408,10400.000000476837,0,350
91,0.4052,10575.000000476837,0,350
92,0.4211,10680.000000476837,0,350
93,0.4085,10750.000000476837,0,350
94,0.41,10905.000000476837,0,350
95,0.4127,11030.000000476837,0,350
96,0.4095,11100.000000476837,0,350
97,0.4181,11255.000000476837,0,350
98,0.4168,11450.000000476837,0,350
99,0.4096,11505.000000476837,0,350
100,0.4088,11575.000000476837,0,70
