Elapsed time (s),Accuracy (%),Method
0,0.0,Polaris
25,24.39999966272601,Polaris
55,46.50444433562549,Polaris
85,53.06351854761441,Polaris
115,53.665858783529266,Polaris
145,58.10929298001106,Polaris
175,58.389191884416526,Polaris
205,55.97747493806513,Polaris
235,59.43696964904516,Polaris
265,58.50222231653003,Polaris
295,61.944188088311094,Polaris
325,60.60040402176404,Polaris
355,61.98638887347998,Polaris
385,62.78010105340168,Polaris
415,62.75464643911881,Polaris
445,62.772626316764146,Polaris
0,0.0,Polaris
25,21.778888955646092,Polaris
55,49.89760253192388,Polaris
85,52.22606040323623,Polaris
115,54.153333447244435,Polaris
145,59.24555562390221,Polaris
175,62.31222223864661,Polaris
205,60.733939434350134,Polaris
235,61.17515152454376,Polaris
265,63.00129642102454,Polaris
295,62.85212123726354,Polaris
325,62.62505048910777,Polaris
355,61.811919179251696,Polaris
385,63.18444447921985,Polaris
415,62.44676763674225,Polaris
445,62.97878783972576,Polaris
0,0.0,Pisces
25,22.220803536286585,Pisces
55,29.966193607208574,Pisces
85,29.48138735267851,Pisces
115,48.68703682322561,Pisces
145,49.05000019073486,Pisces
175,54.60761900408306,Pisces
205,56.454191784666044,Pisces
235,58.20777782505394,Pisces
265,60.55940169187692,Pisces
295,61.11068374315898,Pisces
325,60.956969591102215,Pisces
355,62.00916664126478,Pisces
385,61.885926102708886,Pisces
415,60.35736113826433,Pisces
445,63.27139913178276,Pisces
0,0.0,Pisces
25,18.557659508533792,Pisces
55,22.7058864588884,Pisces
85,24.73907352774231,Pisces
115,46.033790631543575,Pisces
145,52.4601389027304,Pisces
175,50.43020200999096,Pisces
205,52.03986100865734,Pisces
235,58.3711110136244,Pisces
265,59.493793086083,Pisces
295,60.58632182171518,Pisces
325,60.832020222875805,Pisces
355,60.370277782413694,Pisces
385,61.63574076820303,Pisces
415,62.20350881110856,Pisces
445,63.03412698711668,Pisces
0,0.0,Oort
25,15.22075636006979,Oort
55,24.09877054446696,Oort
85,20.27341834881366,Oort
115,44.3785303686682,Oort
145,50.45965802612468,Oort
175,53.06012915915604,Oort
205,55.56478032194675,Oort
235,56.07378600648401,Oort
265,56.98498572599514,Oort
295,59.227426843085475,Oort
325,59.16982902346173,Oort
355,61.45786321149592,Oort
385,61.199494897669005,Oort
415,63.88858024959211,Oort
445,63.597606843720136,Oort
0,0.0,Oort
25,10.0,Oort
55,10.0,Oort
85,10.627659499645233,Oort
115,20.04255311666651,Oort
145,42.81666637950474,Oort
175,50.06632182176999,Oort
205,52.52370366420275,Oort
235,57.50666662666533,Oort
265,57.30804599370993,Oort
295,58.76946500034489,Oort
325,62.40498086404983,Oort
355,61.11444444047079,Oort
385,65.21586206786935,Oort
415,65.37219511939259,Oort
445,65.69414633890477,Oort
0,0.0,FedBuff
25,14.02874666031934,FedBuff
55,30.1599523340782,FedBuff
85,29.003075585793226,FedBuff
115,51.39387077823761,FedBuff
145,48.92750860046458,FedBuff
175,50.01048029500802,FedBuff
205,57.722856962169935,FedBuff
235,57.40241826227288,FedBuff
265,59.0122221838415,FedBuff
295,58.69505060168228,FedBuff
325,60.17228751351631,FedBuff
355,61.88222218685681,FedBuff
385,61.8132194167868,FedBuff
415,59.98586898943636,FedBuff
445,63.15670241502879,FedBuff
0,0.0,FedBuff
25,19.637919439705833,FedBuff
55,27.27338043261363,FedBuff
85,31.025810600223704,FedBuff
115,49.82716840366309,FedBuff
145,48.19575766166051,FedBuff
175,48.86945936542374,FedBuff
205,53.37904748456819,FedBuff
235,55.659934631196506,FedBuff
265,56.051111101784734,FedBuff
295,60.408080694868104,FedBuff
325,61.05032680654837,FedBuff
355,62.3095834112664,FedBuff
385,62.56783475512453,FedBuff
415,62.681509968799745,FedBuff
445,63.17379927002828,FedBuff
