round,accuracy,elapsed_time,comm_time,round_time
1,0.16313333333333332,13.000000476837158,0,13
2,0.32626666666666665,25.000000476837158,0,20
3,0.4562111111111111,36.00000047683716,0,30
4,0.4993888888888889,51.00000047683716,0,51
5,0.5278111111111111,63.00000047683716,0,55
6,0.46274444444444446,74.00000047683716,0,70
7,0.5636333333333333,85.00000047683716,0,39
8,0.5777888888888889,96.00000047683716,0,70
9,0.5973111111111111,107.00000047683716,0,70
10,0.5949888888888889,118.00000047683716,0,14
11,0.6169555555555556,130.00000047683716,0,15
12,0.6207444444444444,144.00000047683716,0,20
13,0.6039222222222222,155.00000047683716,0,70
14,0.6231888888888889,166.00000047683716,0,15
15,0.6116777777777778,177.00000047683716,0,70
16,0.6346222222222222,188.00000047683716,0,70
17,0.6151333333333333,199.00000047683716,0,15
18,0.6327777777777778,211.00000047683716,0,70
19,0.6140888888888889,224.00000047683716,0,14
20,0.6114222222222222,236.00000047683716,0,70
21,0.6062666666666666,247.00000047683716,0,70
22,0.6278666666666667,258.00000047683716,0,15
23,0.6202555555555556,269.00000047683716,0,70
24,0.6152111111111112,280.00000047683716,0,70
25,0.6313,284.00000047683716,0,70
26,0.6310333333333333,295.00000047683716,0,13
27,0.6322333333333333,300.00000047683716,0,20
28,0.626,308.00000047683716,0,13
29,0.6313,319.00000047683716,0,15
30,0.6322555555555556,323.00000047683716,0,19
31,0.6291,334.00000047683716,0,15
32,0.6355333333333333,345.00000047683716,0,15
33,0.6265666666666667,356.00000047683716,0,11
34,0.6365888888888889,367.00000047683716,0,27
35,0.6319222222222223,378.00000047683716,0,12
36,0.6329555555555556,389.00000047683716,0,23
37,0.6311777777777777,402.00000047683716,0,70
38,0.6324888888888889,414.00000047683716,0,70
39,0.6318555555555555,426.00000047683716,0,70
40,0.6315,438.00000047683716,0,17
41,0.6327,450.00000047683716,0,70
42,0.632,468.00000047683716,0,70
43,0.6331888888888889,496.00000047683716,0,70
44,0.6236888888888888,509.00000047683716,0,70
45,0.6285666666666667,521.0000004768372,0,70
46,0.6373222222222222,533.0000004768372,0,24
47,0.6393333333333333,545.0000004768372,0,70
48,0.6383888888888889,557.0000004768372,0,30
49,0.6379888888888889,569.0000004768372,0,70
50,0.6341666666666667,581.0000004768372,0,70
51,0.6385333333333333,592.0000004768372,0,70
52,0.6352777777777778,603.0000004768372,0,70
53,0.6307111111111111,614.0000004768372,0,70
54,0.6361222222222223,625.0000004768372,0,70
55,0.6356222222222222,636.0000004768372,0,13
