round,accuracy,elapsed_time,comm_time,round_time
1,0.20467777777777776,13.000000715255737,0,13
2,0.37735555555555556,25.000000715255737,0,20
3,0.5151222222222223,37.00000071525574,0,30
4,0.5766111111111111,49.00000071525574,0,20
5,0.5502777777777778,61.00000071525574,0,55
6,0.49317777777777777,72.00000071525574,0,70
7,0.6069111111111111,83.00000071525574,0,14
8,0.6082666666666666,95.00000071525574,0,17
9,0.6134777777777778,106.00000071525574,0,70
10,0.6083555555555555,119.00000071525574,0,70
11,0.6009333333333333,142.00000071525574,0,70
12,0.6174111111111111,154.00000071525574,0,70
13,0.6098666666666667,166.00000071525574,0,70
14,0.6205,177.00000071525574,0,70
15,0.6055888888888888,189.00000071525574,0,21
16,0.6125888888888888,201.00000071525574,0,70
17,0.6184,213.00000071525574,0,70
18,0.6203222222222222,224.00000071525574,0,70
19,0.6179666666666667,235.00000071525574,0,13
20,0.6120555555555556,247.00000071525574,0,17
21,0.6201222222222222,259.00000071525574,0,70
22,0.6137555555555556,272.00000071525574,0,21
23,0.6187222222222222,283.00000071525574,0,70
24,0.6179222222222223,297.00000071525574,0,14
25,0.6188333333333333,309.00000071525574,0,70
26,0.6175777777777778,321.00000071525574,0,70
27,0.6165555555555555,333.00000071525574,0,19
28,0.6153555555555555,344.00000071525574,0,70
29,0.6098555555555556,355.00000071525574,0,21
30,0.6208444444444444,366.00000071525574,0,57
31,0.6145222222222222,377.00000071525574,0,24
32,0.6184777777777778,391.00000071525574,0,70
33,0.6191,404.00000071525574,0,70
34,0.6180888888888889,416.00000071525574,0,70
35,0.6178555555555556,427.00000071525574,0,70
36,0.6174888888888889,438.00000071525574,0,70
37,0.6191555555555556,449.00000071525574,0,70
38,0.6171777777777778,460.00000071525574,0,16
39,0.6206,472.00000071525574,0,70
40,0.6202111111111112,530.0000007152557,0,70
41,0.6207111111111111,542.0000007152557,0,70
42,0.6192777777777778,553.0000007152557,0,70
43,0.6178,565.0000007152557,0,31
44,0.6211666666666666,595.0000007152557,0,39
45,0.6219333333333333,617.0000007152557,0,70
46,0.6203666666666666,635.0000007152557,0,70
47,0.6221,646.0000007152557,0,70
48,0.6195333333333334,665.0000007152557,0,70
49,0.6219888888888889,676.0000007152557,0,70
50,0.6209,687.0000007152557,0,70
