round,accuracy,elapsed_time,comm_time,round_time
1,0.20295555555555556,13.000000476837158,0,13
2,0.2851888888888889,25.000000476837158,0,20
3,0.43683333333333335,37.00000047683716,0,30
4,0.47713333333333335,51.00000047683716,0,51
5,0.49573333333333336,64.00000047683716,0,55
6,0.4638,76.00000047683716,0,70
7,0.5589333333333333,88.00000047683716,0,14
8,0.5592222222222222,99.00000047683716,0,70
9,0.5665444444444444,110.00000047683716,0,70
10,0.5927555555555556,121.00000047683716,0,26
11,0.5996444444444444,132.00000047683716,0,70
12,0.6110111111111111,143.00000047683716,0,30
13,0.6182333333333333,154.00000047683716,0,70
14,0.6218111111111111,169.00000047683716,0,70
15,0.6239444444444444,181.00000047683716,0,70
16,0.6100444444444444,192.00000047683716,0,70
17,0.6249555555555556,204.00000047683716,0,18
18,0.6196,216.00000047683716,0,70
19,0.6177777777777778,229.00000047683716,0,70
20,0.6302444444444445,240.00000047683716,0,70
21,0.6246666666666667,251.00000047683716,0,70
22,0.6295,262.00000047683716,0,70
23,0.6192333333333333,274.00000047683716,0,70
24,0.6250666666666667,286.00000047683716,0,33
25,0.6328333333333334,298.00000047683716,0,70
26,0.6182222222222222,309.00000047683716,0,70
27,0.6317555555555555,322.00000047683716,0,70
28,0.6279555555555556,335.00000047683716,0,21
29,0.6232222222222222,347.00000047683716,0,70
30,0.6328222222222222,365.00000047683716,0,70
31,0.6271,379.00000047683716,0,70
32,0.6293111111111112,392.00000047683716,0,70
33,0.6281888888888889,404.00000047683716,0,70
34,0.6340555555555556,416.00000047683716,0,70
35,0.6357111111111111,427.00000047683716,0,70
36,0.6275444444444445,438.00000047683716,0,70
37,0.6367666666666667,449.00000047683716,0,16
38,0.6378,461.00000047683716,0,18
39,0.6308222222222222,472.00000047683716,0,70
40,0.6355222222222222,483.00000047683716,0,70
41,0.6323444444444445,494.00000047683716,0,20
42,0.6396111111111111,506.00000047683716,0,21
43,0.6273777777777778,517.0000004768372,0,70
44,0.6386555555555555,529.0000004768372,0,16
45,0.6331777777777777,541.0000004768372,0,70
46,0.6276555555555555,556.0000004768372,0,70
47,0.6240222222222223,570.0000004768372,0,70
48,0.6313111111111112,599.0000004768372,0,70
49,0.6355777777777778,611.0000004768372,0,70
50,0.6390222222222223,623.0000004768372,0,70
51,0.6362111111111111,634.0000004768372,0,70
52,0.6140333333333333,645.0000004768372,0,70
53,0.6241888888888889,656.0000004768372,0,16
54,0.6274222222222222,667.0000004768372,0,20
55,0.6387222222222222,678.0000004768372,0,16
56,0.6381,695.0000004768372,0,70
57,0.6364666666666666,706.0000004768372,0,70
58,0.6356333333333334,722.0000004768372,0,16
59,0.6331888888888889,734.0000004768372,0,70
60,0.6315111111111111,748.0000004768372,0,70
61,0.6337222222222222,760.0000004768372,0,29
62,0.6346777777777778,772.0000004768372,0,70
63,0.6412111111111111,783.0000004768372,0,70
64,0.6384555555555556,796.0000004768372,0,70
65,0.6383777777777778,807.0000004768372,0,70
66,0.6356222222222222,818.0000004768372,0,21
67,0.6336111111111111,830.0000004768372,0,70
68,0.6396222222222222,841.0000004768372,0,70
69,0.6387777777777778,852.0000004768372,0,12
70,0.6394555555555556,863.0000004768372,0,70
71,0.6371111111111111,874.0000004768372,0,14
72,0.6426888888888889,885.0000004768372,0,70
73,0.634,888.0000004768372,0,70
74,0.6432,899.0000004768372,0,13
75,0.6376111111111111,910.0000004768372,0,15
76,0.64,921.0000004768372,0,27
77,0.6400666666666667,932.0000004768372,0,26
78,0.6396666666666667,943.0000004768372,0,14
79,0.6352777777777778,955.0000004768372,0,45
80,0.6368333333333334,967.0000004768372,0,70
81,0.6420333333333333,978.0000004768372,0,70
