Elapsed time (s),Accuracy (%),Method
0,0.0,Polaris
351,5.9433565358350045,Polaris
391,6.521192859821853,Polaris
431,7.463818555965389,Polaris
471,8.953628337522884,Polaris
511,10.443438119080378,Polaris
551,11.933247900637872,Polaris
591,12.39972732281773,Polaris
631,11.940336375586803,Polaris
671,11.480945428355877,Polaris
711,11.330806982684786,Polaris
751,11.995970635328652,Polaris
791,12.755130554652913,Polaris
831,13.655284881001034,Polaris
871,14.555439207349155,Polaris
911,15.455593533697275,Polaris
951,16.137693665573938,Polaris
991,16.756487736663306,Polaris
1031,17.37528180775267,Polaris
1071,18.523768388520317,Polaris
1111,20.151500596192083,Polaris
1151,20.77166106214457,Polaris
1191,21.281719172538974,Polaris
1231,22.93183669544395,Polaris
1271,24.555113656746126,Polaris
1311,25.131608203596123,Polaris
1351,25.986280987690108,Polaris
1391,26.99074206122587,Polaris
1431,27.99520313476163,Polaris
1471,28.999664208297393,Polaris
1511,29.49967165837212,Polaris
1551,29.943628698415914,Polaris
1591,30.38758573845971,Polaris
1631,30.812074171443893,Polaris
1671,31.18523627365657,Polaris
1711,31.55839837586924,Polaris
1751,31.93156047808191,Polaris
1791,32.785013018194455,Polaris
1831,33.74014784154099,Polaris
1871,33.80598051737461,Polaris
1911,33.871813193208226,Polaris
1951,33.937645869041845,Polaris
1991,34.28327568125179,Polaris
2031,34.88205529561787,Polaris
2071,35.48083490998394,Polaris
2111,36.07961452435002,Polaris
2151,37.06912264322457,Polaris
2191,38.0347788299445,Polaris
2231,38.89953568737706,Polaris
2271,39.764292544809614,Polaris
2311,40.62904940224218,Polaris
2351,41.885126417654455,Polaris
2391,42.93414520990473,Polaris
2431,42.166049080965315,Polaris
2471,41.478749942774584,Polaris
2511,41.24930046163421,Polaris
2551,41.769822985095395,Polaris
2591,42.69417660911803,Polaris
2631,43.66215761011191,Polaris
2671,44.87736043705744,Polaris
2711,45.49205617007336,Polaris
2751,44.523596742615666,Polaris
2791,43.55513731515797,Polaris
2831,44.84248331260062,Polaris
2871,46.38047439045355,Polaris
2911,44.14805708799576,Polaris
2951,43.52035063563022,Polaris
2991,44.7235613294151,Polaris
3031,45.92677202319997,Polaris
3071,46.26342803864846,Polaris
3111,45.81605835526603,Polaris
3151,45.65747413388452,Polaris
3191,47.13534101684566,Polaris
3231,48.613207899806795,Polaris
3271,49.96266447830256,Polaris
3311,51.119505590532945,Polaris
3351,50.32194266387068,Polaris
3391,49.82979512209737,Polaris
3431,50.71533594644704,Polaris
3471,51.6008767707967,Polaris
3511,51.90690907436585,Polaris
3551,51.34367855358748,Polaris
3591,50.78044803280911,Polaris
3631,50.49006112717815,Polaris
3671,50.60893966459673,Polaris
3711,50.72781820201532,Polaris
3751,50.1538590827659,Polaris
3791,49.060296408705916,Polaris
3831,52.14946991088848,Polaris
3871,54.17755667485551,Polaris
3911,53.40823277990203,Polaris
3951,52.63890888494854,Polaris
3991,52.829439879001264,Polaris
4031,53.53681584037061,Polaris
4071,54.269966892883424,Polaris
4111,55.010601036884964,Polaris
4151,55.22983781160612,Polaris
4191,54.074481439671814,Polaris
4231,53.461154484124684,Polaris
4271,53.33823511922806,Polaris
4311,53.588094203198914,Polaris
4351,54.17522904274418,Polaris
4391,54.76043314977122,Polaris
4431,55.27033865176191,Polaris
4471,55.7802441537526,Polaris
