round,accuracy,elapsed_time,comm_time,round_time
1,0.05414448122031947,115.00000023841858,0,115
2,0.06690411090324747,350.0000002384186,0,350
3,0.07690554995922674,405.0000002384186,0,350
4,0.1112869957308006,465.0000002384186,0,350
5,0.13119393677747399,650.0000002384186,0,350
6,0.17554084520554517,755.0000002384186,0,350
7,0.18212452631074016,815.0000002384186,0,350
8,0.20777569914136326,1000.0000002384186,0,350
9,0.23074063414400153,1105.0000002384186,0,350
10,0.2431045234326282,1165.0000002384186,0,350
11,0.28507698949489135,1255.0000002384186,0,350
12,0.29911977742600854,1515.0000002384186,0,350
13,0.33729073727634673,1605.0000002384186,0,350
14,0.3530843766489183,1660.0000002384186,0,350
15,0.36847028349402794,1840.0000002384186,0,235
16,0.3683143857629395,1900.0000002384186,0,350
17,0.41712236772677125,1975.0000002384186,0,350
18,0.3996498297117091,2030.0000002384186,0,350
19,0.4239099150956972,2085.0000002384186,0,85
20,0.4170983834604499,2160.0000002384186,0,140
21,0.4424737372283782,2250.0000002384186,0,350
22,0.44403271453926224,2380.0000002384186,0,350
23,0.4486976543387538,2450.0000002384186,0,350
24,0.4697198637693673,2600.0000002384186,0,350
25,0.489039190291169,2730.0000002384186,0,350
26,0.47202235333621145,2795.0000002384186,0,350
27,0.5177123806782751,2850.0000002384186,0,350
28,0.4982971170911882,2915.0000002384186,0,130
29,0.4903823092051614,2970.0000002384186,0,350
30,0.5003957403943013,3025.0000002384186,0,275
31,0.5366959274715787,3080.0000002384186,0,75
32,0.5422602772581187,3135.0000002384186,0,150
33,0.5494315728881853,3190.0000002384186,0,350
34,0.4993764090756464,3245.0000002384186,0,120
35,0.5533410082985561,3300.0000002384186,0,80
36,0.4896627812155226,3355.0000002384186,0,80
37,0.5476327529140883,3410.0000002384186,0,145
38,0.5724684606897875,3465.0000002384186,0,235
39,0.5537127644265362,3520.0000002384186,0,350
40,0.5650932987959898,3575.0000002384186,0,65
41,0.5519259365855999,3630.0000002384186,0,85
42,0.5423442221902433,3685.0000002384186,0,155
43,0.5612558161845829,3740.0000002384186,0,350
44,0.5376792823907517,3795.0000002384186,0,350
45,0.5642178730752626,3850.0000002384186,0,75
46,0.5753585647815034,3905.0000002384186,0,120
47,0.5397299371612222,3960.0000002384186,0,350
48,0.5781647239410946,4015.0000002384186,0,350
49,0.5710054204441886,4050.0000002384186,0,145
50,0.5778529284789178,4095.0000002384186,0,80
51,0.5554036552021874,4150.000000238419,0,75
52,0.5742912649302058,4205.000000238419,0,70
53,0.5966206168753297,4260.000000238419,0,150
54,0.5920755984074447,4315.000000238419,0,155
55,0.6118386338561903,4370.000000238419,0,115
56,0.6143569818199262,4425.000000238419,0,350
57,0.611239027198158,4495.000000238419,0,350
58,0.5853719959706433,4555.000000238419,0,350
59,0.5876624934043267,4610.000000238419,0,155
60,0.5914400153499304,4665.000000238419,0,350
61,0.5668801266369262,4720.000000238419,0,350
62,0.6070537727250923,4775.000000238419,0,350
63,0.5901448649685807,4830.000000238419,0,350
64,0.5969444044706672,4885.000000238419,0,140
65,0.6078932220463376,4940.000000238419,0,150
66,0.5998465006955437,4995.000000238419,0,350
67,0.61999328440543,5050.000000238419,0,140
68,0.6169113061831438,5105.000000238419,0,150
69,0.6232431524919653,5160.000000238419,0,350
70,0.6165395500551638,5215.000000238419,0,350
71,0.6229913176955917,5270.000000238419,0,350
72,0.6200532450712333,5325.000000238419,0,65
73,0.6145848323499784,5380.000000238419,0,60
74,0.6180145824339234,5435.000000238419,0,300
75,0.6235909243536241,5490.000000238419,0,70
76,0.620472969731856,5545.000000238419,0,285
77,0.6319374490334341,5600.000000238419,0,350
78,0.6209406629251211,5655.000000238419,0,350
79,0.6399362018515854,5710.000000238419,0,85
80,0.632009401832398,5765.000000238419,0,235
81,0.6480668681345038,5820.000000238419,0,350
82,0.6432460306039238,5875.000000238419,0,90
83,0.6555019906941046,5930.000000238419,0,150
84,0.6291432820070034,5985.000000238419,0,350
85,0.651484626085288,6040.000000238419,0,165
86,0.6550822660334821,6095.000000238419,0,150
87,0.6462800402935674,6150.000000238419,0,350
88,0.6309061255816184,6205.000000238419,0,70
89,0.6547824627044658,6260.000000238419,0,350
90,0.6524080203386579,6315.000000238419,0,70
91,0.6512687676883964,6370.000000238419,0,110
92,0.653523288722598,6425.000000238419,0,350
93,0.6577685038614669,6480.000000238419,0,80
94,0.6482227658655921,6535.000000238419,0,350
95,0.6630810188516333,6590.000000238419,0,150
96,0.6483786635966806,6645.000000238419,0,60
97,0.6666306902671847,6700.000000238419,0,85
98,0.6540269583153452,6755.000000238419,0,350
99,0.6590636542428168,6810.000000238419,0,350
100,0.6328608432868038,6865.000000238419,0,60
101,0.669844581954238,6920.000000238419,0,350
102,0.6444332517868279,6975.000000238419,0,155
103,0.6658991701443853,7030.000000238419,0,90
104,0.6536432100542044,7085.000000238419,0,150
105,0.6726867175133112,7140.000000238419,0,350
106,0.6553700772293376,7195.000000238419,0,350
107,0.6727226939127932,7250.000000238419,0,150
108,0.6502134599702595,7305.000000238419,0,350
109,0.6611502854127692,7360.000000238419,0,90
110,0.6565812826785629,7415.000000238419,0,150
111,0.6625893413920468,7470.000000238419,0,155
112,0.6394685086583202,7525.000000238419,0,350
113,0.6676979901184823,7580.000000238419,0,350
114,0.6360987192401785,7625.000000238419,0,350
115,0.6594234182376361,7680.000000238419,0,80
116,0.6668345565309157,7735.000000238419,0,150
117,0.6655513982827266,7790.000000238419,0,80
118,0.6591356070417806,7845.000000238419,0,145
119,0.6685134551734062,7900.000000238419,0,150
120,0.6701923538158968,7955.000000238419,0,120
121,0.6733942533697894,8010.000000238419,0,350
122,0.6762483810620233,8065.000000238419,0,150
123,0.6728186309780784,8120.000000238419,0,80
124,0.6700604403511297,8175.000000238419,0,350
125,0.6757926800019187,8230.000000238419,0,350
126,0.6675301002542332,8285.000000238419,0,90
127,0.6622655537967094,8340.000000238419,0,80
128,0.6710198110039813,8395.000000238419,0,150
129,0.6649278073583729,8450.000000238419,0,340
130,0.66468796469516,8505.000000238419,0,350
131,0.6711037559361059,8550.000000238419,0,155
132,0.6715114884635679,8605.000000238419,0,90
133,0.6774835707775699,8660.000000238419,0,80
134,0.6765122079915575,8715.000000238419,0,150
135,0.6705401256775555,8770.000000238419,0,140
136,0.6685374394397275,8825.000000238419,0,105
137,0.6839113541516765,8880.000000238419,0,350
138,0.6520482563438385,8935.000000238419,0,140
139,0.677579507842855,8990.000000238419,0,80
140,0.672830623111239,9045.000000238419,0,150
141,0.6885523096848467,9100.000000238419,0,140
142,0.6499376409075647,9155.000000238419,0,350
143,0.6863097807838058,9210.000000238419,0,150
144,0.6865136470475368,9265.000000238419,0,350
145,0.6876049311651556,9325.000000238419,0,80
146,0.6825322588382021,9380.000000238419,0,155
147,0.6852544730656689,9435.000000238419,0,350
148,0.6819566364464911,9490.000000238419,0,350
149,0.6803257063366431,9545.000000238419,0,350
150,0.6824243296397563,9600.000000238419,0,235
