Elapsed time (s),Accuracy (%),Alpha
0.0,0.0,$\gamma=0.01$
66.0,4.968240831820871,$\gamma=0.01$
86.0,5.014210675603347,$\gamma=0.01$
106.0,5.060180519385824,$\gamma=0.01$
126.0,5.161334109968504,$\gamma=0.01$
146.0,6.310979942302494,$\gamma=0.01$
166.0,7.460625774636484,$\gamma=0.01$
186.0,8.656124560598458,$\gamma=0.01$
206.0,10.722830340068665,$\gamma=0.01$
226.0,12.789536119538871,$\gamma=0.01$
246.0,14.856241899009076,$\gamma=0.01$
266.0,15.711533207856085,$\gamma=0.01$
286.0,16.263970808789875,$\gamma=0.01$
306.0,16.816408409723664,$\gamma=0.01$
326.0,16.94032714459206,$\gamma=0.01$
346.0,16.957116131016964,$\gamma=0.01$
366.0,16.973905117441866,$\gamma=0.01$
386.0,17.54201240617777,$\gamma=0.01$
406.0,18.24794931156783,$\gamma=0.01$
426.0,18.953886216957894,$\gamma=0.01$
446.0,19.26026811140895,$\gamma=0.01$
466.0,19.466761223356084,$\gamma=0.01$
486.0,19.67325433530322,$\gamma=0.01$
506.0,19.879747447250352,$\gamma=0.01$
526.0,20.08624055919749,$\gamma=0.01$
546.0,20.180380132066187,$\gamma=0.01$
566.0,20.182594064342,$\gamma=0.01$
586.0,20.184807996617813,$\gamma=0.01$
606.0,20.53736743113708,$\gamma=0.01$
626.0,21.70739988984417,$\gamma=0.01$
646.0,22.877432348551256,$\gamma=0.01$
666.0,23.8345145365057,$\gamma=0.01$
686.0,24.294712646545513,$\gamma=0.01$
706.0,24.75491075658533,$\gamma=0.01$
726.0,25.215108866625147,$\gamma=0.01$
746.0,25.728641980419564,$\gamma=0.01$
766.0,26.366623464565965,$\gamma=0.01$
786.0,27.004604948712362,$\gamma=0.01$
806.0,27.58642899129805,$\gamma=0.01$
826.0,28.122306027390948,$\gamma=0.01$
846.0,28.65818306348384,$\gamma=0.01$
866.0,29.171075535519396,$\gamma=0.01$
886.0,29.247260852069388,$\gamma=0.01$
906.0,29.323446168619384,$\gamma=0.01$
926.0,29.39963148516937,$\gamma=0.01$
946.0,29.47581680171936,$\gamma=0.01$
966.0,30.110056461693663,$\gamma=0.01$
986.0,30.88380974910234,$\gamma=0.01$
1006.0,31.65756303651102,$\gamma=0.01$
1026.0,32.431316323919695,$\gamma=0.01$
1046.0,33.205069611328376,$\gamma=0.01$
1066.0,33.94114915064417,$\gamma=0.01$
1086.0,33.961426757624906,$\gamma=0.01$
1106.0,33.98170436460563,$\gamma=0.01$
1126.0,34.00198197158637,$\gamma=0.01$
1146.0,34.022259578567095,$\gamma=0.01$
1166.0,34.04253718554782,$\gamma=0.01$
1186.0,34.53446534884578,$\gamma=0.01$
1206.0,35.41228949620511,$\gamma=0.01$
1226.0,36.29011364356444,$\gamma=0.01$
1246.0,36.110163182727824,$\gamma=0.01$
1266.0,35.66576899103186,$\gamma=0.01$
1286.0,35.2213747993359,$\gamma=0.01$
1306.0,35.02911479484038,$\gamma=0.01$
1326.0,35.42516802739809,$\gamma=0.01$
1346.0,35.821221259955784,$\gamma=0.01$
1366.0,36.217274492513496,$\gamma=0.01$
1386.0,36.6133277250712,$\gamma=0.01$
1406.0,37.0093809576289,$\gamma=0.01$
1426.0,37.1605027125718,$\gamma=0.01$
1446.0,37.111225947220774,$\gamma=0.01$
1466.0,37.06194918186975,$\gamma=0.01$
1486.0,37.01267241651873,$\gamma=0.01$
1506.0,36.963395651167716,$\gamma=0.01$
1526.0,36.979218495970194,$\gamma=0.01$
1546.0,38.23193517536697,$\gamma=0.01$
1566.0,39.48465185476375,$\gamma=0.01$
1586.0,40.73736853416053,$\gamma=0.01$
1606.0,40.75478487502656,$\gamma=0.01$
1626.0,40.463376039222844,$\gamma=0.01$
1646.0,40.17196720341913,$\gamma=0.01$
1666.0,40.221134929077834,$\gamma=0.01$
1686.0,40.35544682047707,$\gamma=0.01$
1706.0,40.51306703573634,$\gamma=0.01$
1726.0,41.11354584890763,$\gamma=0.01$
1746.0,41.71402466207892,$\gamma=0.01$
1766.0,42.029439613392086,$\gamma=0.01$
1786.0,41.67970540267068,$\gamma=0.01$
1806.0,41.32997119194928,$\gamma=0.01$
1826.0,41.70112401679232,$\gamma=0.01$
1846.0,42.662093620732136,$\gamma=0.01$
1866.0,43.62306322467195,$\gamma=0.01$
1886.0,44.31952944270287,$\gamma=0.01$
1906.0,44.79958375784137,$\gamma=0.01$
1926.0,45.279638072979864,$\gamma=0.01$
1946.0,45.89221466319748,$\gamma=0.01$
1966.0,46.81400996547918,$\gamma=0.01$
1986.0,47.73580526776088,$\gamma=0.01$
2006.0,48.45235063126282,$\gamma=0.01$
2026.0,48.689979362199935,$\gamma=0.01$
2046.0,48.92760809313707,$\gamma=0.01$
2066.0,49.12457430672062,$\gamma=0.01$
2086.0,48.548951915009575,$\gamma=0.01$
2106.0,47.97332952329853,$\gamma=0.01$
2126.0,47.817911410746866,$\gamma=0.01$
2146.0,48.642970172199355,$\gamma=0.01$
2166.0,49.468028933651844,$\gamma=0.01$
2186.0,49.14544065112877,$\gamma=0.01$
2206.0,47.88386824262876,$\gamma=0.01$
2226.0,46.622295834128735,$\gamma=0.01$
2246.0,47.00770109186592,$\gamma=0.01$
2266.0,47.80485088887181,$\gamma=0.01$
2286.0,48.615867939362246,$\gamma=0.01$
2306.0,49.69036307055618,$\gamma=0.01$
2326.0,50.764858201750116,$\gamma=0.01$
2346.0,51.55756005233718,$\gamma=0.01$
2366.0,51.69274409887537,$\gamma=0.01$
2386.0,51.82792814541357,$\gamma=0.01$
2406.0,51.38677032221859,$\gamma=0.01$
2426.0,50.47405996930101,$\gamma=0.01$
2446.0,49.56134961638344,$\gamma=0.01$
2466.0,50.13897787608297,$\gamma=0.01$
2486.0,51.089190899975655,$\gamma=0.01$
2506.0,52.01781628777691,$\gamma=0.01$
2526.0,52.53627617808887,$\gamma=0.01$
2546.0,53.05473606840082,$\gamma=0.01$
2566.0,53.4924362868538,$\gamma=0.01$
2586.0,52.3957011996165,$\gamma=0.01$
2606.0,51.298966112379176,$\gamma=0.01$
2626.0,50.69321068257807,$\gamma=0.01$
2646.0,51.23307471359191,$\gamma=0.01$
2666.0,51.772938744605746,$\gamma=0.01$
2686.0,52.38435583060795,$\gamma=0.01$
2706.0,53.05431633651608,$\gamma=0.01$
2726.0,53.7242768424242,$\gamma=0.01$
2746.0,53.82764907939087,$\gamma=0.01$
2766.0,53.46744900700199,$\gamma=0.01$
2786.0,53.10724893461312,$\gamma=0.01$
2806.0,53.24731702011116,$\gamma=0.01$
2826.0,53.51245218235382,$\gamma=0.01$
2846.0,53.78361792823316,$\gamma=0.01$
2866.0,54.169364878233964,$\gamma=0.01$
2886.0,54.55511182823476,$\gamma=0.01$
2906.0,54.90599768038372,$\gamma=0.01$
2926.0,54.594522008424526,$\gamma=0.01$
2946.0,54.28304633646533,$\gamma=0.01$
2966.0,53.97157066450614,$\gamma=0.01$
2986.0,53.907756487215885,$\gamma=0.01$
3006.0,54.4218192620356,$\gamma=0.01$
3026.0,54.93588203685532,$\gamma=0.01$
3046.0,55.41684652941248,$\gamma=0.01$
3066.0,55.82058167915426,$\gamma=0.01$
3086.0,56.22431682889603,$\gamma=0.01$
3106.0,56.49829711846358,$\gamma=0.01$
3126.0,56.46951599887803,$\gamma=0.01$
3146.0,56.44073487929248,$\gamma=0.01$
3166.0,56.696527034377354,$\gamma=0.01$
3186.0,57.61632364779895,$\gamma=0.01$
3206.0,58.536120261220546,$\gamma=0.01$
3226.0,58.923466246940194,$\gamma=0.01$
3246.0,58.06842715258609,$\gamma=0.01$
3266.0,57.213388058231985,$\gamma=0.01$
3286.0,56.73060184963514,$\gamma=0.01$
3306.0,57.11640590503194,$\gamma=0.01$
3326.0,57.50220996042874,$\gamma=0.01$
3346.0,57.88801401582555,$\gamma=0.01$
3366.0,58.27381807122235,$\gamma=0.01$
3386.0,58.621344416182794,$\gamma=0.01$
3406.0,58.241593532762316,$\gamma=0.01$
3426.0,57.861842649341845,$\gamma=0.01$
3446.0,57.53837479054628,$\gamma=0.01$
3466.0,58.284285473138496,$\gamma=0.01$
3486.0,59.03019615573072,$\gamma=0.01$
3506.0,59.72671019874867,$\gamma=0.01$
3526.0,59.48468714768834,$\gamma=0.01$
3546.0,59.24266409662802,$\gamma=0.01$
3566.0,59.18235453988662,$\gamma=0.01$
3586.0,59.54604323283132,$\gamma=0.01$
3606.0,59.909731925776036,$\gamma=0.01$
3626.0,60.1690890692684,$\gamma=0.01$
3646.0,60.34308401949014,$\gamma=0.01$
3666.0,60.51707896971189,$\gamma=0.01$
3686.0,59.56948247808806,$\gamma=0.01$
3706.0,58.34148804243785,$\gamma=0.01$
3726.0,57.236707206538014,$\gamma=0.01$
3746.0,58.47298711600831,$\gamma=0.01$
3766.0,59.70926702547862,$\gamma=0.01$
3786.0,60.651138555230055,$\gamma=0.01$
3806.0,60.906057042987804,$\gamma=0.01$
3826.0,60.788272913139174,$\gamma=0.01$
3846.0,60.365550219226385,$\gamma=0.01$
3866.0,60.1811291787552,$\gamma=0.01$
3886.0,60.19168225593656,$\gamma=0.01$
3906.0,60.195951461334516,$\gamma=0.01$
3926.0,60.08082698299232,$\gamma=0.01$
3946.0,59.778145558278325,$\gamma=0.01$
3966.0,59.32200842060428,$\gamma=0.01$
3986.0,58.86587128293023,$\gamma=0.01$
4006.0,60.412700599278544,$\gamma=0.01$
4026.0,62.256679714695196,$\gamma=0.01$
4046.0,60.232407637178056,$\gamma=0.01$
4066.0,59.69779821172626,$\gamma=0.01$
4086.0,60.382003918237324,$\gamma=0.01$
4106.0,61.06620962474839,$\gamma=0.01$
4126.0,59.769162290313595,$\gamma=0.01$
4146.0,60.78173440664164,$\gamma=0.01$
4166.0,61.7943065229697,$\gamma=0.01$
4186.0,61.7745959063258,$\gamma=0.01$
4206.0,60.91029016362028,$\gamma=0.01$
4226.0,60.04598442091478,$\gamma=0.01$
4246.0,60.57049843870287,$\gamma=0.01$
4266.0,61.442217500089505,$\gamma=0.01$
4286.0,62.17997365988958,$\gamma=0.01$
4306.0,60.372432134403034,$\gamma=0.01$
4326.0,58.56489060891648,$\gamma=0.01$
4346.0,57.814008474080694,$\gamma=0.01$
4366.0,59.528665477268426,$\gamma=0.01$
4386.0,61.24332248045615,$\gamma=0.01$
4406.0,61.7510913069908,$\gamma=0.01$
4426.0,61.27140598056494,$\gamma=0.01$
