round,accuracy,elapsed_time,comm_time,round_time
1,0.049767352616683455,65.00000047683716,0,65
2,0.04964743128507699,125.00000047683716,0,100
3,0.07804480260948818,210.00000047683716,0,150
4,0.08194224588669832,275.00000047683716,0,275
5,0.10670600086343358,350.00000047683716,0,350
6,0.1240466254137286,415.00000047683716,0,350
7,0.14607617402983641,475.00000047683716,0,350
8,0.16372859404230825,585.0000004768372,0,350
9,0.1947642346620617,695.0000004768372,0,350
10,0.19398474600661966,765.0000004768372,0,350
11,0.22410898450616396,825.0000004768372,0,350
12,0.2467861083129467,925.0000004768372,0,340
13,0.2595097615963928,985.0000004768372,0,350
14,0.26982299611454885,1100.0000004768372,0,350
15,0.2875113925265026,1175.0000004768372,0,350
16,0.3053077181369022,1260.0000004768372,0,110
17,0.3213172159063654,1320.0000004768372,0,350
18,0.3367750755504389,1380.0000004768372,0,350
19,0.3271573847556003,1485.0000004768372,0,350
20,0.3898282726531395,1540.0000004768372,0,350
21,0.3988463567899458,1610.0000004768372,0,350
22,0.3911593994339713,1665.0000004768372,0,350
23,0.3963999616251739,1725.0000004768372,0,350
24,0.42098383460449945,1785.0000004768372,0,350
25,0.42733966517964217,1840.0000004768372,0,350
26,0.4625125917398187,1895.0000004768372,0,60
27,0.48349882477095024,1950.0000004768372,0,70
28,0.48907516669065093,2010.0000004768372,0,350
29,0.48795989830671077,2065.000000476837,0,350
30,0.484254329160071,2135.000000476837,0,350
31,0.5174485537487409,2195.000000476837,0,350
32,0.49980812586942963,2250.000000476837,0,150
33,0.48666474792536096,2305.000000476837,0,350
34,0.5005036695927472,2360.000000476837,0,350
35,0.49144960905645896,2415.000000476837,0,350
36,0.5129035352808557,2470.000000476837,0,60
37,0.5189475703938217,2525.000000476837,0,275
38,0.5437952703026815,2605.000000476837,0,350
39,0.5344174221710558,2665.000000476837,0,350
40,0.5198709646471914,2720.000000476837,0,350
41,0.532846452727011,2780.000000476837,0,350
42,0.5258790233606754,2845.000000476837,0,350
43,0.5362881949441166,2905.000000476837,0,350
44,0.5114165107689356,2975.000000476837,0,130
45,0.5555235765337938,3035.000000476837,0,350
46,0.5586535232887226,3090.000000476837,0,350
47,0.5549839305415647,3145.000000476837,0,150
48,0.5712092867079196,3200.000000476837,0,350
49,0.5561111910586655,3255.000000476837,0,350
50,0.5634144001534993,3310.000000476837,0,350
51,0.5796517484530148,3365.000000476837,0,60
52,0.5729841224156953,3420.000000476837,0,75
53,0.5600805871348395,3475.000000476837,0,350
54,0.5853600038374827,3530.000000476837,0,100
55,0.5658368110519499,3585.000000476837,0,350
56,0.5807790089701156,3640.000000476837,0,120
57,0.5798795989830671,3695.000000476837,0,175
58,0.5967405382069363,3750.000000476837,0,65
59,0.5760541085048209,3805.000000476837,0,105
60,0.5942581666426824,3860.000000476837,0,350
61,0.5273660478725956,3890.000000476837,0,140
62,0.6033482035784525,3945.000000476837,0,80
63,0.563390415887178,4000.000000476837,0,75
64,0.5904446682975968,4055.000000476837,0,80
65,0.550594809804768,4110.000000476837,0,70
66,0.6069218592603253,4165.000000476837,0,105
67,0.5642778337410659,4220.000000476837,0,350
68,0.6128939415743272,4275.000000476837,0,135
69,0.5978438144577157,4330.000000476837,0,105
70,0.5903966997649542,4385.000000476837,0,350
71,0.5909723221566652,4440.000000476837,0,255
72,0.6154362738043844,4495.000000476837,0,350
73,0.5980836571209287,4515.000000476837,0,75
74,0.6278961001582961,4570.000000476837,0,70
75,0.5836211445291889,4600.000000476837,0,105
76,0.6236029164867847,4655.000000476837,0,75
77,0.5758142658416079,4710.000000476837,0,110
78,0.6279800450904207,4765.000000476837,0,65
79,0.6055547560800115,4820.000000476837,0,105
80,0.6344797812634911,4875.000000476837,0,85
81,0.6344557969971698,4930.000000476837,0,350
82,0.631973425432916,4985.000000476837,0,65
83,0.6202691034681249,5040.000000476837,0,75
84,0.6121624214515278,5095.000000476837,0,60
85,0.5971482707343982,5150.000000476837,0,85
86,0.6314217873075263,5205.000000476837,0,350
87,0.6289514078764331,5260.000000476837,0,85
88,0.650093538638653,5315.000000476837,0,235
89,0.6153763131385811,5370.000000476837,0,155
90,0.6394805007914808,5425.000000476837,0,350
91,0.6232071760924833,5480.000000476837,0,165
92,0.617822708303353,5535.000000476837,0,60
93,0.6319854175660766,5590.000000476837,0,300
94,0.6219719863769367,5645.000000476837,0,60
95,0.6382573032090948,5680.000000476837,0,350
96,0.6318894805007915,5735.000000476837,0,65
97,0.6294790617355015,5790.000000476837,0,90
98,0.6333405286132298,5845.000000476837,0,110
99,0.6420468172878592,5900.000000476837,0,90
100,0.648774403990982,5955.000000476837,0,65
101,0.6123782798484194,6010.000000476837,0,350
102,0.6573008106682017,6065.000000476837,0,105
103,0.6478630018707727,6120.000000476837,0,90
104,0.651316736221039,6175.000000476837,0,110
105,0.6364344989686765,6230.000000476837,0,90
106,0.6430181800738716,6250.000000476837,0,350
107,0.6521202091428023,6305.000000476837,0,70
108,0.5965006955437233,6320.000000476837,0,80
109,0.6513886890200029,6380.000000476837,0,70
110,0.6367462944308534,6435.000000476837,0,110
111,0.6368542236292992,6490.000000476837,0,70
112,0.6313378423754017,6545.000000476837,0,135
113,0.648774403990982,6600.000000476837,0,75
114,0.6438216529956349,6655.000000476837,0,65
115,0.6325730320909483,6710.000000476837,0,350
116,0.6557178490909963,6765.000000476837,0,350
117,0.6318295198349883,6820.000000476837,0,350
118,0.6385331222717897,6875.000000476837,0,70
119,0.6152204154074927,6925.000000476837,0,195
120,0.6482587422650741,6945.000000476837,0,70
121,0.6544226987096464,7000.000000476837,0,75
122,0.6381253897443278,7025.000000476837,0,85
123,0.6495898690459059,7080.000000476837,0,65
124,0.6405957691754209,7105.000000476837,0,100
125,0.6517964215474649,7155.000000476837,0,75
126,0.6564373770806351,7180.000000476837,0,75
127,0.6452846932412337,7235.000000476837,0,80
