Elapsed time (s),Accuracy (%),Method
0,0.0,Polaris
351,6.602628660883263,Polaris
391,7.544425396381165,Polaris
431,8.075982136606743,Polaris
471,9.678131126869136,Polaris
511,10.74555090930517,Polaris
551,11.5250395647472,Polaris
591,12.30452822018923,Polaris
631,13.09035671657925,Polaris
671,13.879598973658606,Polaris
711,15.092891047531198,Polaris
751,16.42929436695366,Polaris
791,17.53493707534672,Polaris
831,18.032210863741533,Polaris
871,18.705287583576936,Polaris
911,19.429403867642414,Polaris
951,20.153520151707895,Polaris
991,20.41983430041462,Polaris
1031,20.63528153845504,Polaris
1071,20.85072877649545,Polaris
1111,21.06617601453587,Polaris
1151,22.3036015388724,Polaris
1191,24.13951305101424,Polaris
1231,24.127178285477573,Polaris
1271,24.943557002040002,Polaris
1311,27.003006003495056,Polaris
1351,28.91151403423048,Polaris
1391,29.964689817583263,Polaris
1431,31.017865600936045,Polaris
1471,31.894106027656488,Polaris
1511,32.76477706413824,Polaris
1551,33.71529198788672,Polaris
1591,34.66573426698405,Polaris
1631,35.6161108199653,Polaris
1671,36.4553652715699,Polaris
1711,37.30355961660401,Polaris
1751,38.77213469289242,Polaris
1791,39.92636829202445,Polaris
1831,40.79619768394336,Polaris
1871,40.9992005263163,Polaris
1911,40.8431429001191,Polaris
1951,40.524143439000845,Polaris
1991,41.06610061527988,Polaris
2031,42.970451361190555,Polaris
2071,44.40139267237837,Polaris
2111,45.52268256510728,Polaris
2151,46.333786844336466,Polaris
2191,46.80084773041796,Polaris
2231,47.258031451576365,Polaris
2271,47.747114298791416,Polaris
2311,44.21488598601915,Polaris
2351,46.0693493591902,Polaris
2391,49.26128460837687,Polaris
2431,48.33243938538859,Polaris
2471,49.05549958145989,Polaris
2511,48.77161311920909,Polaris
2551,46.827326952687734,Polaris
2591,49.771224327438475,Polaris
2631,52.037463418275564,Polaris
2671,52.51714874470142,Polaris
2711,53.16024686745963,Polaris
2751,54.04846419689152,Polaris
2791,50.977903991402066,Polaris
2831,50.556805616287704,Polaris
2871,52.330463962337184,Polaris
2911,50.70215031790612,Polaris
2951,49.07991995547568,Polaris
2991,49.3160995117727,Polaris
3031,52.31751241250701,Polaris
3071,54.54935741309571,Polaris
3111,54.90986277410338,Polaris
3151,54.18501464148555,Polaris
3191,53.25529726335834,Polaris
3231,54.249466880771614,Polaris
3271,54.1646879796485,Polaris
3311,52.96933781547719,Polaris
3351,54.07604039001686,Polaris
3391,54.947474453762055,Polaris
3431,55.19865513378143,Polaris
3471,55.15705333753126,Polaris
3511,55.609941685345866,Polaris
3551,56.3926137187312,Polaris
3591,56.34202872067174,Polaris
3631,55.97511305857865,Polaris
3671,56.261528784004064,Polaris
3711,57.57704948108935,Polaris
3751,55.55124562580049,Polaris
3791,58.04909794377081,Polaris
3831,57.26799586145738,Polaris
3871,55.44226987007052,Polaris
3911,55.51727521202074,Polaris
3951,55.85523532488328,Polaris
3991,56.320857147458135,Polaris
4031,55.918631732779566,Polaris
4071,52.52050651194977,Polaris
4111,55.51984803481985,Polaris
4151,57.062821338141966,Polaris
4191,56.78905837240909,Polaris
4231,57.23324698467944,Polaris
4271,58.814806555004054,Polaris
4311,59.07889518018452,Polaris
4351,56.909343842336334,Polaris
4391,56.21685266200519,Polaris
4431,56.16269181616911,Polaris
4471,56.83335729762722,Polaris
4511,58.508767319561905,Polaris
4551,58.34584876395444,Polaris
4591,58.593747107686546,Polaris
4631,59.398142501231455,Polaris
4671,58.105722664128436,Polaris
4711,58.305097277491534,Polaris
4751,61.01026091079296,Polaris
4791,60.541913601173526,Polaris
4831,60.887777608533256,Polaris
4871,61.38997546190175,Polaris
4911,60.2936764522339,Polaris
4951,59.44814384503717,Polaris
4991,59.596759053257074,Polaris
5031,61.04309756813937,Polaris
5071,59.201978069803005,Polaris
5111,60.31951400284301,Polaris
5151,61.30642302892979,Polaris
5191,57.748902217127785,Polaris
5231,61.485040304780014,Polaris
5271,62.90288118134452,Polaris
5311,61.68360828169646,Polaris
5351,61.5615065622426,Polaris
5391,61.306924479219106,Polaris
5431,61.800215402378065,Polaris
5471,63.40221179924986,Polaris
5511,62.24311761957719,Polaris
5551,62.27224757942642,Polaris
5591,61.82526266811597,Polaris
5631,61.95901305545847,Polaris
5671,61.1500020071389,Polaris
5711,57.57117872099007,Polaris
5751,60.950779884445026,Polaris
5791,60.796321274150166,Polaris
5831,60.00935383331921,Polaris
5871,62.571745631572284,Polaris
5911,62.11839943028779,Polaris
5951,61.29013549960417,Polaris
5991,60.948991975424285,Polaris
6031,63.57243463340427,Polaris
6071,62.738545354349995,Polaris
6111,62.05704329431436,Polaris
6151,63.05319711711073,Polaris
6191,61.84439009451756,Polaris
6231,61.730835475338665,Polaris
6271,62.34662060514763,Polaris
6311,63.330411601890134,Polaris
6351,61.872883409105874,Polaris
6391,63.38585890994061,Polaris
6431,60.58711306903043,Polaris
6471,64.05835593409589,Polaris
6511,61.22734035304433,Polaris
6551,61.97403590964679,Polaris
6591,63.63649447158052,Polaris
6631,62.63438821691993,Polaris
6671,62.40858724116166,Polaris
6711,62.692582748667114,Polaris
6751,63.239424030357746,Polaris
6791,63.104239983819554,Polaris
6831,64.32697966387019,Polaris
6871,64.73584602901727,Polaris
6911,63.33860988576229,Polaris
6951,62.177771395811696,Polaris
6991,63.74098587712036,Polaris
0,0.0,Polaris
351,13.466845723761175,Polaris
391,14.549232820100016,Polaris
431,15.640174305342844,Polaris
471,17.68644335609284,Polaris
511,19.55397258794237,Polaris
551,19.80713984355602,Polaris
591,20.060307099169666,Polaris
631,20.47478567313953,Polaris
671,21.027657255934827,Polaris
711,22.26318960385744,Polaris
751,23.812938664018628,Polaris
791,25.834012839359605,Polaris
831,27.61848226504834,Polaris
871,28.062191191992262,Polaris
911,28.50590011893619,Polaris
951,28.991701426583578,Polaris
991,29.71602626948663,Polaris
1031,30.8169725976608,Polaris
1071,32.48285120986263,Polaris
1111,32.74649164653704,Polaris
1151,32.255080678798535,Polaris
1191,32.324155332396316,Polaris
1231,33.23395850151737,Polaris
1271,34.143761670638426,Polaris
1311,33.837722504848585,Polaris
1351,31.707919655517745,Polaris
1391,32.8662225452788,Polaris
1431,35.79504409548472,Polaris
1471,36.23327097039058,Polaris
1511,36.39476503028728,Polaris
1551,35.638956874106256,Polaris
1591,34.38921670365807,Polaris
1631,37.026310650377226,Polaris
1671,40.79184046282026,Polaris
1711,42.49209606781143,Polaris
1751,42.75444038357693,Polaris
1791,41.755997183660625,Polaris
1831,40.62830058899037,Polaris
1871,41.2646103777504,Polaris
1911,42.79065570157912,Polaris
1951,43.97605408024272,Polaris
1991,45.16145245890632,Polaris
2031,46.26393398707454,Polaris
2071,44.13265518289315,Polaris
2111,43.49986405065433,Polaris
2151,45.1148046496214,Polaris
2191,46.33540707407352,Polaris
2231,45.32142609175178,Polaris
2271,45.82852721044945,Polaris
2311,47.71184559973992,Polaris
2351,49.774547846925984,Polaris
2391,51.555445050902335,Polaris
2431,52.86731902269939,Polaris
2471,53.5388784796956,Polaris
2511,53.2102341158504,Polaris
2551,52.04768940465435,Polaris
2591,53.655943480889434,Polaris
2631,54.112255091844276,Polaris
2671,54.678131086601944,Polaris
2711,57.16813400832167,Polaris
2751,54.391192185411775,Polaris
2791,52.82347143776879,Polaris
2831,52.97806092044943,Polaris
2871,53.69235597925449,Polaris
2911,51.87735760514026,Polaris
2951,52.63107387935045,Polaris
2991,58.16389542492413,Polaris
3031,56.85479056135099,Polaris
3071,56.492976967208605,Polaris
3111,56.365664144691564,Polaris
3151,55.51182426365353,Polaris
3191,55.36229324341237,Polaris
3231,55.0945416349871,Polaris
3271,54.411905741768216,Polaris
3311,56.42658411275685,Polaris
3351,57.29782353075815,Polaris
3391,57.49796133607348,Polaris
3431,57.55203495468876,Polaris
3471,54.32113632944786,Polaris
3511,54.94736533135721,Polaris
3551,58.41832490063559,Polaris
3591,56.36265523811602,Polaris
3631,57.881927576320734,Polaris
3671,58.9183968340963,Polaris
3711,57.73016898507507,Polaris
3751,58.739107121657476,Polaris
3791,58.50020389887705,Polaris
3831,57.24346821140139,Polaris
3871,60.322248531511406,Polaris
3911,60.23252753247238,Polaris
3951,57.36949701989976,Polaris
3991,58.150241994053864,Polaris
4031,58.93098696820797,Polaris
4071,59.84458192770516,Polaris
4111,60.95745188501315,Polaris
4151,56.71546386201367,Polaris
4191,55.79429342641965,Polaris
4231,57.908135917429114,Polaris
4271,57.144128015703565,Polaris
4311,58.56537015904162,Polaris
