round,accuracy,elapsed_time,comm_time,round_time
1,0.1,70.00000023841858,0,70
2,0.1,103.00000023841858,0,33
3,0.104,140.00000023841858,0,70
4,0.1116,173.00000023841858,0,70
5,0.1231,201.00000023841858,0,70
6,0.1976,225.00000023841858,0,70
7,0.1806,249.00000023841858,0,70
8,0.2369,271.0000002384186,0,70
9,0.3142,295.0000002384186,0,70
10,0.3294,326.0000002384186,0,70
11,0.3339,341.0000002384186,0,70
12,0.3528,365.0000002384186,0,70
13,0.3827,377.0000002384186,0,70
14,0.3711,396.0000002384186,0,70
15,0.4122,435.0000002384186,0,70
16,0.3261,451.0000002384186,0,70
17,0.4089,473.0000002384186,0,70
18,0.3926,505.0000002384186,0,70
19,0.3671,521.0000002384186,0,70
20,0.3962,543.0000002384186,0,70
21,0.4071,575.0000002384186,0,70
22,0.4492,587.0000002384186,0,70
23,0.4402,598.0000002384186,0,70
24,0.4232,611.0000002384186,0,28
25,0.4379,623.0000002384186,0,70
26,0.4239,634.0000002384186,0,21
27,0.4265,645.0000002384186,0,70
28,0.4433,656.0000002384186,0,70
29,0.4373,663.0000002384186,0,23
30,0.4377,668.0000002384186,0,12
31,0.409,675.0000002384186,0,12
32,0.4778,686.0000002384186,0,12
33,0.1927,696.0000002384186,0,23
34,0.4632,703.0000002384186,0,17
35,0.4251,714.0000002384186,0,13
36,0.4486,725.0000002384186,0,27
37,0.4709,736.0000002384186,0,12
38,0.479,749.0000002384186,0,13
39,0.5062,763.0000002384186,0,35
40,0.4749,774.0000002384186,0,70
41,0.478,785.0000002384186,0,70
42,0.5161,796.0000002384186,0,12
43,0.5033,807.0000002384186,0,70
44,0.5127,815.0000002384186,0,30
45,0.4808,826.0000002384186,0,15
46,0.5103,833.0000002384186,0,24
47,0.5064,844.0000002384186,0,12
48,0.5238,854.0000002384186,0,21
49,0.5063,858.0000002384186,0,14
50,0.4701,869.0000002384186,0,12
51,0.5309,880.0000002384186,0,18
52,0.4767,891.0000002384186,0,30
53,0.4959,902.0000002384186,0,15
54,0.4972,913.0000002384186,0,55
55,0.5022,924.0000002384186,0,28
56,0.5323,935.0000002384186,0,16
57,0.5401,947.0000002384186,0,23
58,0.5277,958.0000002384186,0,39
59,0.5108,970.0000002384186,0,70
60,0.5335,982.0000002384186,0,70
61,0.5243,993.0000002384186,0,70
62,0.545,1004.0000002384186,0,70
63,0.5288,1015.0000002384186,0,70
64,0.5451,1026.0000002384186,0,70
65,0.5405,1037.0000002384186,0,14
66,0.5193,1054.0000002384186,0,70
67,0.542,1066.0000002384186,0,57
68,0.5206,1077.0000002384186,0,70
69,0.5503,1088.0000002384186,0,70
70,0.5346,1099.0000002384186,0,70
71,0.5482,1110.0000002384186,0,70
72,0.5505,1121.0000002384186,0,15
73,0.5555,1132.0000002384186,0,14
74,0.5483,1143.0000002384186,0,70
75,0.538,1165.0000002384186,0,22
76,0.5576,1180.0000002384186,0,70
77,0.5379,1191.0000002384186,0,70
78,0.5567,1202.0000002384186,0,70
79,0.5457,1213.0000002384186,0,70
80,0.5399,1224.0000002384186,0,70
81,0.5443,1235.0000002384186,0,24
82,0.5741,1246.0000002384186,0,70
83,0.5553,1258.0000002384186,0,12
84,0.5403,1269.0000002384186,0,70
85,0.5599,1280.0000002384186,0,70
86,0.5621,1291.0000002384186,0,70
87,0.5621,1302.0000002384186,0,12
88,0.557,1319.0000002384186,0,70
89,0.5199,1339.0000002384186,0,70
90,0.5787,1351.0000002384186,0,70
91,0.5674,1363.0000002384186,0,70
92,0.5444,1374.0000002384186,0,70
93,0.5655,1385.0000002384186,0,60
94,0.5653,1396.0000002384186,0,70
95,0.5504,1407.0000002384186,0,22
96,0.5536,1418.0000002384186,0,70
97,0.5645,1429.0000002384186,0,15
98,0.5641,1440.0000002384186,0,70
99,0.5492,1451.0000002384186,0,20
100,0.578,1463.0000002384186,0,23
101,0.5126,1475.0000002384186,0,28
102,0.5695,1490.0000002384186,0,70
103,0.5765,1510.0000002384186,0,70
104,0.5739,1522.0000002384186,0,70
105,0.5762,1534.0000002384186,0,70
106,0.5794,1545.0000002384186,0,70
107,0.5691,1556.0000002384186,0,14
108,0.573,1567.0000002384186,0,70
109,0.5738,1578.0000002384186,0,12
110,0.5644,1589.0000002384186,0,70
111,0.5768,1600.0000002384186,0,70
112,0.5592,1611.0000002384186,0,22
113,0.5484,1622.0000002384186,0,70
114,0.5896,1633.0000002384186,0,16
115,0.5971,1644.0000002384186,0,20
116,0.5919,1655.0000002384186,0,15
117,0.5901,1667.0000002384186,0,17
118,0.5818,1679.0000002384186,0,70
119,0.5681,1690.0000002384186,0,39
120,0.5997,1701.0000002384186,0,31
121,0.5844,1712.0000002384186,0,70
122,0.5814,1723.0000002384186,0,31
123,0.6004,1734.0000002384186,0,18
124,0.5928,1745.0000002384186,0,33
125,0.5915,1756.0000002384186,0,19
126,0.5738,1767.0000002384186,0,51
127,0.5884,1775.0000002384186,0,30
128,0.5808,1786.0000002384186,0,17
129,0.5817,1797.0000002384186,0,27
130,0.556,1808.0000002384186,0,39
131,0.5995,1819.0000002384186,0,22
132,0.5869,1830.0000002384186,0,15
133,0.5931,1841.0000002384186,0,30
134,0.5839,1852.0000002384186,0,70
135,0.59,1863.0000002384186,0,14
136,0.5932,1874.0000002384186,0,70
137,0.5954,1885.0000002384186,0,70
138,0.5764,1896.0000002384186,0,47
139,0.6004,1907.0000002384186,0,14
140,0.5764,1918.0000002384186,0,22
141,0.5981,1929.0000002384186,0,12
142,0.5823,1940.0000002384186,0,31
143,0.5946,1951.0000002384186,0,28
144,0.579,1962.0000002384186,0,70
145,0.5945,1973.0000002384186,0,70
146,0.5284,1984.0000002384186,0,70
147,0.5943,1995.0000002384186,0,18
148,0.6028,2006.0000002384186,0,19
149,0.5756,2017.0000002384186,0,18
150,0.5648,2028.0000002384186,0,15
